"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","0007-9235","1542-4863","ONCOLOGY - SCIE","66,163","254.7","Q1","130.54","92.31"%,
"LANCET","LANCET","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL - SCIE","365,044","168.9","Q1","21.68","26.22"%,
"NEW ENGLAND JOURNAL OF MEDICINE","NEW ENGL J MED","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL - SCIE","456,891","158.5","Q1","24.51","2.33"%,
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","JAMA-J AM MED ASSOC","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL - SCIE","211,699","120.7","Q1","11.17","2.13"%,
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","1474-1776","1474-1784","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","48,043","120.1","Q1","12.45","6.03"%,
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","1474-1776","1474-1784","PHARMACOLOGY & PHARMACY - SCIE","48,043","120.1","Q1","12.45","6.03"%,
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","NAT REV MOL CELL BIO","1471-0072","1471-0080","CELL BIOLOGY - SCIE","65,845","112.7","Q1","8.82","2.08"%,
"BMJ-British Medical Journal","BMJ-BRIT MED J","0959-535X","1756-1833","MEDICINE, GENERAL & INTERNAL - SCIE","171,860","107.7","Q1","8.87","82.16"%,
"NATURE REVIEWS IMMUNOLOGY","NAT REV IMMUNOL","1474-1733","1474-1741","IMMUNOLOGY - SCIE","66,033","100.3","Q1","8.11","1.65"%,
"NATURE REVIEWS MICROBIOLOGY","NAT REV MICROBIOL","1740-1526","1740-1534","MICROBIOLOGY - SCIE","53,344","88.1","Q1","6.76","4.17"%,
"Nature Reviews Materials","NAT REV MATER","2058-8437","2058-8437","MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE","31,441","83.5","Q1","3.89","1.8"%,
"Nature Reviews Materials","NAT REV MATER","2058-8437","2058-8437","NANOSCIENCE & NANOTECHNOLOGY - SCIE","31,441","83.5","Q1","3.89","1.8"%,
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","139,574","82.9","Q1","14.06","28.1"%,
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","CELL BIOLOGY - SCIE","139,574","82.9","Q1","14.06","28.1"%,
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","139,574","82.9","Q1","14.06","28.1"%,
"Nature Reviews Disease Primers","NAT REV DIS PRIMERS","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL - SCIE","27,771","81.5","Q1","17.54","7.69"%,
"Nature Reviews Clinical Oncology","NAT REV CLIN ONCOL","1759-4774","1759-4782","ONCOLOGY - SCIE","26,127","78.8","Q1","9.09","2.13"%,
"NATURE REVIEWS CANCER","NAT REV CANCER","1474-175X","1474-1768","ONCOLOGY - SCIE","63,667","78.5","Q1","8.86","0.72"%,
"Lancet Respiratory Medicine","LANCET RESP MED","2213-2600","N/A","CRITICAL CARE MEDICINE - SCIE","26,770","76.2","Q1","11.75","21.55"%,
"Lancet Respiratory Medicine","LANCET RESP MED","2213-2600","N/A","RESPIRATORY SYSTEM - SCIE","26,770","76.2","Q1","11.75","21.55"%,
"World Psychiatry","WORLD PSYCHIATRY","1723-8617","2051-5545","PSYCHIATRY - SCIE","12,296","73.3","Q1","9.06","0"%,
"World Psychiatry","WORLD PSYCHIATRY","1723-8617","2051-5545","PSYCHIATRY - SSCI","12,296","73.3","Q1","9.06","0"%,
