"Journal Data Filtered By:  Selected Categories: COMMUNICATION;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Foundations and Trends in Machine Learning","FOUND TRENDS MACH LE","1935-8237","1935-8245","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","3,581","32.8","N/A","8.86","0"%,
"Nature Machine Intelligence","NAT MACH INTELL","N/A","2522-5839","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","6,863","23.8","Q1","3.97","9.49"%,
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","IEEE T PATTERN ANAL","0162-8828","1939-3539","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","82,070","23.6","Q1","6.82","9.74"%,
"INTERNATIONAL JOURNAL OF COMPUTER VISION","INT J COMPUT VISION","0920-5691","1573-1405","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","26,940","19.5","Q1","2.93","21.03"%,
"Information Fusion","INFORM FUSION","1566-2535","1872-6305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","16,059","18.6","Q1","3.75","11.35"%,
"ARTIFICIAL INTELLIGENCE","ARTIF INTELL","0004-3702","1872-7921","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","16,587","14.4","Q1","0.89","36.22"%,
"IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION","IEEE T EVOLUT COMPUT","1089-778X","1941-0026","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","22,824","14.3","Q1","3.3","10.47"%,
"Big Data Mining and Analytics","BIG DATA MIN ANAL","N/A","2096-0654","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,044","13.6","N/A","2.24","100"%,
"ARTIFICIAL INTELLIGENCE REVIEW","ARTIF INTELL REV","0269-2821","1573-7462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","10,469","12","Q1","1.53","11.82"%,
"IEEE TRANSACTIONS ON FUZZY SYSTEMS","IEEE T FUZZY SYST","1063-6706","1941-0034","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","27,044","11.9","Q1","3.07","7.2"%,
"IEEE Transactions on Cybernetics","IEEE T CYBERNETICS","2168-2267","2168-2275","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","44,382","11.8","Q1","2.37","3.7"%,
"Communication Methods and Measures","COMMUN METHODS MEAS","1931-2458","1931-2466","COMMUNICATION - SSCI","2,021","11.4","Q1","3.59","35.19"%,
"IEEE Transactions on Affective Computing","IEEE T AFFECT COMPUT","1949-3045","1949-3045","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","6,351","11.2","Q1","1.88","8.17"%,
