"Journal Data Filtered By:  Selected Categories: CLINICAL NEUROLOGY;COMPUTER SCIENCE, CYBERNETICS;COMPUTER SCIENCE, HARDWARE & ARCHITECTURE;COMPUTER SCIENCE, INFORMATION SYSTEMS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"LANCET NEUROLOGY","LANCET NEUROL","1474-4422","1474-4465","CLINICAL NEUROLOGY - SCIE","49,060","48","Q1","12.82","12.04"%,
"Nature Reviews Neurology","NAT REV NEUROL","1759-4758","1759-4766","CLINICAL NEUROLOGY - SCIE","19,735","38.1","Q1","6.28","4.17"%,
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","N/A","1553-877X","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","29,361","35.6","Q1","8.77","21.58"%,
"JAMA Neurology","JAMA NEUROL","2168-6149","2168-6157","CLINICAL NEUROLOGY - SCIE","21,531","29","Q1","7.22","27.95"%,
"COMMUNICATIONS OF THE ACM","COMMUN ACM","0001-0782","1557-7317","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE","28,313","22.7","Q1","8.05","0.36"%,
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","1522-8517","1523-5866","CLINICAL NEUROLOGY - SCIE","22,890","15.9","Q1","3.22","27.8"%,
"BRAIN","BRAIN","0006-8950","1460-2156","CLINICAL NEUROLOGY - SCIE","65,110","14.5","Q1","3.32","45.12"%,
"Alzheimers & Dementia","ALZHEIMERS DEMENT","1552-5260","1552-5279","CLINICAL NEUROLOGY - SCIE","28,097","14","Q1","3.75","39.28"%,
"Big Data Mining and Analytics","BIG DATA MIN ANAL","N/A","2096-0654","COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI","1,044","13.6","N/A","2.24","100"%,
"IEEE WIRELESS COMMUNICATIONS","IEEE WIREL COMMUN","1536-1284","1558-0687","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE","11,380","12.9","Q1","3.01","0"%,
"IEEE WIRELESS COMMUNICATIONS","IEEE WIREL COMMUN","1536-1284","1558-0687","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","11,380","12.9","Q1","3.01","0"%,
"Computer Science Review","COMPUT SCI REV","1574-0137","1876-7745","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","3,417","12.9","Q1","1.36","12.64"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","0001-6322","1432-0533","CLINICAL NEUROLOGY - SCIE","28,439","12.7","Q1","3.44","60.92"%,
"PSYCHIATRY AND CLINICAL NEUROSCIENCES","PSYCHIAT CLIN NEUROS","1323-1316","1440-1819","CLINICAL NEUROLOGY - SCIE","5,750","11.9","Q1","1","29.76"%,
"IEEE Transactions on Cybernetics","IEEE T CYBERNETICS","2168-2267","2168-2275","COMPUTER SCIENCE, CYBERNETICS - SCIE","44,382","11.8","Q1","2.37","3.7"%,
"ANNALS OF NEUROLOGY","ANN NEUROL","0364-5134","1531-8249","CLINICAL NEUROLOGY - SCIE","41,613","11.2","Q1","2.76","32.6"%,
"IEEE Transactions on Affective Computing","IEEE T AFFECT COMPUT","1949-3045","1949-3045","COMPUTER SCIENCE, CYBERNETICS - SCIE","6,351","11.2","Q1","1.88","8.17"%,
"JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY","J NEUROL NEUROSUR PS","0022-3050","1468-330X","CLINICAL NEUROLOGY - SCIE","35,344","11.1","Q1","2.76","36.18"%,
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","52,299","10.6","Q1","2.61","5.49"%,
"SLEEP MEDICINE REVIEWS","SLEEP MED REV","1087-0792","1532-2955","CLINICAL NEUROLOGY - SCIE","12,956","10.5","Q1","1.72","21.25"%,
"Foundations and Trends in Information Retrieval","FOUND TRENDS INF RET","1554-0669","1554-0677","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","586","10.4","Q1","2.87","0"%,
"IEEE Transactions on Neural Networks and Learning Systems","IEEE T NEUR NET LEAR","2162-237X","2162-2388","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE","56,520","10.4","Q1","2.63","9.57"%,
"NEUROLOGY","NEUROLOGY","0028-3878","1526-632X","CLINICAL NEUROLOGY - SCIE","105,500","10.1","Q1","2.59","22.71"%,
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","0378-7206","1872-7530","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","13,809","9.9","Q1","2.42","10.53"%,
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","0960-085X","1476-9344","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","5,473","9.5","Q1","2.02","27.49"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE","10,306","9.3","Q1","2.29","0"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","10,306","9.3","Q1","2.29","0"%,
"Alzheimers Research & Therapy","ALZHEIMERS RES THER","N/A","1758-9193","CLINICAL NEUROLOGY - SCIE","8,962","9","Q1","2.06","99.82"%,
"IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING","IEEE T KNOWL DATA EN","1041-4347","1558-2191","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","23,810","8.9","Q1","1.83","9.75"%,
"Neurology-Neuroimmunology & Neuroinflammation","NEUROL-NEUROIMMUNOL","2332-7812","2332-7812","CLINICAL NEUROLOGY - SCIE","5,673","8.8","Q1","2.15","99.01"%,
"Science China-Information Sciences","SCI CHINA INFORM SCI","1674-733X","1869-1919","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","7,297","8.8","Q1","1.35","1.4"%,
"IEEE Transactions on Systems Man Cybernetics-Systems","IEEE T SYST MAN CY-S","2168-2216","2168-2232","COMPUTER SCIENCE, CYBERNETICS - SCIE","28,023","8.7","Q1","2.17","3.88"%,
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE","11,654","8.7","Q1","1.6","8.82"%,
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","0306-4573","1873-5371","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","10,883","8.6","Q1","2.39","9.93"%,
"MOVEMENT DISORDERS","MOVEMENT DISORD","0885-3185","1531-8257","CLINICAL NEUROLOGY - SCIE","35,988","8.6","Q1","1.96","30.35"%,
"Journal of Cheminformatics","J CHEMINFORMATICS","1758-2946","1758-2946","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","8,343","8.6","Q1","1.5","100"%,
"STROKE","STROKE","0039-2499","1524-4628","CLINICAL NEUROLOGY - SCIE","79,685","8.4","Q1","1.98","12.33"%,
"Journal of Stroke","J STROKE","2287-6391","2287-6405","CLINICAL NEUROLOGY - SCIE","2,178","8.2","Q1","1.26","96.81"%,
