"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;COMPUTER SCIENCE, SOFTWARE ENGINEERING;COMPUTER SCIENCE, THEORY & METHODS;CONSTRUCTION & BUILDING TECHNOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Foundations and Trends in Computer Graphics and Vision","FOUND TRENDS COMPUT","1572-2740","1572-2759","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","405","36.5","N/A","3.22","85.71"%,
"Nature Machine Intelligence","NAT MACH INTELL","N/A","2522-5839","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","6,863","23.8","Q1","3.97","9.49"%,
"COMMUNICATIONS OF THE ACM","COMMUN ACM","0001-0782","1557-7317","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","28,313","22.7","Q1","8.05","0.36"%,
"COMMUNICATIONS OF THE ACM","COMMUN ACM","0001-0782","1557-7317","COMPUTER SCIENCE, THEORY & METHODS - SCIE","28,313","22.7","Q1","8.05","0.36"%,
"Information Fusion","INFORM FUSION","1566-2535","1872-6305","COMPUTER SCIENCE, THEORY & METHODS - SCIE","16,059","18.6","Q1","3.75","11.35"%,
"ACM COMPUTING SURVEYS","ACM COMPUT SURV","0360-0300","1557-7341","COMPUTER SCIENCE, THEORY & METHODS - SCIE","19,264","16.6","Q1","4.19","0"%,
"Journal of Industrial Information Integration","J IND INF INTEGR","2467-964X","2452-414X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2,914","15.7","Q1","2.05","15.7"%,
"IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION","IEEE T EVOLUT COMPUT","1089-778X","1941-0026","COMPUTER SCIENCE, THEORY & METHODS - SCIE","22,824","14.3","Q1","3.3","10.47"%,
"Computer Science Review","COMPUT SCI REV","1574-0137","1876-7745","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","3,417","12.9","Q1","1.36","12.64"%,
"Computer Science Review","COMPUT SCI REV","1574-0137","1876-7745","COMPUTER SCIENCE, THEORY & METHODS - SCIE","3,417","12.9","Q1","1.36","12.64"%,
"IEEE Transactions on Industrial Informatics","IEEE T IND INFORM","1551-3203","1941-0050","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","47,728","12.3","Q1","2.5","4.86"%,
"COMPUTERS & EDUCATION","COMPUT EDUC","0360-1315","1873-782X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","28,806","12","Q1","3.75","19.36"%,
