"Journal Data Filtered By:  Selected Categories: DEVELOPMENT STUDIES;DEVELOPMENTAL BIOLOGY;ECOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Nature Ecology & Evolution","NAT ECOL EVOL","2397-334X","2397-334X","ECOLOGY - SCIE","16,845","16.8","Q1","3.93","11.18"%,
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","0169-5347","1872-8383","ECOLOGY - SCIE","39,957","16.8","Q1","1.89","37.84"%,
"SUSTAINABLE DEVELOPMENT","SUSTAIN DEV","0968-0802","1099-1719","DEVELOPMENT STUDIES - SSCI","7,733","12.5","Q1","2.11","19.42"%,
"DEVELOPMENTAL CELL","DEV CELL","1534-5807","1878-1551","DEVELOPMENTAL BIOLOGY - SCIE","36,479","11.8","Q1","2.34","77.59"%,
"Annual Review of Ecology Evolution and Systematics","ANNU REV ECOL EVOL S","1543-592X","1545-2069","ECOLOGY - SCIE","21,855","11.8","Q1","1.24","0"%,
"GLOBAL CHANGE BIOLOGY","GLOBAL CHANGE BIOL","1354-1013","1365-2486","ECOLOGY - SCIE","67,135","11.6","Q1","2.44","29.99"%,
"Annual Review of Cell and Developmental Biology","ANNU REV CELL DEV BI","1081-0706","1530-8995","DEVELOPMENTAL BIOLOGY - SCIE","11,342","11.3","Q1","1.22","3.17"%,
"ISME Journal","ISME J","1751-7362","1751-7370","ECOLOGY - SCIE","40,061","11","Q1","2.59","64.18"%,
"GENES & DEVELOPMENT","GENE DEV","0890-9369","1549-5477","DEVELOPMENTAL BIOLOGY - SCIE","54,132","10.5","Q1","2.03","97.89"%,
"FRONTIERS IN ECOLOGY AND THE ENVIRONMENT","FRONT ECOL ENVIRON","1540-9295","1540-9309","ECOLOGY - SCIE","13,393","10.3","Q1","1.84","47.67"%,
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","0169-2046","1872-6062","ECOLOGY - SCIE","28,597","9.1","Q1","2.28","36.39"%,
"ECOLOGY LETTERS","ECOL LETT","1461-023X","1461-0248","ECOLOGY - SCIE","39,640","8.8","Q1","2.08","28.55"%,
"LONG RANGE PLANNING","LONG RANGE PLANN","0024-6301","1873-1872","DEVELOPMENT STUDIES - SSCI","10,188","8.5","Q1","2.06","22.09"%,
"WORLD BANK RESEARCH OBSERVER","WORLD BANK RES OBSER","0257-3032","1564-6971","DEVELOPMENT STUDIES - SSCI","1,822","8.1","Q1","2.11","16.13"%,
"Molecular Ecology Resources","MOL ECOL RESOUR","1755-098X","1755-0998","ECOLOGY - SCIE","14,786","7.7","Q1","1.62","27.52"%,
"Ecosystem Services","ECOSYST SERV","2212-0416","2212-0416","ECOLOGY - SCIE","11,024","7.6","Q1","1.38","37.24"%,
"SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY","SEMIN CELL DEV BIOL","1084-9521","1096-3634","DEVELOPMENTAL BIOLOGY - SCIE","15,386","7.3","Q1","0.88","29.95"%,
"ECOLOGICAL ECONOMICS","ECOL ECON","0921-8009","1873-6106","ECOLOGY - SCIE","36,381","7","Q1","1.57","34.99"%,
"WORLD DEVELOPMENT","WORLD DEV","0305-750X","1873-5991","DEVELOPMENT STUDIES - SSCI","31,302","6.9","Q1","2.32","29.58"%,
"HABITAT INTERNATIONAL","HABITAT INT","0197-3975","1873-5428","DEVELOPMENT STUDIES - SSCI","10,942","6.8","Q1","1.51","10.86"%,
"Methods in Ecology and Evolution","METHODS ECOL EVOL","2041-210X","2041-2096","ECOLOGY - SCIE","23,860","6.6","Q1","1.76","41.79"%,
"AGRICULTURE ECOSYSTEMS & ENVIRONMENT","AGR ECOSYST ENVIRON","0167-8809","1873-2305","ECOLOGY - SCIE","33,665","6.6","Q1","1.71","22.94"%,
"GLOBAL ECOLOGY AND BIOGEOGRAPHY","GLOBAL ECOL BIOGEOGR","1466-822X","1466-8238","ECOLOGY - SCIE","17,660","6.4","Q1","1.59","22.78"%,
"CONSERVATION BIOLOGY","CONSERV BIOL","0888-8892","1523-1739","ECOLOGY - SCIE","23,293","6.3","Q1","1.45","36.25"%,
"ECOLOGICAL MONOGRAPHS","ECOL MONOGR","0012-9615","1557-7015","ECOLOGY - SCIE","12,404","6.1","Q1","2.01","28.78"%,
"People and Nature","PEOPLE NAT","N/A","2575-8314","ECOLOGY - SCIE","1,722","6.1","Q1","1.58","76.83"%,
"ECOGRAPHY","ECOGRAPHY","0906-7590","1600-0587","ECOLOGY - SCIE","17,205","5.9","Q1","1.48","80.92"%,
"BIOLOGICAL CONSERVATION","BIOL CONSERV","0006-3207","1873-2917","ECOLOGY - SCIE","39,641","5.9","Q1","1.43","30.35"%,
"JOURNAL OF APPLIED ECOLOGY","J APPL ECOL","0021-8901","1365-2664","ECOLOGY - SCIE","25,995","5.7","Q1","1.37","33.9"%,
"ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT","ENTREP REGION DEV","0898-5626","1464-5114","DEVELOPMENT STUDIES - SSCI","4,553","5.6","Q1","1.31","28.97"%,
"INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY","INT J SUST DEV WORLD","1350-4509","1745-2627","ECOLOGY - SCIE","3,610","5.6","Q1","0.97","11.06"%,
"JOURNAL OF ECOLOGY","J ECOL","0022-0477","1365-2745","ECOLOGY - SCIE","24,903","5.5","Q1","1.46","30.68"%,
"Remote Sensing in Ecology and Conservation","REMOTE SENS ECOL CON","N/A","2056-3485","ECOLOGY - SCIE","1,390","5.5","Q1","1.22","76.7"%,
"Frontiers in Cell and Developmental Biology","FRONT CELL DEV BIOL","2296-634X","2296-634X","DEVELOPMENTAL BIOLOGY - SCIE","39,252","5.5","Q1","0.87","98.93"%,
"Current Opinion in Insect Science","CURR OPIN INSECT SCI","2214-5745","2214-5753","ECOLOGY - SCIE","4,512","5.3","Q1","1.37","38.87"%,
"Ecosystems and People","ECOSYST PEOPLE","N/A","2639-5916","ECOLOGY - ESCI","510","5.3","N/A","0.97","98.25"%,
"FUNCTIONAL ECOLOGY","FUNCT ECOL","0269-8463","1365-2435","ECOLOGY - SCIE","21,258","5.2","Q1","1.31","24.42"%,
"LANDSCAPE ECOLOGY","LANDSCAPE ECOL","0921-2973","1572-9761","ECOLOGY - SCIE","13,530","5.2","Q1","1.18","29.84"%,
