"Journal Data Filtered By:  Selected Categories: ECONOMICS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"QUARTERLY JOURNAL OF ECONOMICS","Q J ECON","0033-5533","1531-4650","ECONOMICS - SSCI","40,382","13.7","Q1","5.14","15.69"%,
"Energy Economics","ENERG ECON","0140-9883","1873-6181","ECONOMICS - SSCI","42,372","12.8","Q1","3.56","13.8"%,
"JOURNAL OF ECONOMIC LITERATURE","J ECON LIT","0022-0515","2328-8175","ECONOMICS - SSCI","12,156","12.6","Q1","4.18","0"%,
"AMERICAN ECONOMIC REVIEW","AM ECON REV","0002-8282","1944-7981","ECONOMICS - SSCI","74,654","10.7","Q1","3.53","0"%,
"TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW","TRANSPORT RES E-LOG","1366-5545","1878-5794","ECONOMICS - SSCI","17,072","10.6","Q1","2.32","9.33"%,
"JOURNAL OF PUBLIC ECONOMICS","J PUBLIC ECON","0047-2727","0047-2727","ECONOMICS - SSCI","16,665","9.8","Q1","2.68","17.63"%,
"Asian Economic Papers","ASIAN ECON PAP","1535-3516","1536-0083","ECONOMICS - SSCI","786","9.7","Q1","4.81","0"%,
"CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE","CAN J AGR ECON","0008-3976","1744-7976","ECONOMICS - SSCI","1,456","9","Q1","2.77","7.22"%,
"Energy Policy","ENERG POLICY","0301-4215","1873-6777","ECONOMICS - SSCI","71,939","9","Q1","1.84","23.76"%,
"JOURNAL OF FINANCIAL ECONOMICS","J FINANC ECON","0304-405X","N/A","ECONOMICS - SSCI","52,940","8.9","Q1","2.81","7.45"%,
"Oeconomia Copernicana","OECON COPERNIC","2083-1277","2353-1827","ECONOMICS - SSCI","902","8.5","Q1","2.36","99.03"%,
"American Economic Review-Insights","AM ECON REV INSIGHTS","2640-205X","2640-2068","ECONOMICS - SSCI","773","8.5","Q1","2.28","0"%,
"JOURNAL OF ECONOMIC PERSPECTIVES","J ECON PERSPECT","0895-3309","1944-7965","ECONOMICS - SSCI","19,616","8.4","Q1","3.11","95.45"%,
