"Journal Data Filtered By:  Selected Categories: EDUCATION & EDUCATIONAL RESEARCH Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"COMPUTERS & EDUCATION","COMPUT EDUC","0360-1315","1873-782X","EDUCATION & EDUCATIONAL RESEARCH - SSCI","28,806","12","Q1","3.75","19.36"%,
"Educational Research Review","EDUC RES REV-NETH","1747-938X","1878-0385","EDUCATION & EDUCATIONAL RESEARCH - SSCI","5,480","11.7","Q1","2.57","36.43"%,
"REVIEW OF EDUCATIONAL RESEARCH","REV EDUC RES","0034-6543","1935-1046","EDUCATION & EDUCATIONAL RESEARCH - SSCI","13,274","11.2","Q1","4.06","18.68"%,
"EDUCATIONAL PSYCHOLOGIST","EDUC PSYCHOL-US","0046-1520","1532-6985","EDUCATION & EDUCATIONAL RESEARCH - SSCI","8,167","8.8","Q1","2","7.94"%,
"Internet and Higher Education","INTERNET HIGH EDUC","1096-7516","1873-5525","EDUCATION & EDUCATIONAL RESEARCH - SSCI","5,548","8.6","Q1","4.91","13.41"%,
"International Journal of Educational Technology in Higher Education","INT J EDUC TECHNOL H","2365-9440","2365-9440","EDUCATION & EDUCATIONAL RESEARCH - SSCI","2,660","8.6","Q1","3.63","99.44"%,
"Educational Researcher","EDUC RESEARCHER","0013-189X","1935-102X","EDUCATION & EDUCATIONAL RESEARCH - SSCI","8,702","8.2","Q1","3.15","7.54"%,
"Distance Education","DISTANCE EDUC","0158-7919","1475-0198","EDUCATION & EDUCATIONAL RESEARCH - SSCI","2,299","7.3","Q1","3.1","8.74"%,
"Computer Assisted Language Learning","COMPUT ASSIST LANG L","0958-8221","1744-3210","EDUCATION & EDUCATIONAL RESEARCH - SSCI","4,291","7","Q1","3.58","6.38"%,
"Learning Media and Technology","LEARN MEDIA TECHNOL","1743-9884","1743-9892","EDUCATION & EDUCATIONAL RESEARCH - SSCI","1,628","6.9","Q1","2.56","27.14"%,
"International Journal of STEM Education","INT J STEM EDUC","2196-7822","2196-7822","EDUCATION & EDUCATIONAL RESEARCH - SSCI","1,997","6.7","Q1","2.47","99.43"%,
"BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY","BRIT J EDUC TECHNOL","0007-1013","1467-8535","EDUCATION & EDUCATIONAL RESEARCH - SSCI","8,250","6.6","Q1","2.91","19.21"%,
"Review of Research in Education","REV RES EDUC","0091-732X","1935-1038","EDUCATION & EDUCATIONAL RESEARCH - SSCI","2,031","6.4","Q1","2.99","12.82"%,
"LEARNING AND INSTRUCTION","LEARN INSTR","0959-4752","1873-3263","EDUCATION & EDUCATIONAL RESEARCH - SSCI","7,769","6.2","Q1","2.96","32.95"%,
"Journal of Computers in Education","J COMPUT EDUC","2197-9987","2197-9995","EDUCATION & EDUCATIONAL RESEARCH - ESCI","906","6.1","N/A","2.33","13.64"%,
"European Journal of Teacher Education","EUR J TEACH EDUC","0261-9768","1469-5928","EDUCATION & EDUCATIONAL RESEARCH - SSCI","2,266","6.1","Q1","2.08","31.25"%,
"SYSTEM","SYSTEM","0346-251X","1879-3282","EDUCATION & EDUCATIONAL RESEARCH - SSCI","7,702","6","Q1","3.03","14.35"%,
"Comunicar","COMUNICAR","1134-3478","1988-3293","EDUCATION & EDUCATIONAL RESEARCH - SSCI","2,113","5.6","Q1","3.04","100"%,
"Journal of Computing in Higher Education","J COMPUT HIGH EDUC","1042-1726","1867-1233","EDUCATION & EDUCATIONAL RESEARCH - SSCI","1,527","5.6","Q1","2.5","16.26"%,
"Education and Information Technologies","EDUC INF TECHNOL","1360-2357","1573-7608","EDUCATION & EDUCATIONAL RESEARCH - SSCI","8,155","5.5","Q1","2.55","16.3"%,
"INTERACTIVE LEARNING ENVIRONMENTS","INTERACT LEARN ENVIR","1049-4820","1744-5191","EDUCATION & EDUCATIONAL RESEARCH - SSCI","5,837","5.4","Q1","2.37","4.79"%,
"International Journal of Management Education","INT J MANAG EDUC-OXF","1472-8117","2352-3565","EDUCATION & EDUCATIONAL RESEARCH - SSCI","2,179","5.2","Q1","1.86","16.28"%,
"School Leadership & Management","SCH LEADERSH MANAG","1363-2434","1364-2626","EDUCATION & EDUCATIONAL RESEARCH - ESCI","1,156","5.2","N/A","1.33","15.19"%,
"Journal of Research on Technology in Education","J RES TECHNOL EDUC","1539-1523","1945-0818","EDUCATION & EDUCATIONAL RESEARCH - SSCI","1,946","5.1","Q1","2.25","7.53"%,
"Active Learning in Higher Education","ACT LEARN HIGH EDUC","1469-7874","1741-2625","EDUCATION & EDUCATIONAL RESEARCH - SSCI","1,432","5","Q1","2.99","11.11"%,
"JOURNAL OF COMPUTER ASSISTED LEARNING","J COMPUT ASSIST LEAR","0266-4909","1365-2729","EDUCATION & EDUCATIONAL RESEARCH - SSCI","4,600","5","Q1","2.26","23.97"%,
"ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT","ETR&D-EDUC TECH RES","1042-1629","1556-6501","EDUCATION & EDUCATIONAL RESEARCH - SSCI","5,940","5","Q1","2.09","13.08"%,
"HIGHER EDUCATION","HIGH EDUC","0018-1560","1573-174X","EDUCATION & EDUCATIONAL RESEARCH - SSCI","9,463","5","Q1","2.06","42.48"%,
"MODERN LANGUAGE JOURNAL","MOD LANG J","0026-7902","1540-4781","EDUCATION & EDUCATIONAL RESEARCH - SSCI","6,730","4.9","Q1","3.48","18.55"%,
"Technology Pedagogy and Education","TECHNOL PEDAGOG EDUC","1475-939X","1747-5139","EDUCATION & EDUCATIONAL RESEARCH - SSCI","1,275","4.9","Q1","1.92","12.5"%,
"Studies in Science Education","STUD SCI EDUC","0305-7267","1940-8412","EDUCATION & EDUCATIONAL RESEARCH - SSCI","926","4.9","Q1","1.4","34.38"%,
"JOURNAL OF EDUCATIONAL COMPUTING RESEARCH","J EDUC COMPUT RES","0735-6331","1541-4140","EDUCATION & EDUCATIONAL RESEARCH - SSCI","3,340","4.8","Q1","2.28","6.33"%,
"Smart Learning Environments","SMART LEARN ENVIRON","N/A","2196-7091","EDUCATION & EDUCATIONAL RESEARCH - ESCI","864","4.8","N/A","1.93","100"%,
"Academy of Management Learning & Education","ACAD MANAG LEARN EDU","1537-260X","N/A","EDUCATION & EDUCATIONAL RESEARCH - SSCI","3,419","4.8","Q1","1.79","0"%,
"Open Learning","OPEN LEARN","0268-0513","1469-9958","EDUCATION & EDUCATIONAL RESEARCH - ESCI","643","4.8","N/A","1.53","26.42"%,
"RIED-Revista Iberoamericana de Educacion a Distancia","RIED-REV IBEROAM EDU","1138-2783","1390-3306","EDUCATION & EDUCATIONAL RESEARCH - SSCI","711","4.6","Q1","2.61","98.97"%,
"International Journal for Educational Integrity","INT J EDUC INTEGR","1833-2595","1833-2595","EDUCATION & EDUCATIONAL RESEARCH - ESCI","450","4.6","N/A","2.21","100"%,
"JOURNAL OF RESEARCH IN SCIENCE TEACHING","J RES SCI TEACH","0022-4308","1098-2736","EDUCATION & EDUCATIONAL RESEARCH - SSCI","7,726","4.6","Q1","2.02","26.39"%,
"Medical Education Online","MED EDUC ONLINE","1087-2981","1087-2981","EDUCATION & EDUCATIONAL RESEARCH - SSCI","2,456","4.6","Q1","2.02","98.83"%,
"Journal of Teaching and Learning","J TEACH LEARN","1492-1154","1911-8279","EDUCATION & EDUCATIONAL RESEARCH - ESCI","334","4.6","N/A","0.59","97.37"%,
"ReCALL","RECALL","0958-3440","1474-0109","EDUCATION & EDUCATIONAL RESEARCH - SSCI","1,382","4.5","Q1","3.53","29.85"%,
"Journal of New Approaches in Educational Research","J NEW APPROACHES EDU","2254-7339","2254-7339","EDUCATION & EDUCATIONAL RESEARCH - ESCI","511","4.5","N/A","2.59","100"%,
"LANGUAGE LEARNING","LANG LEARN","0023-8333","1467-9922","EDUCATION & EDUCATIONAL RESEARCH - SSCI","5,933","4.4","Q1","2.23","33.11"%,
