"Journal Data Filtered By:  Selected Categories: ENGINEERING, AEROSPACE;ENGINEERING, BIOMEDICAL;ENGINEERING, CHEMICAL;ENGINEERING, CIVIL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Energy & Environmental Science","ENERG ENVIRON SCI","1754-5692","1754-5706","ENGINEERING, CHEMICAL - SCIE","107,998","32.5","Q1","4.54","20.81"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","0360-1285","1873-216X","ENGINEERING, CHEMICAL - SCIE","15,670","29.5","Q1","2.33","34.62"%,
"Nature Biomedical Engineering","NAT BIOMED ENG","2157-846X","2157-846X","ENGINEERING, BIOMEDICAL - SCIE","13,517","28.1","Q1","5.37","7.04"%,
"EnergyChem","ENERGYCHEM","2589-7780","2589-7780","ENGINEERING, CHEMICAL - ESCI","1,927","25.1","N/A","2.04","7.46"%,
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","0926-3373","1873-3883","ENGINEERING, CHEMICAL - SCIE","159,057","22.1","Q1","3.14","8.83"%,
"Bioactive Materials","BIOACT MATER","N/A","2452-199X","ENGINEERING, BIOMEDICAL - SCIE","15,010","18.9","Q1","3.35","94.37"%,
"IEEE Reviews in Biomedical Engineering","IEEE REV BIOMED ENG","1937-3333","1941-1189","ENGINEERING, BIOMEDICAL - SCIE","2,473","17.6","Q1","2.53","17.74"%,
"Chinese Journal of Catalysis","CHINESE J CATAL","0253-9837","1872-2067","ENGINEERING, CHEMICAL - SCIE","16,335","16.5","Q1","2.29","1.95"%,
"Chemical Engineering Journal","CHEM ENG J","1385-8947","1873-3212","ENGINEERING, CHEMICAL - SCIE","330,617","15.1","Q1","1.99","5.78"%,
"BIOMATERIALS","BIOMATERIALS","0142-9612","1878-5905","ENGINEERING, BIOMEDICAL - SCIE","119,835","14","Q1","2.61","19.38"%,
"Green Energy & Environment","GREEN ENERGY ENVIRON","2096-2797","2468-0257","ENGINEERING, CHEMICAL - SCIE","4,184","13.3","Q1","1.42","85.87"%,
"Journal of Energy Chemistry","J ENERGY CHEM","2095-4956","2095-4956","ENGINEERING, CHEMICAL - SCIE","26,526","13.1","Q1","1.97","5.16"%,
"npj Clean Water","NPJ CLEAN WATER","2059-7037","2059-7037","ENGINEERING, CHEMICAL - SCIE","1,884","11.4","Q1","1.76","99.33"%,
"Biomaterials Research","BIOMATER RES","1226-4601","2055-7124","ENGINEERING, BIOMEDICAL - SCIE","2,418","11.3","Q1","1.46","100"%,
"Satellite Navigation","SATELLITE NAVIG","2662-9291","2662-1363","ENGINEERING, AEROSPACE - ESCI","755","11.2","N/A","2.1","98.86"%,
"APPLIED ENERGY","APPL ENERG","0306-2619","1872-9118","ENGINEERING, CHEMICAL - SCIE","156,087","11.2","Q1","1.65","19.16"%,
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","1361-8415","1361-8423","ENGINEERING, BIOMEDICAL - SCIE","19,500","10.9","Q1","2.65","30.57"%,
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","ENGINEERING, BIOMEDICAL - SCIE","34,640","10.6","Q1","2.38","15.81"%,
