"Journal Data Filtered By:  Selected Categories: ALLERGY;ANATOMY & MORPHOLOGY;ANDROLOGY;ANESTHESIOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY","J ALLERGY CLIN IMMUN","0091-6749","1097-6825","ALLERGY - SCIE","60,069","14.2","Q1","2.44","30.88"%,
"ALLERGY","ALLERGY","0105-4538","1398-9995","ALLERGY - SCIE","24,704","12.4","Q1","1.91","32.28"%,
"ANAESTHESIA","ANAESTHESIA","0003-2409","1365-2044","ANESTHESIOLOGY - SCIE","14,002","10.7","Q1","3.23","23.67"%,
"BRITISH JOURNAL OF ANAESTHESIA","BRIT J ANAESTH","0007-0912","1471-6771","ANESTHESIOLOGY - SCIE","27,442","9.8","Q1","2.82","71.74"%,
"Journal of Allergy and Clinical Immunology-In Practice","J ALLER CL IMM-PRACT","2213-2198","2213-2201","ALLERGY - SCIE","13,968","9.4","Q1","1.47","19.27"%,
"CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY","CLIN REV ALLERG IMMU","1080-0549","1559-0267","ALLERGY - SCIE","5,688","9.1","Q1","1.57","21.9"%,
"ANESTHESIOLOGY","ANESTHESIOLOGY","0003-3022","1528-1175","ANESTHESIOLOGY - SCIE","30,426","8.8","Q1","2.87","1.18"%,
"PAIN","PAIN","0304-3959","1872-6623","ANESTHESIOLOGY - SCIE","42,319","7.4","Q1","1.95","17.41"%,
"JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY","J INVEST ALLERG CLIN","1018-9068","1698-0808","ALLERGY - SCIE","2,647","7.2","Q1","0.73","90.65"%,
"ALLERGOLOGY INTERNATIONAL","ALLERGOL INT","1323-8930","1440-1592","ALLERGY - SCIE","3,394","6.8","Q1","0.88","95"%,
"Journal of Clinical Anesthesia","J CLIN ANESTH","0952-8180","1873-4529","ANESTHESIOLOGY - SCIE","6,214","6.7","Q1","1.62","12.46"%,
"CLINICAL AND EXPERIMENTAL ALLERGY","CLIN EXP ALLERGY","0954-7894","1365-2222","ALLERGY - SCIE","11,429","6.1","Q1","0.89","32.62"%,
"ANESTHESIA AND ANALGESIA","ANESTH ANALG","0003-2999","0003-2999","ANESTHESIOLOGY - SCIE","30,800","5.9","Q1","1.96","5.67"%,
"ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY","ANN ALLERG ASTHMA IM","1081-1206","1534-4436","ALLERGY - SCIE","10,137","5.9","Q2","0.84","16.7"%,
"CONTACT DERMATITIS","CONTACT DERMATITIS","0105-1873","1600-0536","ALLERGY - SCIE","7,341","5.5","Q2","1.07","24.68"%,
"Anaesthesia Critical Care & Pain Medicine","ANAESTH CRIT CARE PA","2352-5568","2352-5568","ANESTHESIOLOGY - SCIE","1,767","5.5","Q1","1.04","37.62"%,
"CURRENT ALLERGY AND ASTHMA REPORTS","CURR ALLERGY ASTHM R","1529-7322","1534-6315","ALLERGY - SCIE","3,497","5.5","Q2","0.61","15.69"%,
"REGIONAL ANESTHESIA AND PAIN MEDICINE","REGION ANESTH PAIN M","1098-7339","1532-8651","ANESTHESIOLOGY - SCIE","7,088","5.1","Q1","1.78","8.98"%,
"World Allergy Organization Journal","WORLD ALLERGY ORGAN","1939-4551","1939-4551","ALLERGY - SCIE","3,109","5.1","Q2","0.86","91.88"%,
