"Journal Data Filtered By:  Selected Categories: ENGINEERING, ELECTRICAL & ELECTRONIC;ENGINEERING, ENVIRONMENTAL;ENGINEERING, GEOLOGICAL;ENGINEERING, INDUSTRIAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Nature Electronics","NAT ELECTRON","2520-1131","2520-1131","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","11,819","34.3","Q1","5.24","6.13"%,
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","IEEE T PATTERN ANAL","0162-8828","1939-3539","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","82,070","23.6","Q1","6.82","9.74"%,
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","0926-3373","1873-3883","ENGINEERING, ENVIRONMENTAL - SCIE","159,057","22.1","Q1","3.14","8.83"%,
"PROCEEDINGS OF THE IEEE","P IEEE","0018-9219","1558-2256","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","43,276","20.6","Q1","4.48","37.72"%,
"IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE J SEL AREA COMM","0733-8716","1558-0008","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","25,373","16.4","Q1","3.54","11.48"%,
"Journal of Industrial Information Integration","J IND INF INTEGR","2467-964X","2452-414X","ENGINEERING, INDUSTRIAL - SCIE","2,914","15.7","Q1","2.05","15.7"%,
"Environmental Chemistry Letters","ENVIRON CHEM LETT","1610-3653","1610-3661","ENGINEERING, ENVIRONMENTAL - SCIE","14,047","15.7","Q1","1.05","10.17"%,
"Chemical Engineering Journal","CHEM ENG J","1385-8947","1873-3212","ENGINEERING, ENVIRONMENTAL - SCIE","330,617","15.1","Q1","1.99","5.78"%,
"IEEE SIGNAL PROCESSING MAGAZINE","IEEE SIGNAL PROC MAG","1053-5888","1558-0792","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","16,104","14.9","Q1","3.22","13.41"%,
"npj Flexible Electronics","NPJ FLEX ELECTRON","N/A","2397-4621","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","2,034","14.6","Q1","2.36","99.4"%,
"JOURNAL OF HAZARDOUS MATERIALS","J HAZARD MATER","0304-3894","1873-3336","ENGINEERING, ENVIRONMENTAL - SCIE","208,425","13.6","Q1","1.93","6.97"%,
"RESOURCES CONSERVATION AND RECYCLING","RESOUR CONSERV RECY","0921-3449","1879-0658","ENGINEERING, ENVIRONMENTAL - SCIE","44,781","13.2","Q1","1.66","22.03"%,
"IEEE WIRELESS COMMUNICATIONS","IEEE WIREL COMMUN","1536-1284","1558-0687","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","11,380","12.9","Q1","3.01","0"%,
"WATER RESEARCH","WATER RES","0043-1354","1879-2448","ENGINEERING, ENVIRONMENTAL - SCIE","144,182","12.8","Q1","2.15","17.38"%,
"TECHNOVATION","TECHNOVATION","0166-4972","1879-2383","ENGINEERING, INDUSTRIAL - SCIE","10,085","12.5","Q1","2.13","23.97"%,
"IEEE Transactions on Industrial Informatics","IEEE T IND INFORM","1551-3203","1941-0050","ENGINEERING, INDUSTRIAL - SCIE","47,728","12.3","Q1","2.5","4.86"%,
"JOURNAL OF MANUFACTURING SYSTEMS","J MANUF SYST","0278-6125","1878-6642","ENGINEERING, INDUSTRIAL - SCIE","10,303","12.1","Q1","2.15","15.21"%,
