"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","0360-1285","1873-216X","ENGINEERING, MECHANICAL - SCIE","15,670","29.5","Q1","2.33","34.62"%,
"Annual Review of Entomology","ANNU REV ENTOMOL","0066-4170","1545-4487","ENTOMOLOGY - SCIE","14,912","23.8","Q1","3.82","5.56"%,
"International Journal of Extreme Manufacturing","INT J EXTREME MANUF","2631-8644","2631-7990","ENGINEERING, MANUFACTURING - SCIE","1,325","14.7","Q1","1.24","100"%,
"INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE","INT J MACH TOOL MANU","0890-6955","1879-2170","ENGINEERING, MANUFACTURING - SCIE","18,239","14","Q1","2.49","17.84"%,
"INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE","INT J MACH TOOL MANU","0890-6955","1879-2170","ENGINEERING, MECHANICAL - SCIE","18,239","14","Q1","2.49","17.84"%,
"COMPOSITES PART B-ENGINEERING","COMPOS PART B-ENG","1359-8368","1879-1069","ENGINEERING, MULTIDISCIPLINARY - SCIE","73,676","13.1","Q1","2.8","11.21"%,
"Engineering","ENGINEERING-PRC","2095-8099","2096-0026","ENGINEERING, MULTIDISCIPLINARY - SCIE","9,085","12.8","Q1","3.04","87.26"%,
"JOURNAL OF MANUFACTURING SYSTEMS","J MANUF SYST","0278-6125","1878-6642","ENGINEERING, MANUFACTURING - SCIE","10,303","12.1","Q1","2.15","15.21"%,
"INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS","INT J PROD ECON","0925-5273","1873-7579","ENGINEERING, MANUFACTURING - SCIE","37,217","12","Q1","2.14","13.01"%,
"Additive Manufacturing","ADDIT MANUF","2214-8604","2214-7810","ENGINEERING, MANUFACTURING - SCIE","31,212","11","Q1","1.96","31.35"%,
"Virtual and Physical Prototyping","VIRTUAL PHYS PROTOTY","1745-2759","1745-2767","ENGINEERING, MANUFACTURING - SCIE","3,127","10.6","Q1","1.58","33.33"%,
"ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING","ROBOT CIM-INT MANUF","0736-5845","1879-2537","ENGINEERING, MANUFACTURING - SCIE","9,919","10.4","Q1","2.1","10.85"%,
"INTERNATIONAL JOURNAL OF PLASTICITY","INT J PLASTICITY","0749-6419","1879-2154","ENGINEERING, MECHANICAL - SCIE","19,234","9.8","Q1","2.1","24.18"%,
"ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING","ARCH COMPUT METHOD E","1134-3060","1886-1784","ENGINEERING, MULTIDISCIPLINARY - SCIE","6,634","9.7","Q1","1.09","11.61"%,
"INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH","INT J PROD RES","0020-7543","1366-588X","ENGINEERING, MANUFACTURING - SCIE","37,041","9.2","Q1","1.46","7.79"%,
"ADVANCED ENGINEERING INFORMATICS","ADV ENG INFORM","1474-0346","1873-5320","ENGINEERING, MULTIDISCIPLINARY - SCIE","8,622","8.8","Q1","1.98","10.95"%,
"ENGINEERING WITH COMPUTERS","ENG COMPUT-GERMANY","0177-0667","1435-5663","ENGINEERING, MECHANICAL - SCIE","10,540","8.7","Q1","1.67","4.89"%,
"COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING","COMPOS PART A-APPL S","1359-835X","1878-5840","ENGINEERING, MANUFACTURING - SCIE","38,747","8.7","Q1","1.55","12.37"%,
"MECHANICAL SYSTEMS AND SIGNAL PROCESSING","MECH SYST SIGNAL PR","0888-3270","1096-1216","ENGINEERING, MECHANICAL - SCIE","49,000","8.4","Q1","2.34","8.71"%,
"Nonlinear Engineering - Modeling and Application","NONLINEAR ENG-MODEL","2192-8010","2192-8029","ENGINEERING, MECHANICAL - ESCI","1,234","8.3","N/A","1.68","92.45"%,
"JOURNAL OF INTELLIGENT MANUFACTURING","J INTELL MANUF","0956-5515","1572-8145","ENGINEERING, MANUFACTURING - SCIE","8,810","8.3","Q1","1.31","17.16"%,
"PRODUCTION PLANNING & CONTROL","PROD PLAN CONTROL","0953-7287","1366-5871","ENGINEERING, MANUFACTURING - SCIE","7,530","8.3","Q1","1.15","15.62"%,
