"Journal Data Filtered By:  Selected Categories: ENVIRONMENTAL SCIENCES;ENVIRONMENTAL STUDIES;ERGONOMICS;ETHICS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Nature Reviews Earth & Environment","NAT REV EARTH ENV","N/A","2662-138X","ENVIRONMENTAL SCIENCES - SCIE","4,599","42.1","Q1","4","0.68"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","1754-5692","1754-5706","ENVIRONMENTAL SCIENCES - SCIE","107,998","32.5","Q1","4.54","20.81"%,
"Nature Climate Change","NAT CLIM CHANGE","1758-678X","1758-6798","ENVIRONMENTAL SCIENCES - SCIE","45,022","30.7","Q1","5.18","10.24"%,
"Nature Climate Change","NAT CLIM CHANGE","1758-678X","1758-6798","ENVIRONMENTAL STUDIES - SSCI","45,022","30.7","Q1","5.18","10.24"%,
"Nature Sustainability","NAT SUSTAIN","2398-9629","2398-9629","ENVIRONMENTAL SCIENCES - SCIE","14,346","27.6","Q1","4.22","9.02"%,
"Nature Sustainability","NAT SUSTAIN","2398-9629","2398-9629","ENVIRONMENTAL STUDIES - SSCI","14,346","27.6","Q1","4.22","9.02"%,
"Lancet Planetary Health","LANCET PLANET HEALTH","N/A","2542-5196","ENVIRONMENTAL SCIENCES - SCIE","6,220","25.7","Q1","4.23","90.34"%,
"Annual Review of Environment and Resources","ANNU REV ENV RESOUR","1543-5938","1545-2050","ENVIRONMENTAL SCIENCES - SCIE","6,750","16.4","Q1","1.37","77.78"%,
"Annual Review of Environment and Resources","ANNU REV ENV RESOUR","1543-5938","1545-2050","ENVIRONMENTAL STUDIES - SSCI","6,750","16.4","Q1","1.37","77.78"%,
"One Earth","ONE EARTH","2590-3330","2590-3322","ENVIRONMENTAL SCIENCES - SCIE","3,916","16.2","Q1","1.79","83.27"%,
"One Earth","ONE EARTH","2590-3330","2590-3322","ENVIRONMENTAL STUDIES - SSCI","3,916","16.2","Q1","1.79","83.27"%,
"Environmental Chemistry Letters","ENVIRON CHEM LETT","1610-3653","1610-3661","ENVIRONMENTAL SCIENCES - SCIE","14,047","15.7","Q1","1.05","10.17"%,
