"Journal Data Filtered By:  Selected Categories: GASTROENTEROLOGY & HEPATOLOGY;GENETICS & HEREDITY;GEOCHEMISTRY & GEOPHYSICS;GEOGRAPHY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Nature Reviews Gastroenterology & Hepatology","NAT REV GASTRO HEPAT","1759-5045","1759-5053","GASTROENTEROLOGY & HEPATOLOGY - SCIE","25,080","65.1","Q1","9.19","4.94"%,
"NATURE REVIEWS GENETICS","NAT REV GENET","1471-0056","1471-0064","GENETICS & HEREDITY - SCIE","43,862","42.7","Q1","6.24","5.84"%,
"Lancet Gastroenterology & Hepatology","LANCET GASTROENTEROL","N/A","2468-1253","GASTROENTEROLOGY & HEPATOLOGY - SCIE","11,326","35.7","Q1","5.44","13.79"%,
"NATURE GENETICS","NAT GENET","1061-4036","1546-1718","GENETICS & HEREDITY - SCIE","111,677","30.8","Q1","9.35","20.64"%,
"Gastroenterology","GASTROENTEROLOGY","0016-5085","1528-0012","GASTROENTEROLOGY & HEPATOLOGY - SCIE","95,926","29.4","Q1","5.38","31.17"%,
"Dialogues in Human Geography","DIALOGUES HUM GEOGR","2043-8206","2043-8214","GEOGRAPHY - SSCI","1,539","27.5","Q1","2.68","36.73"%,
"JOURNAL OF HEPATOLOGY","J HEPATOL","0168-8278","1600-0641","GASTROENTEROLOGY & HEPATOLOGY - SCIE","60,299","25.7","Q1","4.97","40.18"%,
"REVIEWS OF GEOPHYSICS","REV GEOPHYS","8755-1209","1944-9208","GEOCHEMISTRY & GEOPHYSICS - SCIE","16,845","25.2","Q1","2.5","50.75"%,
"GUT","GUT","0017-5749","1468-3288","GASTROENTEROLOGY & HEPATOLOGY - SCIE","64,795","24.5","Q1","6.06","47.05"%,
"Annual Review of Marine Science","ANNU REV MAR SCI","1941-1405","1941-0611","GEOCHEMISTRY & GEOPHYSICS - SCIE","6,141","17.3","Q1","2.47","6.56"%,
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","0169-5347","1872-8383","GENETICS & HEREDITY - SCIE","39,957","16.8","Q1","1.89","37.84"%,
"IEEE Geoscience and Remote Sensing Magazine","IEEE GEOSC REM SEN M","2473-2397","2168-6831","GEOCHEMISTRY & GEOPHYSICS - SCIE","4,128","14.6","Q1","2.47","0.89"%,
"HEPATOLOGY","HEPATOLOGY","0270-9139","1527-3350","GASTROENTEROLOGY & HEPATOLOGY - SCIE","76,159","14","Q1","3.09","19.94"%,
"Liver Cancer","LIVER CANCER","2235-1795","1664-5553","GASTROENTEROLOGY & HEPATOLOGY - SCIE","2,842","13.8","Q1","2.35","100"%,
"Clinical Gastroenterology and Hepatology","CLIN GASTROENTEROL H","1542-3565","1542-7714","GASTROENTEROLOGY & HEPATOLOGY - SCIE","27,764","12.6","Q1","2.46","23.62"%,
"MOLECULAR THERAPY","MOL THER","1525-0016","1525-0024","GENETICS & HEREDITY - SCIE","27,418","12.4","Q1","2.72","93.36"%,
"GENOME BIOLOGY","GENOME BIOL","1474-760X","1474-760X","GENETICS & HEREDITY - SCIE","68,817","12.3","Q1","3.27","99.17"%,
"Genome Medicine","GENOME MED","1756-994X","1756-994X","GENETICS & HEREDITY - SCIE","11,529","12.3","Q1","2.96","100"%,
"Gut Microbes","GUT MICROBES","1949-0976","1949-0984","GASTROENTEROLOGY & HEPATOLOGY - SCIE","11,846","12.2","Q1","2.12","99.7"%,
"TRENDS IN GENETICS","TRENDS GENET","0168-9525","1362-4555","GENETICS & HEREDITY - SCIE","14,568","11.4","Q1","1.43","34.22"%,
"Annual Review of Genetics","ANNU REV GENET","0066-4197","1545-2948","GENETICS & HEREDITY - SCIE","8,530","11.1","Q1","1.36","0"%,
