"Journal Data Filtered By:  Selected Categories: HEALTH CARE SCIENCES & SERVICES;HEALTH POLICY & SERVICES;HEMATOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Journal of Hematology & Oncology","J HEMATOL ONCOL","N/A","1756-8722","HEMATOLOGY - SCIE","20,030","28.5","Q1","3.57","99.75"%,
"Lancet Haematology","LANCET HAEMATOL","2352-3026","N/A","HEMATOLOGY - SCIE","6,997","24.7","Q1","4.26","9.81"%,
"Lancet Regional Health-Europe","LANCET REG HEALTH-EU","2666-7762","2666-7762","HEALTH CARE SCIENCES & SERVICES - ESCI","3,699","20.9","N/A","7.13","93.33"%,
"BLOOD","BLOOD","0006-4971","1528-0020","HEMATOLOGY - SCIE","180,276","20.3","Q1","3.16","12.62"%,
"CIRCULATION RESEARCH","CIRC RES","0009-7330","1524-4571","HEMATOLOGY - SCIE","66,672","20.1","Q1","3.93","14.88"%,
"npj Digital Medicine","NPJ DIGIT MED","2398-6352","2398-6352","HEALTH CARE SCIENCES & SERVICES - SCIE","7,252","15.2","Q1","3.5","99.33"%,
"Blood Cancer Journal","BLOOD CANCER J","2044-5385","2044-5385","HEMATOLOGY - SCIE","6,523","12.8","Q1","1.91","99.66"%,
"AMERICAN JOURNAL OF HEMATOLOGY","AM J HEMATOL","0361-8609","1096-8652","HEMATOLOGY - SCIE","16,213","12.8","Q1","1.73","18.69"%,
"JAMA Health Forum","JAMA-HEALTH FORUM","2689-0186","2689-0186","HEALTH CARE SCIENCES & SERVICES - ESCI","1,057","11.5","N/A","1.25","99.44"%,
"JAMA Health Forum","JAMA-HEALTH FORUM","2689-0186","2689-0186","HEALTH POLICY & SERVICES - ESCI","1,057","11.5","N/A","1.25","99.44"%,
"Blood Cancer Discovery","BLOOD CANCER DISCOV","2643-3230","2643-3249","HEMATOLOGY - ESCI","794","11.4","N/A","2.18","23.86"%,
"LEUKEMIA","LEUKEMIA","0887-6924","1476-5551","HEMATOLOGY - SCIE","33,595","11.4","Q1","1.99","43.66"%,
"Experimental Hematology & Oncology","EXP HEMATOL ONCOL","N/A","2162-3619","HEMATOLOGY - SCIE","1,706","11.4","Q1","1.46","100"%,
"JOURNAL OF THROMBOSIS AND HAEMOSTASIS","J THROMB HAEMOST","1538-7933","1538-7836","HEMATOLOGY - SCIE","25,689","10.4","Q1","2.34","53.97"%,
"HAEMATOLOGICA","HAEMATOLOGICA","0390-6078","1592-8721","HEMATOLOGY - SCIE","23,245","10.1","Q1","1.73","96.38"%,
"HEALTH AFFAIRS","HEALTH AFFAIR","0278-2715","0278-2715","HEALTH CARE SCIENCES & SERVICES - SCIE","21,974","9.7","Q1","2.89","12.68"%,
"HEALTH AFFAIRS","HEALTH AFFAIR","0278-2715","0278-2715","HEALTH POLICY & SERVICES - SSCI","21,974","9.7","Q1","2.89","12.68"%,
"HemaSphere","HEMASPHERE","N/A","2572-9241","HEMATOLOGY - SCIE","1,658","9.1","Q1","0.92","98.78"%,
"ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY","ARTERIOSCL THROM VAS","1079-5642","1524-4636","HEMATOLOGY - SCIE","38,287","8.7","Q1","1.79","18.1"%,
