"Journal Data Filtered By:  Selected Categories: HISTORY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"ECONOMIC HISTORY REVIEW","ECON HIST REV","0013-0117","1468-0289","HISTORY - AHCI","2,347","2.2","N/A","3.12","32.53"%,
"ECONOMIC HISTORY REVIEW","ECON HIST REV","0013-0117","1468-0289","HISTORY - SSCI","2,347","2.2","Q1","3.12","32.53"%,
"Nations and Nationalism","NATIONS NATL","1354-5078","1469-8129","HISTORY - SSCI","1,827","2.2","Q1","2.13","27.72"%,
"JOURNAL OF ECONOMIC HISTORY","J ECON HIST","0022-0507","1471-6372","HISTORY - AHCI","2,983","2.1","N/A","3.28","34.12"%,
"Journal of Global History","J GLOBAL HIST","1740-0228","1740-0236","HISTORY - AHCI","661","1.9","N/A","5.29","36.26"%,
"Journal of Global History","J GLOBAL HIST","1740-0228","1740-0236","HISTORY - SSCI","661","1.9","Q1","5.29","36.26"%,
"PAST & PRESENT","PAST PRESENT","0031-2746","1477-464X","HISTORY - AHCI","2,734","1.8","N/A","5.79","23.91"%,
"PAST & PRESENT","PAST PRESENT","0031-2746","1477-464X","HISTORY - SSCI","2,734","1.8","Q1","5.79","23.91"%,
"Politics Religion & Ideology","POLIT RELIG IDEOL","2156-7689","2156-7697","HISTORY - AHCI","350","1.8","N/A","2.18","21.21"%,
"Politics Religion & Ideology","POLIT RELIG IDEOL","2156-7689","2156-7697","HISTORY - SSCI","350","1.8","Q1","2.18","21.21"%,
"Cliometrica","CLIOMETRICA","1863-2505","1863-2513","HISTORY - AHCI","346","1.6","N/A","2.42","29.33"%,
"Cliometrica","CLIOMETRICA","1863-2505","1863-2513","HISTORY - SSCI","346","1.6","Q1","2.42","29.33"%,
"AMERICAN HISTORICAL REVIEW","AM HIST REV","0002-8762","1937-5239","HISTORY - AHCI","3,069","1.5","N/A","3.68","1.68"%,
"AMERICAN HISTORICAL REVIEW","AM HIST REV","0002-8762","1937-5239","HISTORY - SSCI","3,069","1.5","Q1","3.68","1.68"%,
"HISTORICAL METHODS","HIST METHOD","0161-5440","1940-1906","HISTORY - AHCI","334","1.4","N/A","3.44","32.56"%,
"HISTORICAL METHODS","HIST METHOD","0161-5440","1940-1906","HISTORY - SSCI","334","1.4","Q1","3.44","32.56"%,
"IRISH HISTORICAL STUDIES","IRISH HIST STUD","0021-1214","2056-4139","HISTORY - AHCI","214","1.4","N/A","2.38","34.78"%,
"Postcolonial Studies","POSTCOLONIAL STUD-UK","1368-8790","1466-1888","HISTORY - AHCI","683","1.3","N/A","1.45","14.29"%,
"Postcolonial Studies","POSTCOLONIAL STUD-UK","1368-8790","1466-1888","HISTORY - SSCI","683","1.3","Q1","1.45","14.29"%,
"JOURNAL OF AMERICAN HISTORY","J AM HIST","0021-8723","1945-2314","HISTORY - AHCI","1,375","1.2","N/A","3.28","0"%,
"JOURNAL OF AMERICAN HISTORY","J AM HIST","0021-8723","1945-2314","HISTORY - SSCI","1,375","1.2","Q1","3.28","0"%,
"History and Technology","HIST TECHNOL","0734-1512","1477-2620","HISTORY - AHCI","406","1.2","N/A","2.95","21.82"%,
"Anatolian Studies","ANATOL STUD","0066-1546","2048-0849","HISTORY - AHCI","360","1.2","N/A","1.73","31.03"%,
"INTELLIGENCE AND NATIONAL SECURITY","INTELL NATL SECUR","0268-4527","1743-9019","HISTORY - SSCI","883","1.2","Q1","1.37","20.19"%,
"Nationalities Papers-The Journal of Nationalism and Ethnicity","NATL PAP","0090-5992","1465-3923","HISTORY - SSCI","1,131","1.2","Q1","1.32","38.93"%,
"HISTORY AND THEORY","HIST THEORY","0018-2656","1468-2303","HISTORY - AHCI","1,393","1.1","N/A","3.49","20.34"%,
"HISTORY AND THEORY","HIST THEORY","0018-2656","1468-2303","HISTORY - SSCI","1,393","1.1","Q1","3.49","20.34"%,
"NUMEN-INTERNATIONAL REVIEW FOR THE HISTORY OF RELIGIONS","NUMEN-INT REV HIST R","0029-5973","1568-5276","HISTORY - AHCI","422","1.1","N/A","3.06","29.23"%,
"JOURNAL OF AFRICAN HISTORY","J AFR HIST","0021-8537","1469-5138","HISTORY - AHCI","1,168","1.1","N/A","3","38.89"%,
"JOURNAL OF AFRICAN HISTORY","J AFR HIST","0021-8537","1469-5138","HISTORY - SSCI","1,168","1.1","Q1","3","38.89"%,
"Memory Studies","MEM STUD","1750-6980","1750-6999","HISTORY - AHCI","1,103","1.1","N/A","2.17","21.12"%,
"Memory Studies","MEM STUD","1750-6980","1750-6999","HISTORY - SSCI","1,103","1.1","Q1","2.17","21.12"%,
"Oral History Review","ORAL HIST REV","0094-0798","1533-8592","HISTORY - AHCI","245","1.1","N/A","2.02","13.95"%,
"Oral History Review","ORAL HIST REV","0094-0798","1533-8592","HISTORY - SSCI","245","1.1","Q1","2.02","13.95"%,
"ENVIRONMENT AND HISTORY","ENVIRON HIST-UK","0967-3407","1752-7023","HISTORY - AHCI","387","1.1","N/A","1.52","3.17"%,
"ENVIRONMENT AND HISTORY","ENVIRON HIST-UK","0967-3407","1752-7023","HISTORY - SSCI","387","1.1","Q1","1.52","3.17"%,
"HISTORY WORKSHOP JOURNAL","HIST WORKSHOP J","1363-3554","1477-4569","HISTORY - AHCI","904","1","N/A","2.88","26.25"%,
"HISTORY WORKSHOP JOURNAL","HIST WORKSHOP J","1363-3554","1477-4569","HISTORY - SSCI","904","1","Q1","2.88","26.25"%,
"SOCIAL HISTORY","SOC HIST","0307-1022","1470-1200","HISTORY - AHCI","506","1","N/A","2.76","31.37"%,
"JOURNAL OF BRITISH STUDIES","J BRIT STUD","0021-9371","1545-6986","HISTORY - AHCI","840","1","N/A","2.72","38.46"%,
"JOURNAL OF BRITISH STUDIES","J BRIT STUD","0021-9371","1545-6986","HISTORY - SSCI","840","1","Q1","2.72","38.46"%,
"Revista de Historia Economica","REV HIST ECON","0212-6109","2041-3335","HISTORY - SSCI","318","1","Q1","1.89","17.74"%,
"Twentieth Century British History","TWENT CENTURY BR HIS","0955-2359","1477-4674","HISTORY - AHCI","445","0.9","N/A","3.22","31.25"%,
"Modern Intellectual History","MOD INTELLECT HIST","1479-2443","1479-2451","HISTORY - AHCI","378","0.9","N/A","3.09","21.6"%,
"JOURNAL OF WORLD HISTORY","J WORLD HIST","1045-6007","1527-8050","HISTORY - AHCI","625","0.9","N/A","2.95","0"%,
"SOUTH ASIA-JOURNAL OF SOUTH ASIAN STUDIES","S ASIA","0085-6401","1479-0270","HISTORY - SSCI","734","0.9","Q1","2.09","9.14"%,
"Historical Social Research-Historische Sozialforschung","HIST SOC RES","0172-6404","N/A","HISTORY - SSCI","1,174","0.9","Q1","1.84","0"%,
"British Journal of Middle Eastern Studies","BRIT J MIDDLE E STUD","1353-0194","1469-3542","HISTORY - AHCI","601","0.9","N/A","1.82","12.25"%,
"History & Memory","HIST MEM","0935-560X","1527-1994","HISTORY - AHCI","120","0.9","N/A","1.53","0"%,
"Journal of the History of Economic Thought","J HIST ECON THOUGHT","1053-8372","1469-9656","HISTORY - AHCI","340","0.9","N/A","1.45","18.29"%,
"Journal of the History of Economic Thought","J HIST ECON THOUGHT","1053-8372","1469-9656","HISTORY - SSCI","340","0.9","Q1","1.45","18.29"%,
"WILLIAM AND MARY QUARTERLY","WILLIAM MARY QUART","0043-5597","1933-7698","HISTORY - AHCI","1,120","0.8","N/A","3.9","0"%,
"HISTORICAL JOURNAL","HIST J","0018-246X","1469-5103","HISTORY - AHCI","1,506","0.8","N/A","3.15","46.6"%,
"HISTORICAL JOURNAL","HIST J","0018-246X","1469-5103","HISTORY - SSCI","1,506","0.8","Q1","3.15","46.6"%,
"Journal of Chinese History","J CHINESE HIST","2059-1632","2059-1640","HISTORY - ESCI","72","0.8","N/A","2.53","22.06"%,
"Contemporary European History","CONTEMP EUR HIST","0960-7773","1469-2171","HISTORY - AHCI","550","0.8","N/A","2.5","45.4"%,
"Contemporary European History","CONTEMP EUR HIST","0960-7773","1469-2171","HISTORY - SSCI","550","0.8","Q1","2.5","45.4"%,
"JOURNAL OF SOCIAL HISTORY","J SOC HIST","0022-4529","1527-1897","HISTORY - AHCI","972","0.8","N/A","2.34","10.08"%,
"JOURNAL OF SOCIAL HISTORY","J SOC HIST","0022-4529","1527-1897","HISTORY - SSCI","972","0.8","Q1","2.34","10.08"%,
"Itinerario-International Journal on the History of European Expansion and Global Interaction","ITINERARIO","0165-1153","2041-2827","HISTORY - AHCI","254","0.8","N/A","2.16","39.06"%,
"Itinerario-International Journal on the History of European Expansion and Global Interaction","ITINERARIO","0165-1153","2041-2827","HISTORY - SSCI","254","0.8","Q1","2.16","39.06"%,
"INTERNATIONAL REVIEW OF SOCIAL HISTORY","INT REV SOC HIST","0020-8590","1469-512X","HISTORY - AHCI","623","0.8","N/A","2.03","40.48"%,
"INTERNATIONAL REVIEW OF SOCIAL HISTORY","INT REV SOC HIST","0020-8590","1469-512X","HISTORY - SSCI","623","0.8","Q1","2.03","40.48"%,
"Critical Historical Studies","CRIT HIST STUD","2326-4462","2326-4470","HISTORY - ESCI","148","0.8","N/A","1.7","0"%,
"SOCIAL SCIENCE HISTORY","SOC SCI HIST","0145-5532","1527-8034","HISTORY - AHCI","672","0.8","N/A","1.59","27.88"%,
"SOCIAL SCIENCE HISTORY","SOC SCI HIST","0145-5532","1527-8034","HISTORY - SSCI","672","0.8","Q1","1.59","27.88"%,
"Law and History Review","LAW HIST REV","0738-2480","1939-9022","HISTORY - AHCI","499","0.8","N/A","1.58","25.27"%,
"Law and History Review","LAW HIST REV","0738-2480","1939-9022","HISTORY - SSCI","499","0.8","Q1","1.58","25.27"%,
"Planning Perspectives","PLAN PERSPECT","0266-5433","1466-4518","HISTORY - AHCI","673","0.8","N/A","1.49","20.32"%,
"Vulcan","VULCAN","2213-459X","2213-4603","HISTORY - ESCI","12","0.8","N/A","0.98","0"%,
"Journal of Cold War Studies","J COLD WAR STUD","1520-3972","1531-3298","HISTORY - AHCI","336","0.8","N/A","0.87","1.49"%,
"Journal of Cold War Studies","J COLD WAR STUD","1520-3972","1531-3298","HISTORY - SSCI","336","0.8","Q1","0.87","1.49"%,
"Diplomatica","DIPLOMATICA","2589-1766","2589-1774","HISTORY - ESCI","42","0.8","N/A","0.83","19.15"%,
"AUSTRALIAN JOURNAL OF POLITICS AND HISTORY","AUST J POLIT HIST","0004-9522","1467-8497","HISTORY - AHCI","367","0.8","N/A","0.78","11.83"%,
"AUSTRALIAN JOURNAL OF POLITICS AND HISTORY","AUST J POLIT HIST","0004-9522","1467-8497","HISTORY - SSCI","367","0.8","Q1","0.78","11.83"%,
"Contemporary British History","CONTEMP BR HIST","1361-9462","1743-7997","HISTORY - AHCI","309","0.7","N/A","2.46","29.63"%,
"Rural History-Economy Society Culture","RURAL HIST","0956-7933","1474-0656","HISTORY - AHCI","156","0.7","N/A","2.14","24.56"%,
"Rural History-Economy Society Culture","RURAL HIST","0956-7933","1474-0656","HISTORY - SSCI","156","0.7","Q2","2.14","24.56"%,
"Slavery & Abolition","SLAVERY ABOLIT","0144-039X","1743-9523","HISTORY - AHCI","559","0.7","N/A","1.98","21.85"%,
"JOURNAL OF CONTEMPORARY HISTORY","J CONTEMP HIST","0022-0094","1461-7250","HISTORY - AHCI","1,085","0.7","N/A","1.9","17.27"%,
"JOURNAL OF CONTEMPORARY HISTORY","J CONTEMP HIST","0022-0094","1461-7250","HISTORY - SSCI","1,085","0.7","Q2","1.9","17.27"%,
"SOCIAL HISTORY OF MEDICINE","SOC HIST MED","0951-631X","1477-4666","HISTORY - AHCI","759","0.7","N/A","1.89","31.32"%,
"SOCIAL HISTORY OF MEDICINE","SOC HIST MED","0951-631X","1477-4666","HISTORY - SSCI","759","0.7","Q2","1.89","31.32"%,
"ENGLISH HISTORICAL REVIEW","ENGL HIST REV","0013-8266","1477-4534","HISTORY - AHCI","821","0.7","N/A","1.86","37.86"%,
"ENGLISH HISTORICAL REVIEW","ENGL HIST REV","0013-8266","1477-4534","HISTORY - SSCI","821","0.7","Q2","1.86","37.86"%,
"Historia y Comunicacion Social","HIST COMUN SOC","1137-0734","1988-3056","HISTORY - AHCI","346","0.7","N/A","1.82","93.67"%,
"Journal of the Economic and Social History of the Orient","J ECON SOC HIST ORIE","0022-4995","1568-5209","HISTORY - AHCI","538","0.7","N/A","1.75","27.85"%,
"Journal of the Economic and Social History of the Orient","J ECON SOC HIST ORIE","0022-4995","1568-5209","HISTORY - SSCI","538","0.7","Q2","1.75","27.85"%,
