"Journal Data Filtered By:  Selected Categories: HISTORY & PHILOSOPHY OF SCIENCE;HISTORY OF SOCIAL SCIENCES;HORTICULTURE;HOSPITALITY, LEISURE, SPORT & TOURISM Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"ANNALS OF TOURISM RESEARCH","ANN TOURISM RES","0160-7383","1873-7722","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI","19,874","13.2","Q1","3.56","17.96"%,
"Tourism Management","TOURISM MANAGE","0261-5177","1879-3193","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI","36,171","12.7","Q1","3.05","9.16"%,
"Journal of Hospitality Marketing & Management","J HOSP MARKET MANAG","1936-8623","1936-8631","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI","3,703","12.5","Q1","1.95","4.11"%,
"Journal of Sport and Health Science","J SPORT HEALTH SCI","2095-2546","2213-2961","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI","4,337","12.2","Q1","2.23","98.54"%,
"International Journal of Hospitality Management","INT J HOSP MANAG","0278-4319","1873-4693","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI","23,098","11.7","Q1","2.97","4.78"%,
"International Journal of Contemporary Hospitality Management","INT J CONTEMP HOSP M","0959-6119","1757-1049","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI","14,841","11.1","Q1","2.11","3.58"%,
"Tourism Geographies","TOURISM GEOGR","1461-6688","1470-1340","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI","4,422","9.8","Q1","2.17","13.16"%,
"Information Technology & Tourism","INF TECHNOL TOUR","1098-3058","1943-4294","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI","1,019","9.3","Q1","1.51","21.43"%,
"Journal of Sustainable Tourism","J SUSTAIN TOUR","0966-9582","1747-7646","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI","12,146","9","Q1","1.67","15.44"%,
"Journal of Travel Research","J TRAVEL RES","0047-2875","1552-6763","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI","13,840","8.9","Q1","2.1","12.86"%,
