"Journal Data Filtered By:  Selected Categories: HUMANITIES, MULTIDISCIPLINARY;IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"IEEE Geoscience and Remote Sensing Magazine","IEEE GEOSC REM SEN M","2473-2397","2168-6831","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE","4,128","14.6","Q1","2.47","0.89"%,
"REMOTE SENSING OF ENVIRONMENT","REMOTE SENS ENVIRON","0034-4257","1879-0704","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE","89,316","13.5","Q1","2.45","47.11"%,
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING","ISPRS J PHOTOGRAMM","0924-2716","1872-8235","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE","26,107","12.7","Q1","2.58","25.94"%,
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE","34,640","10.6","Q1","2.38","15.81"%,
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING","IEEE T GEOSCI REMOTE","0196-2892","1558-0644","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE","80,604","8.2","Q1","1.89","6.88"%,
"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","IEEE J-STARS","1939-1404","2151-1535","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE","23,986","5.5","Q1","1.12","97.64"%,
"IEEE Transactions on Computational Imaging","IEEE T COMPUT IMAG","2573-0436","2333-9403","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE","2,802","5.4","Q1","1.08","24.17"%,
"Remote Sensing","REMOTE SENS-BASEL","N/A","2072-4292","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE","112,665","5","Q2","1.02","99.43"%,
"IEEE Geoscience and Remote Sensing Letters","IEEE GEOSCI REMOTE S","1545-598X","1558-0571","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE","26,724","4.8","Q2","1.13","7.24"%,
"VIRTUAL REALITY","VIRTUAL REAL-LONDON","1359-4338","1434-9957","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE","2,473","4.2","Q2","0.94","34.78"%,
