"Journal Data Filtered By:  Selected Categories: ANTHROPOLOGY;ARCHAEOLOGY;ARCHITECTURE;AREA STUDIES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"JOURNAL OF PEASANT STUDIES","J PEASANT STUD","0306-6150","1743-9361","ANTHROPOLOGY - SSCI","5,571","5.1","Q1","2.18","28.72"%,
"Journal of Chinese Political Science","J CHIN POLIT SCI","1080-6954","1874-6357","AREA STUDIES - SSCI","826","4.4","Q1","2.85","8.11"%,
"CHINA JOURNAL","CHINA J","1324-9347","1835-8535","AREA STUDIES - SSCI","969","4.3","Q1","3.98","0"%,
"BULLETIN OF INDONESIAN ECONOMIC STUDIES","B INDONES ECON STUD","0007-4918","1472-7234","AREA STUDIES - SSCI","503","4.1","Q1","1.91","8.11"%,
"JOURNAL OF ARCHAEOLOGICAL RESEARCH","J ARCHAEOL RES","1059-0161","1573-7756","ANTHROPOLOGY - SSCI","892","3.8","Q1","3.47","31.25"%,
"JOURNAL OF ARCHAEOLOGICAL RESEARCH","J ARCHAEOL RES","1059-0161","1573-7756","ARCHAEOLOGY - AHCI","892","3.8","N/A","3.47","31.25"%,
"EURASIAN GEOGRAPHY AND ECONOMICS","EURASIAN GEOGR ECON","1538-7216","1938-2863","AREA STUDIES - SSCI","1,598","3.8","Q1","2.66","16.56"%,
"EVOLUTIONARY ANTHROPOLOGY","EVOL ANTHROPOL","1060-1538","1520-6505","ANTHROPOLOGY - SSCI","2,314","3.7","Q1","1.63","14.67"%,
"Frontiers of Architectural Research","FRONT ARCHIT RES","2095-2635","2095-2643","ARCHITECTURE - AHCI","1,354","3.5","N/A","4.43","90.1"%,
"Science and Technology of Archaeological Research","SCI TECHNOL ARCHAEOL","2054-8923","2054-8923","ARCHAEOLOGY - ESCI","208","3.5","N/A","1.31","100"%,
