"Journal Data Filtered By:  Selected Categories: IMMUNOLOGY;INDUSTRIAL RELATIONS & LABOR;INFECTIOUS DISEASES;INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"NATURE REVIEWS IMMUNOLOGY","NAT REV IMMUNOL","1474-1733","1474-1741","IMMUNOLOGY - SCIE","66,033","100.3","Q1","8.11","1.65"%,
"LANCET INFECTIOUS DISEASES","LANCET INFECT DIS","1473-3099","1474-4457","INFECTIOUS DISEASES - SCIE","46,654","56.3","Q1","7.69","27.88"%,
"Lancet Microbe","LANCET MICROBE","N/A","2666-5247","INFECTIOUS DISEASES - SCIE","4,054","38.2","Q1","4.99","87.88"%,
"Immunity","IMMUNITY","1074-7613","1097-4180","IMMUNOLOGY - SCIE","77,462","32.4","Q1","5.24","78.85"%,
"NATURE IMMUNOLOGY","NAT IMMUNOL","1529-2908","1529-2916","IMMUNOLOGY - SCIE","58,377","30.5","Q1","4.78","10.14"%,
"Annual Review of Immunology","ANNU REV IMMUNOL","0732-0582","1545-3278","IMMUNOLOGY - SCIE","20,103","29.7","Q1","2.88","2.41"%,
"JOURNAL OF INFECTION","J INFECTION","0163-4453","1532-2742","INFECTIOUS DISEASES - SCIE","17,464","28.2","Q1","2.98","29.48"%,
"JOURNAL OF TRAVEL MEDICINE","J TRAVEL MED","1195-1982","1708-8305","INFECTIOUS DISEASES - SCIE","5,367","25.7","Q1","1.68","26.9"%,
"Science Immunology","SCI IMMUNOL","2470-9468","2470-9468","IMMUNOLOGY - SCIE","11,760","24.8","Q1","4.24","14.36"%,
"Cellular & Molecular Immunology","CELL MOL IMMUNOL","1672-7681","2042-0226","IMMUNOLOGY - SCIE","13,869","24.1","Q1","1.98","43.68"%,
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","19,865","21","Q1","5.72","17.02"%,
"Eurosurveillance","EUROSURVEILLANCE","1025-496X","1560-7917","INFECTIOUS DISEASES - SCIE","16,362","19","Q1","3.5","95.91"%,
"TRENDS IN IMMUNOLOGY","TRENDS IMMUNOL","1471-4906","1471-4981","IMMUNOLOGY - SCIE","17,527","16.8","Q1","1.44","27.6"%,
"Lancet HIV","LANCET HIV","2352-3018","2352-3018","IMMUNOLOGY - SCIE","5,796","16.1","Q1","2.39","27.8"%,
"Lancet HIV","LANCET HIV","2352-3018","2352-3018","INFECTIOUS DISEASES - SCIE","5,796","16.1","Q1","2.39","27.8"%,
"JOURNAL OF EXPERIMENTAL MEDICINE","J EXP MED","0022-1007","1540-9538","IMMUNOLOGY - SCIE","70,263","15.3","Q1","3.06","99.14"%,
"BRAIN BEHAVIOR AND IMMUNITY","BRAIN BEHAV IMMUN","0889-1591","1090-2139","IMMUNOLOGY - SCIE","29,784","15.1","Q1","2.54","32.18"%,
"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY","J ALLERGY CLIN IMMUN","0091-6749","1097-6825","IMMUNOLOGY - SCIE","60,069","14.2","Q1","2.44","30.88"%,
"CLINICAL MICROBIOLOGY AND INFECTION","CLIN MICROBIOL INFEC","1198-743X","1469-0691","INFECTIOUS DISEASES - SCIE","30,210","14.2","Q1","2.35","60.76"%,
"AUTOIMMUNITY REVIEWS","AUTOIMMUN REV","1568-9972","1873-0183","IMMUNOLOGY - SCIE","13,910","13.6","Q1","1.32","22.25"%,
"Emerging Microbes & Infections","EMERG MICROBES INFEC","N/A","2222-1751","IMMUNOLOGY - SCIE","11,189","13.2","Q1","2.55","96"%,
"Emerging Microbes & Infections","EMERG MICROBES INFEC","N/A","2222-1751","INFECTIOUS DISEASES - SCIE","11,189","13.2","Q1","2.55","96"%,
"JOURNAL OF AUTOIMMUNITY","J AUTOIMMUN","0896-8411","1095-9157","IMMUNOLOGY - SCIE","11,240","12.8","Q1","1.92","28.41"%,
"ALLERGY","ALLERGY","0105-4538","1398-9995","IMMUNOLOGY - SCIE","24,704","12.4","Q1","1.91","32.28"%,
"Travel Medicine and Infectious Disease","TRAVEL MED INFECT DI","1477-8939","1873-0442","INFECTIOUS DISEASES - SCIE","4,634","12","Q1","1.79","33.72"%,
"CLINICAL INFECTIOUS DISEASES","CLIN INFECT DIS","1058-4838","1537-6591","IMMUNOLOGY - SCIE","94,663","11.8","Q1","2.5","35.65"%,
"CLINICAL INFECTIOUS DISEASES","CLIN INFECT DIS","1058-4838","1537-6591","INFECTIOUS DISEASES - SCIE","94,663","11.8","Q1","2.5","35.65"%,
"EMERGING INFECTIOUS DISEASES","EMERG INFECT DIS","1080-6040","1080-6059","IMMUNOLOGY - SCIE","39,490","11.8","Q1","1.71","97.12"%,
"EMERGING INFECTIOUS DISEASES","EMERG INFECT DIS","1080-6040","1080-6059","INFECTIOUS DISEASES - SCIE","39,490","11.8","Q1","1.71","97.12"%,
"Journal for ImmunoTherapy of Cancer","J IMMUNOTHER CANCER","N/A","2051-1426","IMMUNOLOGY - SCIE","23,254","10.9","Q1","1.9","99.81"%,
"International Journal of Antimicrobial Agents","INT J ANTIMICROB AG","0924-8579","1872-7913","INFECTIOUS DISEASES - SCIE","17,254","10.8","Q1","2.56","21.05"%,
"Cancer Immunology Research","CANCER IMMUNOL RES","2326-6066","2326-6074","IMMUNOLOGY - SCIE","12,883","10.1","Q1","2.07","15.23"%,
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","0378-7206","1872-7530","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","13,809","9.9","Q1","2.42","10.53"%,
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","0960-085X","1476-9344","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","5,473","9.5","Q1","2.02","27.49"%,
"Journal of Allergy and Clinical Immunology-In Practice","J ALLER CL IMM-PRACT","2213-2198","2213-2201","IMMUNOLOGY - SCIE","13,968","9.4","Q1","1.47","19.27"%,
"Journal of Neuroinflammation","J NEUROINFLAMM","N/A","1742-2094","IMMUNOLOGY - SCIE","26,022","9.3","Q1","1.69","100"%,
"npj Vaccines","NPJ VACCINES","N/A","2059-0105","IMMUNOLOGY - SCIE","3,551","9.2","Q1","1.73","100"%,
"CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY","CLIN REV ALLERG IMMU","1080-0549","1559-0267","IMMUNOLOGY - SCIE","5,688","9.1","Q1","1.57","21.9"%,
"JOURNAL OF CLINICAL IMMUNOLOGY","J CLIN IMMUNOL","0271-9142","1573-2592","IMMUNOLOGY - SCIE","7,586","9.1","Q1","1.16","36.43"%,
"Seminars in Immunopathology","SEMIN IMMUNOPATHOL","1863-2297","1863-2300","IMMUNOLOGY - SCIE","6,135","9","Q1","1.37","54.55"%,
"Infectious Disease Modelling","INFECT DIS MODEL","N/A","2468-0427","INFECTIOUS DISEASES - ESCI","1,931","8.8","N/A","2.16","94.58"%,
"IMMUNOLOGICAL REVIEWS","IMMUNOL REV","0105-2896","1600-065X","IMMUNOLOGY - SCIE","19,832","8.7","Q1","0.85","24.41"%,
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","10,883","8.6","Q1","2.39","9.93"%,
"CLINICAL IMMUNOLOGY","CLIN IMMUNOL","1521-6616","1521-7035","IMMUNOLOGY - SCIE","11,184","8.6","Q1","1.02","16.05"%,
"TELEMATICS AND INFORMATICS","TELEMAT INFORM","0736-5853","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","8,586","8.5","Q1","2.6","9.92"%,
"INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES","INT J INFECT DIS","1201-9712","1878-3511","INFECTIOUS DISEASES - SCIE","24,706","8.4","Q1","1.63","98.27"%,
"Infectious Diseases of Poverty","INFECT DIS POVERTY","2095-5162","2049-9957","INFECTIOUS DISEASES - SCIE","4,556","8.1","Q1","1.89","100"%,
"Inflammation and Regeneration","INFLAMM REGEN","N/A","1880-8190","IMMUNOLOGY - SCIE","1,392","8.1","Q1","0.91","100"%,
"Mucosal Immunology","MUCOSAL IMMUNOL","1933-0219","1935-3456","IMMUNOLOGY - SCIE","10,754","8","Q1","1.22","88.25"%,
"HLA","HLA","2059-2302","2059-2310","IMMUNOLOGY - SCIE","1,550","8","Q1","0.72","22.16"%,
"Immunity & Ageing","IMMUN AGEING","1742-4933","1742-4933","IMMUNOLOGY - SCIE","2,018","7.9","Q1","1.41","99.28"%,
"GOVERNMENT INFORMATION QUARTERLY","GOV INFORM Q","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","6,753","7.8","Q1","2.48","26.11"%,
"Vaccines","VACCINES-BASEL","N/A","2076-393X","IMMUNOLOGY - SCIE","23,664","7.8","Q1","1.44","99.45"%,
"SEMINARS IN IMMUNOLOGY","SEMIN IMMUNOL","1044-5323","1096-3618","IMMUNOLOGY - SCIE","7,355","7.8","Q1","0.78","28.86"%,
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","0742-1222","1557-928X","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","9,097","7.7","Q1","1.65","12.4"%,
"INFECTION","INFECTION","0300-8126","1439-0973","INFECTIOUS DISEASES - SCIE","6,308","7.5","Q1","1.08","43.89"%,
"JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION","J MICROBIOL IMMUNOL","1684-1182","1995-9133","IMMUNOLOGY - SCIE","5,137","7.4","Q1","1.48","96"%,
"JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION","J MICROBIOL IMMUNOL","1684-1182","1995-9133","INFECTIOUS DISEASES - SCIE","5,137","7.4","Q1","1.48","96"%,
"MIS QUARTERLY","MIS QUART","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","29,364","7.3","Q1","1.72","0.94"%,
"Frontiers in Immunology","FRONT IMMUNOL","1664-3224","1664-3224","IMMUNOLOGY - SCIE","163,472","7.3","Q1","0.96","99.47"%,
"EXERCISE IMMUNOLOGY REVIEW","EXERC IMMUNOL REV","1077-5552","1077-5552","IMMUNOLOGY - SCIE","973","7.3","Q1","0.84","0"%,
"Journal of Computer-Mediated Communication","J COMPUT-MEDIAT COMM","1083-6101","1083-6101","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","5,312","7.2","Q1","2.27","60"%,
"OncoImmunology","ONCOIMMUNOLOGY","2162-402X","2162-402X","IMMUNOLOGY - SCIE","16,708","7.2","Q1","1.24","100"%,
"ImmunoTargets and Therapy","IMMUNOTARGETS THER","N/A","2253-1556","IMMUNOLOGY - ESCI","805","7.2","N/A","0.73","96.72"%,
"JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY","J INVEST ALLERG CLIN","1018-9068","1698-0808","IMMUNOLOGY - SCIE","2,647","7.2","Q1","0.73","90.65"%,
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","0963-8687","1873-1198","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","3,517","7","Q1","2.22","30.19"%,
"Journal of Knowledge Management","J KNOWL MANAG","1367-3270","1758-7484","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","9,844","7","Q1","1.97","7.99"%,
"CURRENT OPINION IN IMMUNOLOGY","CURR OPIN IMMUNOL","0952-7915","1879-0372","IMMUNOLOGY - SCIE","10,494","7","Q1","0.71","26.32"%,
"Journal of Hospital Infection","J HOSP INFECT","0195-6701","1532-2939","INFECTIOUS DISEASES - SCIE","11,562","6.9","Q1","1.33","27.64"%,
"BIODRUGS","BIODRUGS","1173-8804","1179-190X","IMMUNOLOGY - SCIE","2,991","6.8","Q1","1.05","49.7"%,
"ALLERGOLOGY INTERNATIONAL","ALLERGOL INT","1323-8930","1440-1592","IMMUNOLOGY - SCIE","3,394","6.8","Q1","0.88","95"%,
"Journal of Infection and Public Health","J INFECT PUBLIC HEAL","1876-0341","1876-035X","INFECTIOUS DISEASES - SCIE","6,941","6.7","Q1","1.35","96.04"%,
"INFLAMMATION RESEARCH","INFLAMM RES","1023-3830","1420-908X","IMMUNOLOGY - SCIE","6,644","6.7","Q2","0.78","10.73"%,
