"Journal Data Filtered By:  Selected Categories: INSTRUMENTS & INSTRUMENTATION;INTEGRATIVE & COMPLEMENTARY MEDICINE;INTERNATIONAL RELATIONS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"SENSORS AND ACTUATORS B-CHEMICAL","SENSOR ACTUAT B-CHEM","N/A","0925-4005","INSTRUMENTS & INSTRUMENTATION - SCIE","121,244","8.4","Q1","1.92","5.14"%,
"Photoacoustics","PHOTOACOUSTICS","2213-5979","2213-5979","INSTRUMENTS & INSTRUMENTATION - SCIE","2,551","7.9","Q1","2.14","88.57"%,
"PHYTOMEDICINE","PHYTOMEDICINE","0944-7113","1618-095X","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","20,568","7.9","Q1","2.06","12.06"%,
"Microsystems & Nanoengineering","MICROSYST NANOENG","2055-7434","2055-7434","INSTRUMENTS & INSTRUMENTATION - SCIE","3,564","7.9","Q1","1.36","99.71"%,
"INTERNATIONAL ORGANIZATION","INT ORGAN","0020-8183","1531-5088","INTERNATIONAL RELATIONS - SSCI","8,555","7.8","Q1","3.87","8.47"%,
"IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS","IEEE T IND ELECTRON","0278-0046","1557-9948","INSTRUMENTS & INSTRUMENTATION - SCIE","90,247","7.7","Q1","2.16","3.22"%,
"FOREIGN AFFAIRS","FOREIGN AFF","0015-7120","N/A","INTERNATIONAL RELATIONS - SSCI","4,434","7.5","Q1","1.34","0"%,
"ISA TRANSACTIONS","ISA T","0019-0578","1879-2022","INSTRUMENTS & INSTRUMENTATION - SCIE","16,393","7.3","Q1","1.76","1.63"%,
"STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL","STRUCT HEALTH MONIT","1475-9217","1741-3168","INSTRUMENTS & INSTRUMENTATION - SCIE","7,930","6.6","Q1","1.67","7.61"%,
"Journal of Ginseng Research","J GINSENG RES","1226-8453","2093-4947","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","3,726","6.3","Q1","1.64","98.45"%,
"LAB ON A CHIP","LAB CHIP","1473-0197","1473-0189","INSTRUMENTS & INSTRUMENTATION - SCIE","36,033","6.1","Q1","1.25","22.09"%,
"APPLIED SPECTROSCOPY REVIEWS","APPL SPECTROSC REV","0570-4928","1520-569X","INSTRUMENTS & INSTRUMENTATION - SCIE","3,208","6.1","Q1","0.67","9.85"%,
"Contemporary Security Policy","CONTEMP SECUR POL","1352-3260","1743-8764","INTERNATIONAL RELATIONS - SSCI","846","5.9","Q1","2.58","42.17"%,
"Sensors and Actuators Reports","SENSOR ACTUATOR REP","2666-0539","2666-0539","INSTRUMENTS & INSTRUMENTATION - ESCI","515","5.9","N/A","0.83","100"%,
"AMERICAN JOURNAL OF CHINESE MEDICINE","AM J CHINESE MED","0192-415X","1793-6853","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","5,523","5.7","Q1","1.63","1.99"%,
"Earth System Governance","EARTH SYST GOV-NETH","2589-8116","2589-8116","INTERNATIONAL RELATIONS - ESCI","500","5.6","N/A","2.52","96.47"%,
"MEASUREMENT","MEASUREMENT","0263-2241","1873-412X","INSTRUMENTS & INSTRUMENTATION - SCIE","38,427","5.6","Q1","1.63","7.41"%,
"IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT","IEEE T INSTRUM MEAS","0018-9456","1557-9662","INSTRUMENTS & INSTRUMENTATION - SCIE","33,773","5.6","Q1","1.34","7.22"%,
"JOURNAL OF ETHNOPHARMACOLOGY","J ETHNOPHARMACOL","0378-8741","1872-7573","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","55,776","5.4","Q1","1.46","8.75"%,
"Structural Control & Health Monitoring","STRUCT CONTROL HLTH","1545-2255","1545-2263","INSTRUMENTS & INSTRUMENTATION - SCIE","8,291","5.4","Q1","1.18","81.15"%,
"Biosensors-Basel","BIOSENSORS-BASEL","N/A","2079-6374","INSTRUMENTS & INSTRUMENTATION - SCIE","8,041","5.4","Q1","0.78","99.84"%,
"INTERNATIONAL SECURITY","INT SECURITY","0162-2889","1531-4804","INTERNATIONAL RELATIONS - SSCI","4,332","5","Q1","3.3","13.21"%,
"WORLD POLITICS","WORLD POLIT","0043-8871","1086-3338","INTERNATIONAL RELATIONS - SSCI","4,895","5","Q1","1.93","0"%,
"Chinese Medicine","CHIN MED-UK","1749-8546","1749-8546","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","3,710","4.9","Q1","1.18","100"%,
"Global Environmental Politics","GLOBAL ENVIRON POLIT","1526-3800","1536-0091","INTERNATIONAL RELATIONS - SSCI","2,072","4.8","Q1","1.76","13.98"%,
"Journal of Integrative Medicine-JIM","J INTEGR MED-JIM","2095-4964","2095-4964","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","1,703","4.8","Q1","1.23","11.24"%,
"Chinese Journal of Natural Medicines","CHIN J NAT MEDICINES","2095-6975","1875-5364","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","3,749","4.6","Q1","1.07","0"%,
"SENSORS AND ACTUATORS A-PHYSICAL","SENSOR ACTUAT A-PHYS","0924-4247","1873-3069","INSTRUMENTS & INSTRUMENTATION - SCIE","27,436","4.6","Q1","1.01","6.9"%,
"INTERNATIONAL AFFAIRS","INT AFF","0020-5850","1468-2346","INTERNATIONAL RELATIONS - SSCI","4,102","4.5","Q1","2.41","29.18"%,
"Journal of Traditional and Complementary Medicine","J TRADIT COMPL MED","2225-4110","2225-4110","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","2,566","4.5","Q2","1.37","95.63"%,
"Photonic Sensors","PHOTONIC SENS","1674-9251","2190-7439","INSTRUMENTS & INSTRUMENTATION - SCIE","1,167","4.4","Q1","0.98","100"%,
"World Journal of Traditional Chinese Medicine","WORLD J TRAD CHINESE","2311-8571","2589-2894","INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI","641","4.4","N/A","0.55","82.05"%,
"REVIEW OF INTERNATIONAL POLITICAL ECONOMY","REV INT POLIT ECON","0969-2290","1466-4526","INTERNATIONAL RELATIONS - SSCI","3,600","4.3","Q1","1.72","31.63"%,
"IEEE SENSORS JOURNAL","IEEE SENS J","1530-437X","1558-1748","INSTRUMENTS & INSTRUMENTATION - SCIE","49,495","4.3","Q1","1.01","6.85"%,
"DISPLAYS","DISPLAYS","0141-9382","1872-7387","INSTRUMENTS & INSTRUMENTATION - SCIE","1,888","4.3","Q1","0.99","5.6"%,
"NEW POLITICAL ECONOMY","NEW POLIT ECON","1356-3467","1469-9923","INTERNATIONAL RELATIONS - SSCI","2,591","4.2","Q1","1.62","32.08"%,
"Chemosensors","CHEMOSENSORS","N/A","2227-9040","INSTRUMENTS & INSTRUMENTATION - SCIE","3,399","4.2","Q2","0.72","99.32"%,
"Smart Materials and Structures","SMART MATER STRUCT","0964-1726","1361-665X","INSTRUMENTS & INSTRUMENTATION - SCIE","25,121","4.1","Q2","0.84","8.22"%,
"AMERICAN JOURNAL OF INTERNATIONAL LAW","AM J INT LAW","0002-9300","2161-7953","INTERNATIONAL RELATIONS - SSCI","2,646","4","Q1","1.79","14.42"%,
"EMERGING MARKETS FINANCE AND TRADE","EMERG MARK FINANC TR","1540-496X","1558-0938","INTERNATIONAL RELATIONS - SSCI","5,231","4","Q1","1.23","2.07"%,
"Review of International Organizations","REV INT ORGAN","1559-7431","1559-744X","INTERNATIONAL RELATIONS - SSCI","1,592","3.9","Q1","2.56","38.89"%,
"BMC Complementary Medicine and Therapies","BMC COMPLEMENT MED","N/A","2662-7671","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","2,864","3.9","Q2","1.07","99.19"%,
"CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS","CHEMOMETR INTELL LAB","0169-7439","1873-3239","INSTRUMENTS & INSTRUMENTATION - SCIE","11,921","3.9","Q2","1.06","13.77"%,
"SENSORS","SENSORS-BASEL","N/A","1424-8220","INSTRUMENTS & INSTRUMENTATION - SCIE","159,519","3.9","Q2","0.89","99.45"%,
"Marine Policy","MAR POLICY","0308-597X","1872-9460","INTERNATIONAL RELATIONS - SSCI","15,212","3.8","Q1","1.51","27.99"%,
"JOURNAL OF PEACE RESEARCH","J PEACE RES","0022-3433","1460-3578","INTERNATIONAL RELATIONS - SSCI","6,490","3.6","Q1","1.9","22.01"%,
"COMPLEMENTARY THERAPIES IN MEDICINE","COMPLEMENT THER MED","0965-2299","1873-6963","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","5,716","3.6","Q2","0.9","50.56"%,
"PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY","PRECIS ENG","0141-6359","1873-2372","INSTRUMENTS & INSTRUMENTATION - SCIE","7,275","3.6","Q2","0.78","12.79"%,
"Smart Structures and Systems","SMART STRUCT SYST","1738-1584","1738-1991","INSTRUMENTS & INSTRUMENTATION - SCIE","3,383","3.5","Q2","0.96","0"%,
"APPLIED SPECTROSCOPY","APPL SPECTROSC","0003-7028","1943-3530","INSTRUMENTS & INSTRUMENTATION - SCIE","9,615","3.5","Q2","0.91","11.19"%,
"Journal of Evidence-Based Integrative Medicine","J EVID-BASED INTEGR","2515-690X","2515-690X","INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI","1,591","3.5","N/A","0.87","96.92"%,
"Romanian Journal of Information Science and Technology","ROM J INF SCI TECH","1453-8245","1453-8245","INSTRUMENTS & INSTRUMENTATION - SCIE","392","3.5","Q2","0.45","0"%,
"EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS","EUR J INT RELAT","1354-0661","1460-3713","INTERNATIONAL RELATIONS - SSCI","3,043","3.4","Q1","1.63","40.96"%,
