"Journal Data Filtered By:  Selected Categories: LANGUAGE & LINGUISTICS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Transactions of the Association for Computational Linguistics","T ASSOC COMPUT LING","N/A","2307-387X","LANGUAGE & LINGUISTICS - AHCI","4,277","10.9","N/A","6.95","98.24"%,
"COMPUTATIONAL LINGUISTICS","COMPUT LINGUIST","0891-2017","1530-9312","LANGUAGE & LINGUISTICS - AHCI","3,123","9.3","N/A","3.52","97.73"%,
"Computer Assisted Language Learning","COMPUT ASSIST LANG L","0958-8221","1744-3210","LANGUAGE & LINGUISTICS - AHCI","4,291","7","N/A","3.58","6.38"%,
"ReCALL","RECALL","0958-3440","1474-0109","LANGUAGE & LINGUISTICS - AHCI","1,382","4.5","N/A","3.53","29.85"%,
"Language Testing","LANG TEST","0265-5322","1477-0946","LANGUAGE & LINGUISTICS - AHCI","2,712","4.1","N/A","2.37","10.64"%,
"Annual Review of Applied Linguistics","ANNU REV APPL LINGUI","0267-1905","1471-6356","LANGUAGE & LINGUISTICS - AHCI","1,612","3.7","N/A","2.6","31.43"%,
"Language Teaching","LANG TEACHING","0261-4448","1475-3049","LANGUAGE & LINGUISTICS - AHCI","2,677","3.6","N/A","2.42","16.54"%,
"Language Culture and Curriculum","LANG CULT CURRIC","0790-8318","1747-7573","LANGUAGE & LINGUISTICS - AHCI","1,001","3.5","N/A","1.99","9.62"%,
"Annual Review of Linguistics","ANNU REV LINGUIST","2333-9691","2333-9691","LANGUAGE & LINGUISTICS - AHCI","675","3.2","N/A","3.39","0"%,
"Journal of English for Academic Purposes","J ENGL ACAD PURP","1475-1585","1878-1497","LANGUAGE & LINGUISTICS - AHCI","2,244","3","N/A","2.2","11.35"%,
"Language Assessment Quarterly","LANG ASSESS Q","1543-4303","1543-4311","LANGUAGE & LINGUISTICS - AHCI","1,207","2.9","N/A","1.38","6.98"%,
"International Journal of Bilingual Education and Bilingualism","INT J BILING EDUC BI","1367-0050","1747-7522","LANGUAGE & LINGUISTICS - AHCI","3,439","2.8","N/A","2.85","13.39"%,
"Language Testing in Asia","LANG TEST ASIA","N/A","2229-0443","LANGUAGE & LINGUISTICS - ESCI","413","2.8","N/A","1.71","100"%,
"Journal of Language Evolution","J LANG EVOL","2058-4571","2058-458X","LANGUAGE & LINGUISTICS - ESCI","149","2.6","N/A","2.74","37.04"%,
"Applied Linguistics Review","APPL LINGUIST REV","1868-6303","1868-6311","LANGUAGE & LINGUISTICS - AHCI","1,007","2.6","N/A","2.28","10.65"%,
"Language and Linguistics Compass","LANG LINGUIST COMPAS","1749-818X","1749-818X","LANGUAGE & LINGUISTICS - ESCI","1,629","2.5","N/A","2.4","29.49"%,
"ELT Journal","ELT J","0951-0893","1477-4526","LANGUAGE & LINGUISTICS - AHCI","2,415","2.5","N/A","1.63","6.71"%,
"Natural Language Engineering","NAT LANG ENG","1351-3249","1469-8110","LANGUAGE & LINGUISTICS - AHCI","1,256","2.5","N/A","1.48","35.25"%,
"Current Issues in Language Planning","CURR ISS LANG PLAN","1466-4208","1747-7506","LANGUAGE & LINGUISTICS - AHCI","740","2.4","N/A","1.78","21.7"%,
"ITL-International Journal of Applied Linguistics","ITL-INT J APPL LING","0019-0829","1783-1490","LANGUAGE & LINGUISTICS - ESCI","234","2.3","N/A","2.09","6.67"%,
"JOURNAL OF MULTILINGUAL AND MULTICULTURAL DEVELOPMENT","J MULTILING MULTICUL","0143-4632","1747-7557","LANGUAGE & LINGUISTICS - AHCI","2,713","2.3","N/A","1.71","16.48"%,
"Multilingua-Journal of Cross-Cultural and Interlanguage Communication","MULTILINGUA","0167-8507","1613-3684","LANGUAGE & LINGUISTICS - AHCI","729","2.3","N/A","1.65","22.95"%,
"International Journal of Multilingualism","INT J MULTILING","1479-0718","1747-7530","LANGUAGE & LINGUISTICS - AHCI","1,578","2.3","N/A","1.64","16.22"%,
"Linguistica Antverpiensia New Series-Themes in Translation Studies","LING ANTVERP NEW SER","2295-5739","2295-5739","LANGUAGE & LINGUISTICS - AHCI","211","2.2","N/A","0.64","0"%,
"LANGUAGE","LANGUAGE","0097-8507","1535-0665","LANGUAGE & LINGUISTICS - AHCI","4,921","2.1","N/A","1.78","0"%,
"Journal of Language and Sexuality","J LANG SEX","2211-3770","2211-3789","LANGUAGE & LINGUISTICS - ESCI","121","2.1","N/A","1.66","0"%,
"International Multilingual Research Journal","INT MULTILING RES J","1931-3152","1931-3160","LANGUAGE & LINGUISTICS - AHCI","488","2.1","N/A","1.35","8.45"%,
"Linguistic Typology","LINGUIST TYPOL","1430-0532","1613-415X","LANGUAGE & LINGUISTICS - AHCI","551","2","N/A","1.66","40.74"%,
"Language Awareness","LANG AWARE","0965-8416","1747-7565","LANGUAGE & LINGUISTICS - AHCI","862","2","N/A","1.61","15.22"%,
"JOURNAL OF PHONETICS","J PHONETICS","0095-4470","1095-8576","LANGUAGE & LINGUISTICS - AHCI","3,478","1.9","N/A","1.87","32.46"%,
"Interpreting","INTERPRETING","1384-6647","1569-982X","LANGUAGE & LINGUISTICS - AHCI","538","1.9","N/A","1.5","5.88"%,
"Language and Education","LANG EDUC-UK","0950-0782","1747-7581","LANGUAGE & LINGUISTICS - AHCI","1,418","1.9","N/A","1.45","19.85"%,
"Language and Intercultural Communication","LANG INTERCULT COMM","1470-8477","1747-759X","LANGUAGE & LINGUISTICS - AHCI","993","1.9","N/A","1.22","15.11"%,
"First Language","FIRST LANG","0142-7237","1740-2344","LANGUAGE & LINGUISTICS - AHCI","1,252","1.9","N/A","1.16","21.48"%,
"Language and Cognition","LANG COGN","1866-9808","1866-9859","LANGUAGE & LINGUISTICS - AHCI","561","1.8","N/A","1.39","61.29"%,
"Journal of Specialised Translation","J SPEC TRANSL","1740-357X","1740-357X","LANGUAGE & LINGUISTICS - AHCI","578","1.8","N/A","1.33","0"%,
"Language Documentation & Conservation","LANG DOC CONSERV","1934-5275","1934-5275","LANGUAGE & LINGUISTICS - ESCI","405","1.8","N/A","0.56","0"%,
"Journal of Language Identity and Education","J LANG IDENTITY EDUC","1534-8458","1532-7701","LANGUAGE & LINGUISTICS - AHCI","1,046","1.7","N/A","1.17","7.39"%,
"COGNITIVE LINGUISTICS","COGN LINGUIST","0936-5907","1613-3641","LANGUAGE & LINGUISTICS - AHCI","1,569","1.7","N/A","1.07","34.78"%,
"Corpus Linguistics and Linguistic Theory","CORPUS LINGUIST LING","1613-7027","1613-7035","LANGUAGE & LINGUISTICS - AHCI","445","1.6","N/A","1.75","21.69"%,
"JOURNAL OF PRAGMATICS","J PRAGMATICS","0378-2166","1879-1387","LANGUAGE & LINGUISTICS - AHCI","7,662","1.6","N/A","1.62","22.37"%,
"Language Policy","LANG POLICY-NETH","1568-4555","1573-1863","LANGUAGE & LINGUISTICS - AHCI","925","1.6","N/A","1.62","28.4"%,
