"Journal Data Filtered By:  Selected Categories: LAW Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"European Journal of Psychology Applied to Legal Context","EUR J PSYCHOL APPL L","1889-1861","1989-4007","LAW - SSCI","530","9.5","Q1","7.4","100"%,
"YALE LAW JOURNAL","YALE LAW J","0044-0094","1939-8611","LAW - SSCI","5,358","6.4","Q1","5.5","0"%,
"STANFORD LAW REVIEW","STANFORD LAW REV","0038-9765","N/A","LAW - SSCI","4,593","4.9","Q1","4.94","0"%,
"Transnational Environmental Law","TRANSNATL ENVIRON LA","2047-1025","2047-1033","LAW - SSCI","618","4.3","Q1","2.62","47.14"%,
"Artificial Intelligence and Law","ARTIF INTELL LAW","0924-8463","1572-8382","LAW - SSCI","943","4.1","Q1","1.8","40.66"%,
"Theory and Practice of Legislation","THEORY PRACT LEGIS","2050-8840","2050-8859","LAW - ESCI","222","4","N/A","3.7","14.04"%,
"AMERICAN JOURNAL OF INTERNATIONAL LAW","AM J INT LAW","0002-9300","2161-7953","LAW - SSCI","2,646","4","Q1","1.79","14.42"%,
"Internet Policy Review","INTERNET POLICY REV","2197-6775","2197-6775","LAW - ESCI","902","3.6","N/A","2.5","91.34"%,
"HARVARD LAW REVIEW","HARVARD LAW REV","0017-811X","2161-976X","LAW - SSCI","6,432","3.4","Q1","3.06","0"%,
"Journal of Law and the Biosciences","J LAW BIOSCI","2053-9711","2053-9711","LAW - SSCI","715","3.4","Q1","2.53","93.63"%,
"International Environmental Agreements-Politics Law and Economics","INT ENVIRON AGREEM-P","1567-9764","1573-1553","LAW - SSCI","1,622","3.4","Q1","1.59","45.3"%,
"JOURNAL OF INTERNATIONAL ECONOMIC LAW","J INT ECON LAW","1369-3034","1464-3758","LAW - SSCI","1,044","3.1","Q1","2.96","24.58"%,
"Regulation & Governance","REGUL GOV","1748-5983","1748-5991","LAW - SSCI","1,798","3","Q1","2.23","40.07"%,
