"Journal Data Filtered By:  Selected Categories: LIMNOLOGY;LINGUISTICS;LITERARY REVIEWS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Transactions of the Association for Computational Linguistics","T ASSOC COMPUT LING","N/A","2307-387X","LINGUISTICS - SSCI","4,277","10.9","Q1","6.95","98.24"%,
"COMPUTATIONAL LINGUISTICS","COMPUT LINGUIST","0891-2017","1530-9312","LINGUISTICS - SSCI","3,123","9.3","Q1","3.52","97.73"%,
"Limnology and Oceanography Letters","LIMNOL OCEANOGR LETT","N/A","2378-2242","LIMNOLOGY - SCIE","1,481","7.8","Q1","1.91","75.34"%,
"Computer Assisted Language Learning","COMPUT ASSIST LANG L","0958-8221","1744-3210","LINGUISTICS - SSCI","4,291","7","Q1","3.58","6.38"%,
"JOURNAL OF SECOND LANGUAGE WRITING","J SECOND LANG WRIT","1060-3743","1873-1422","LINGUISTICS - SSCI","3,252","6.1","Q1","2.89","5.81"%,
"SYSTEM","SYSTEM","0346-251X","1879-3282","LINGUISTICS - SSCI","7,702","6","Q1","3.03","14.35"%,
"WATER RESOURCES RESEARCH","WATER RESOUR RES","0043-1397","1944-7973","LIMNOLOGY - SCIE","68,892","5.4","Q1","1.29","24.26"%,
"MODERN LANGUAGE JOURNAL","MOD LANG J","0026-7902","1540-4781","LINGUISTICS - SSCI","6,730","4.9","Q1","3.48","18.55"%,
"ReCALL","RECALL","0958-3440","1474-0109","LINGUISTICS - SSCI","1,382","4.5","Q1","3.53","29.85"%,
"LIMNOLOGY AND OCEANOGRAPHY","LIMNOL OCEANOGR","0024-3590","1939-5590","LIMNOLOGY - SCIE","31,305","4.5","Q1","1.4","44.78"%,
"LANGUAGE LEARNING","LANG LEARN","0023-8333","1467-9922","LINGUISTICS - SSCI","5,933","4.4","Q1","2.23","33.11"%,
"JOURNAL OF MEMORY AND LANGUAGE","J MEM LANG","0749-596X","1096-0821","LINGUISTICS - SSCI","10,311","4.3","Q1","1.59","26.7"%,
"Language Teaching Research","LANG TEACH RES","1362-1688","1477-0954","LINGUISTICS - SSCI","3,789","4.2","Q1","2.13","10.14"%,
"STUDIES IN SECOND LANGUAGE ACQUISITION","STUD SECOND LANG ACQ","0272-2631","1470-1545","LINGUISTICS - SSCI","4,123","4.1","Q1","2.4","34.92"%,
"Language Testing","LANG TEST","0265-5322","1477-0946","LINGUISTICS - SSCI","2,712","4.1","Q1","2.37","10.64"%,
"Assessing Writing","ASSESS WRIT","1075-2935","1873-5916","LINGUISTICS - SSCI","1,360","3.9","Q1","1.97","8.26"%,
"LANGUAGE LEARNING & TECHNOLOGY","LANG LEARN TECHNOL","1094-3501","N/A","LINGUISTICS - SSCI","2,126","3.8","Q1","1.89","0"%,
