"Journal Data Filtered By:  Selected Categories: MANAGEMENT;MARINE & FRESHWATER BIOLOGY;MATERIALS SCIENCE, BIOMATERIALS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Academy of Management Annals","ACAD MANAG ANN","1941-6520","1941-6067","MANAGEMENT - SSCI","8,731","21.2","Q1","3.54","0"%,
"Bioactive Materials","BIOACT MATER","N/A","2452-199X","MATERIALS SCIENCE, BIOMATERIALS - SCIE","15,010","18.9","Q1","3.35","94.37"%,
"Journal of Innovation & Knowledge","J INNOV KNOWL","2530-7614","2444-569X","MANAGEMENT - SSCI","2,209","18.1","Q1","3.33","89.2"%,
"Annual Review of Marine Science","ANNU REV MAR SCI","1941-1405","1941-0611","MARINE & FRESHWATER BIOLOGY - SCIE","6,141","17.3","Q1","2.47","6.56"%,
"ACADEMY OF MANAGEMENT REVIEW","ACAD MANAGE REV","0363-7425","1930-3807","MANAGEMENT - SSCI","44,906","16.4","Q1","3.36","0"%,
"HARVARD BUSINESS REVIEW","HARVARD BUS REV","0017-8012","0017-8012","MANAGEMENT - SSCI","22,326","14.7","Q1","0.5","0"%,
"BIOMATERIALS","BIOMATERIALS","0142-9612","1878-5905","MATERIALS SCIENCE, BIOMATERIALS - SCIE","119,835","14","Q1","2.61","19.38"%,
"Annual Review of Organizational Psychology and Organizational Behavior","ANNU REV ORGAN PSYCH","2327-0608","2327-0616","MANAGEMENT - SSCI","4,414","13.7","Q1","2.93","0"%,
"JOURNAL OF MANAGEMENT","J MANAGE","0149-2063","1557-1211","MANAGEMENT - SSCI","36,676","13.5","Q1","2.4","19.24"%,
"Business Strategy and the Environment","BUS STRATEG ENVIRON","0964-4733","1099-0836","MANAGEMENT - SSCI","19,033","13.4","Q1","2.52","26.49"%,
"Tourism Management","TOURISM MANAGE","0261-5177","1879-3193","MANAGEMENT - SSCI","36,171","12.7","Q1","3.05","9.16"%,
"TECHNOVATION","TECHNOVATION","0166-4972","1879-2383","MANAGEMENT - SSCI","10,085","12.5","Q1","2.13","23.97"%,
"Journal of Hospitality Marketing & Management","J HOSP MARKET MANAG","1936-8623","1936-8631","MANAGEMENT - SSCI","3,703","12.5","Q1","1.95","4.11"%,
"JOURNAL OF INTERNATIONAL BUSINESS STUDIES","J INT BUS STUD","0047-2506","1478-6990","MANAGEMENT - SSCI","20,520","11.6","Q1","1.94","24.44"%,
"HUMAN RESOURCE MANAGEMENT REVIEW","HUM RESOUR MANAGE R","1053-4822","1873-7889","MANAGEMENT - SSCI","6,369","11.4","Q1","2.32","12.5"%,
"Biomaterials Research","BIOMATER RES","1226-4601","2055-7124","MATERIALS SCIENCE, BIOMATERIALS - SCIE","2,418","11.3","Q1","1.46","100"%,
"International Journal of Contemporary Hospitality Management","INT J CONTEMP HOSP M","0959-6119","1757-1049","MANAGEMENT - SSCI","14,841","11.1","Q1","2.11","3.58"%,
"Journal of Supply Chain Management","J SUPPLY CHAIN MANAG","1523-2409","1745-493X","MANAGEMENT - SSCI","3,791","10.6","Q1","2.17","34.38"%,
"Journal of Service Management","J SERV MANAGE","1757-5818","1757-5826","MANAGEMENT - SSCI","4,232","10.6","Q1","2.12","17.07"%,
"ACADEMY OF MANAGEMENT JOURNAL","ACAD MANAGE J","0001-4273","1948-0989","MANAGEMENT - SSCI","52,012","10.5","Q1","2.38","0"%,
"JOURNAL OF MANAGEMENT STUDIES","J MANAGE STUD","0022-2380","1467-6486","MANAGEMENT - SSCI","16,922","10.5","Q1","1.62","38.38"%,
"JOURNAL OF PRODUCT INNOVATION MANAGEMENT","J PROD INNOVAT MANAG","0737-6782","1540-5885","MANAGEMENT - SSCI","9,409","10.5","Q1","1.62","42.42"%,
"ADMINISTRATIVE SCIENCE QUARTERLY","ADMIN SCI QUART","0001-8392","1930-3815","MANAGEMENT - SSCI","22,552","10.4","Q1","2.43","26.09"%,
"Journal of Business Logistics","J BUS LOGIST","0735-3766","2158-1592","MANAGEMENT - SSCI","3,583","10.3","Q1","2.3","22.22"%,
"INDUSTRIAL MARKETING MANAGEMENT","IND MARKET MANAG","0019-8501","1873-2062","MANAGEMENT - SSCI","19,461","10.3","Q1","1.92","19.44"%,
"CALIFORNIA MANAGEMENT REVIEW","CALIF MANAGE REV","0008-1256","2162-8564","MANAGEMENT - SSCI","8,051","10","Q1","2.31","14.1"%,
"Advanced Healthcare Materials","ADV HEALTHC MATER","2192-2640","2192-2659","MATERIALS SCIENCE, BIOMATERIALS - SCIE","27,799","10","Q1","1.3","14.2"%,
"JOURNAL OF APPLIED PSYCHOLOGY","J APPL PSYCHOL","0021-9010","1939-1854","MANAGEMENT - SSCI","57,881","9.9","Q1","2.64","0"%,
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","0378-7206","1872-7530","MANAGEMENT - SSCI","13,809","9.9","Q1","2.42","10.53"%,
"INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT","INT J OPER PROD MAN","0144-3577","1758-6593","MANAGEMENT - SSCI","9,974","9.9","Q1","1.95","20.15"%,
"Corporate Social Responsibility and Environmental Management","CORP SOC RESP ENV MA","1535-3958","1535-3966","MANAGEMENT - SSCI","10,351","9.8","Q1","1.91","14.84"%,
"Acta Biomaterialia","ACTA BIOMATER","1742-7061","1878-7568","MATERIALS SCIENCE, BIOMATERIALS - SCIE","59,339","9.7","Q1","1.66","22.66"%,
"ORGANIZATIONAL RESEARCH METHODS","ORGAN RES METHODS","1094-4281","1552-7425","MANAGEMENT - SSCI","12,755","9.5","Q1","2.06","14.29"%,
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","0960-085X","1476-9344","MANAGEMENT - SSCI","5,473","9.5","Q1","2.02","27.49"%,
"SERVICE INDUSTRIES JOURNAL","SERV IND J","0264-2069","1743-9507","MANAGEMENT - SSCI","4,695","9.4","Q1","2","7.25"%,
"Operations Management Research","OPER MANAGE RES","1936-9735","1936-9743","MANAGEMENT - SSCI","1,284","9","Q1","2.05","16.58"%,
