"Journal Data Filtered By:  Selected Categories: MATHEMATICAL & COMPUTATIONAL BIOLOGY;MATHEMATICS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"ACTA NUMERICA","ACTA NUMER","0962-4929","1474-0508","MATHEMATICS - SCIE","2,987","14.2","Q1","11.36","27.78"%,
"Wiley Interdisciplinary Reviews-Computational Molecular Science","WIRES COMPUT MOL SCI","1759-0876","1759-0884","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","10,120","11.4","Q1","1.31","19.89"%,
"Research Synthesis Methods","RES SYNTH METHODS","1759-2879","1759-2887","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","6,362","9.8","Q1","2","43.07"%,
"BRIEFINGS IN BIOINFORMATICS","BRIEF BIOINFORM","1467-5463","1477-4054","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","20,497","9.5","Q1","2.56","21.23"%,
"Infectious Disease Modelling","INFECT DIS MODEL","N/A","2468-0427","MATHEMATICAL & COMPUTATIONAL BIOLOGY - ESCI","1,931","8.8","N/A","2.16","94.58"%,
"IEEE Journal of Biomedical and Health Informatics","IEEE J BIOMED HEALTH","2168-2194","2168-2208","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","15,055","7.7","Q1","1.78","14.98"%,
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","0010-4825","1879-0534","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","21,417","7.7","Q1","1.63","16.08"%,
"Publications Mathematiques de l IHES","PUBL MATH-PARIS","0073-8301","1618-1913","MATHEMATICS - SCIE","2,254","6.2","Q1","4","58.33"%,
"Annual Review of Biomedical Data Science","ANNU REV BIOMED DA S","2574-3414","2574-3414","MATHEMATICAL & COMPUTATIONAL BIOLOGY - ESCI","397","6","N/A","1.35","0"%,
"BIOINFORMATICS","BIOINFORMATICS","1367-4803","1367-4811","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","174,118","5.8","Q1","1.67","39.57"%,
"Database-The Journal of Biological Databases and Curation","DATABASE-OXFORD","1758-0463","1758-0463","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","5,877","5.8","Q1","0.94","93.5"%,
"ANNALS OF MATHEMATICS","ANN MATH","0003-486X","1939-8980","MATHEMATICS - SCIE","15,850","4.9","Q1","4.53","0"%,
"Interdisciplinary Sciences-Computational Life Sciences","INTERDISCIP SCI","1913-2751","1867-1462","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","1,400","4.8","Q1","1.09","5.08"%,
"NAR Genomics and Bioinformatics","NAR GENOM BIOINFORM","N/A","2631-9268","MATHEMATICAL & COMPUTATIONAL BIOLOGY - ESCI","1,189","4.6","N/A","0.88","91.76"%,
"BioData Mining","BIODATA MIN","1756-0381","1756-0381","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","1,090","4.5","Q1","1.15","98.96"%,
"NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS","NUMER LINEAR ALGEBR","1070-5325","1099-1506","MATHEMATICS - SCIE","2,293","4.3","Q1","1.54","11.92"%,
"PLoS Computational Biology","PLOS COMPUT BIOL","1553-734X","1553-7358","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","41,489","4.3","Q1","1.11","98.92"%,
"MATHEMATICAL BIOSCIENCES","MATH BIOSCI","0025-5564","1879-3134","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","7,286","4.3","Q1","0.89","32.18"%,
"Advances in Nonlinear Analysis","ADV NONLINEAR ANAL","2191-9496","2191-950X","MATHEMATICS - SCIE","1,191","4.2","Q1","3.63","94.57"%,
"Advances in Difference Equations","ADV DIFFER EQU-NY","1687-1847","1687-1847","MATHEMATICS - SCIE","9,682","4.1","Q1","2.68","99.83"%,
"npj Systems Biology and Applications","NPJ SYST BIOL APPL","N/A","2056-7189","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","1,039","4","Q1","1.16","98.47"%,
"Current Bioinformatics","CURR BIOINFORM","1574-8936","2212-392X","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","1,526","4","Q1","0.86","0.32"%,
"JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY","J AM MATH SOC","0894-0347","1088-6834","MATHEMATICS - SCIE","4,647","3.9","Q1","3.35","89.29"%,
"TWMS Journal of Pure and Applied Mathematics","TWMS J PURE APPL MAT","2076-2585","2219-1259","MATHEMATICS - SCIE","325","3.8","Q1","1.81","3.57"%,
"ACTA MATHEMATICA","ACTA MATH-DJURSHOLM","0001-5962","1871-2509","MATHEMATICS - SCIE","5,513","3.7","Q1","3.12","96.55"%,
"Current Opinion in Systems Biology","CURR OPIN SYST BIOL","2452-3100","2452-3100","MATHEMATICAL & COMPUTATIONAL BIOLOGY - ESCI","1,075","3.7","N/A","0.74","54.62"%,
"Molecular Informatics","MOL INFORM","1868-1743","1868-1751","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","2,047","3.6","Q2","0.87","16.76"%,
"BULLETIN OF MATHEMATICAL BIOLOGY","B MATH BIOL","0092-8240","1522-9602","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","5,905","3.5","Q2","0.85","28"%,
"Frontiers in Neuroinformatics","FRONT NEUROINFORM","N/A","1662-5196","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","4,673","3.5","Q2","0.83","99.63"%,
"Frontiers in Computational Neuroscience","FRONT COMPUT NEUROSC","N/A","1662-5188","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","3,932","3.2","Q2","0.71","99.06"%,
"MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING","MED BIOL ENG COMPUT","0140-0118","1741-0444","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","7,749","3.2","Q2","0.7","11.13"%,
"INVENTIONES MATHEMATICAE","INVENT MATH","0020-9910","1432-1297","MATHEMATICS - SCIE","12,516","3.1","Q1","2.63","30.8"%,
"in silico Plants","IN SILICO PLANTS","N/A","2517-5025","MATHEMATICAL & COMPUTATIONAL BIOLOGY - ESCI","207","3.1","N/A","0.77","95.52"%,
