"Journal Data Filtered By:  Selected Categories: MATHEMATICS, APPLIED;MATHEMATICS, INTERDISCIPLINARY APPLICATIONS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"SIAM REVIEW","SIAM REV","0036-1445","1095-7200","MATHEMATICS, APPLIED - SCIE","11,859","10.2","Q1","5.03","10.96"%,
"Applied and Computational Mathematics","APPL COMPUT MATH-BAK","1683-3511","1683-6154","MATHEMATICS, APPLIED - SCIE","879","10","Q1","3.82","0"%,
"ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING","ARCH COMPUT METHOD E","1134-3060","1886-1784","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","6,634","9.7","Q1","1.09","11.61"%,
"Nonlinear Engineering - Modeling and Application","NONLINEAR ENG-MODEL","2192-8010","2192-8029","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - ESCI","1,234","8.3","N/A","1.68","92.45"%,
"Annual Review of Statistics and Its Application","ANNU REV STAT APPL","2326-8298","2326-831X","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,523","7.9","Q1","3.25","3.28"%,
"CHAOS SOLITONS & FRACTALS","CHAOS SOLITON FRACT","0960-0779","1873-2887","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","30,667","7.8","Q1","2.52","3.64"%,
"COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING","COMPUT METHOD APPL M","0045-7825","1879-2138","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","47,448","7.2","Q1","2.11","27.65"%,
"IEEE Transactions on Network Science and Engineering","IEEE T NETW SCI ENG","2327-4697","2327-4697","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","5,218","6.6","Q1","2.17","15.06"%,
"Mathematical Programming Computation","MATH PROGRAM COMPUT","1867-2949","1867-2957","MATHEMATICS, APPLIED - SCIE","1,614","6.3","Q1","3.19","36.92"%,
"Journal of Econometrics","J ECONOMETRICS","0304-4076","1872-6895","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","27,471","6.3","Q1","1.98","17"%,
"ECONOMETRICA","ECONOMETRICA","0012-9682","1468-0262","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","44,835","6.1","Q1","2.23","0"%,
"STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL","STRUCT EQU MODELING","1070-5511","1532-8007","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","25,950","6","Q1","1.38","21.48"%,
"Fractal and Fractional","FRACTAL FRACT","N/A","2504-3110","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","3,671","5.4","Q1","1.51","99.53"%,
"APPLIED MATHEMATICAL MODELLING","APPL MATH MODEL","0307-904X","1872-8480","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","27,227","5","Q1","1.69","7.43"%,
"FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY","FRACTALS","0218-348X","1793-6543","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","5,490","4.7","Q1","1.75","38.8"%,
"MATHEMATICS AND COMPUTERS IN SIMULATION","MATH COMPUT SIMULAT","0378-4754","1872-7166","MATHEMATICS, APPLIED - SCIE","8,153","4.6","Q1","1.62","5.77"%,
"IEEE-ACM Transactions on Computational Biology and Bioinformatics","IEEE ACM T COMPUT BI","1545-5963","1557-9964","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","6,482","4.5","Q1","1.76","15.3"%,
"APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION","APPL MATH MECH-ENGL","0253-4827","1573-2754","MATHEMATICS, APPLIED - SCIE","3,970","4.4","Q1","1.53","28.25"%,
"Bayesian Analysis","BAYESIAN ANAL","1931-6690","1936-0975","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","2,980","4.4","Q1","0.94","93.66"%,
"NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS","NUMER LINEAR ALGEBR","1070-5325","1099-1506","MATHEMATICS, APPLIED - SCIE","2,293","4.3","Q1","1.54","11.92"%,
"Advances in Nonlinear Analysis","ADV NONLINEAR ANAL","2191-9496","2191-950X","MATHEMATICS, APPLIED - SCIE","1,191","4.2","Q1","3.63","94.57"%,
"Nonlinear Analysis-Hybrid Systems","NONLINEAR ANAL-HYBRI","1751-570X","1878-7460","MATHEMATICS, APPLIED - SCIE","2,863","4.2","Q1","1.79","12.12"%,
"INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW","INT J NUMER METHOD H","0961-5539","1758-6585","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","5,384","4.2","Q1","1.28","1.83"%,
"Advances in Difference Equations","ADV DIFFER EQU-NY","1687-1847","1687-1847","MATHEMATICS, APPLIED - SCIE","9,682","4.1","Q1","2.68","99.83"%,
"COMPUTATIONAL MECHANICS","COMPUT MECH","0178-7675","1432-0924","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","8,763","4.1","Q1","1.16","37.29"%,
"JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS","J FRANKLIN I","0016-0032","1879-2693","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","14,952","4.1","Q1","1.16","2.43"%,
"APPLIED MATHEMATICS AND COMPUTATION","APPL MATH COMPUT","0096-3003","1873-5649","MATHEMATICS, APPLIED - SCIE","37,295","4","Q1","2.29","5.08"%,
"PHYSICA D-NONLINEAR PHENOMENA","PHYSICA D","0167-2789","1872-8022","MATHEMATICS, APPLIED - SCIE","14,104","4","Q1","1.33","24.73"%,
"FUZZY SETS AND SYSTEMS","FUZZY SET SYST","0165-0114","1872-6801","MATHEMATICS, APPLIED - SCIE","19,112","3.9","Q1","1.92","5.79"%,
"NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS","NUMER METH PART D E","0749-159X","1098-2426","MATHEMATICS, APPLIED - SCIE","4,353","3.9","Q1","1.58","1.53"%,
