"Journal Data Filtered By:  Selected Categories: NANOSCIENCE & NANOTECHNOLOGY;NEUROIMAGING;NEUROSCIENCES;NUCLEAR SCIENCE & TECHNOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Nature Reviews Materials","NAT REV MATER","2058-8437","2058-8437","NANOSCIENCE & NANOTECHNOLOGY - SCIE","31,441","83.5","Q1","3.89","1.8"%,
"Nature Nanotechnology","NAT NANOTECHNOL","1748-3387","1748-3395","NANOSCIENCE & NANOTECHNOLOGY - SCIE","77,412","38.3","Q1","5.15","5.87"%,
"NATURE REVIEWS NEUROSCIENCE","NAT REV NEUROSCI","1471-003X","1471-0048","NEUROSCIENCES - SCIE","50,019","34.7","Q1","4.35","2.11"%,
"Nature Human Behaviour","NAT HUM BEHAV","2397-3374","2397-3374","NEUROSCIENCES - SCIE","14,216","29.9","Q1","6.47","9.69"%,
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","NANOSCIENCE & NANOTECHNOLOGY - SCIE","369,915","29.4","Q1","4.07","12.55"%,
"BEHAVIORAL AND BRAIN SCIENCES","BEHAV BRAIN SCI","0140-525X","1469-1825","NEUROSCIENCES - SCIE","11,851","29.3","Q1","4.06","0"%,
"Nano-Micro Letters","NANO-MICRO LETT","2311-6706","2150-5551","NANOSCIENCE & NANOTECHNOLOGY - SCIE","18,182","26.6","Q1","3.67","99.5"%,
"NATURE NEUROSCIENCE","NAT NEUROSCI","1097-6256","1546-1726","NEUROSCIENCES - SCIE","74,817","25","Q1","5.91","10.39"%,
"ACS Energy Letters","ACS ENERGY LETT","2380-8195","2380-8195","NANOSCIENCE & NANOTECHNOLOGY - SCIE","48,700","22","Q1","3.07","7.48"%,
"Carbon Energy","CARBON ENERGY","N/A","2637-9368","NANOSCIENCE & NANOTECHNOLOGY - SCIE","2,922","20.5","Q1","1.77","86.6"%,
"Energy Storage Materials","ENERGY STORAGE MATER","2405-8297","2405-8289","NANOSCIENCE & NANOTECHNOLOGY - SCIE","38,979","20.4","Q1","2.86","10.57"%,
"Advanced Composites and Hybrid Materials","ADV COMPOS HYBRID MA","2522-0128","2522-0136","NANOSCIENCE & NANOTECHNOLOGY - SCIE","7,190","20.1","Q1","2.32","2.33"%,
"TRENDS IN COGNITIVE SCIENCES","TRENDS COGN SCI","1364-6613","1879-307X","NEUROSCIENCES - SCIE","34,074","19.9","Q1","2.27","29.17"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","NANOSCIENCE & NANOTECHNOLOGY - SCIE","219,990","19","Q1","2.64","10.28"%,
"Nano Energy","NANO ENERGY","2211-2855","2211-3282","NANOSCIENCE & NANOTECHNOLOGY - SCIE","107,176","17.6","Q1","2.87","9.94"%,
"Nano Today","NANO TODAY","1748-0132","1878-044X","NANOSCIENCE & NANOTECHNOLOGY - SCIE","15,815","17.4","Q1","1.94","10.32"%,
"ACS Nano","ACS NANO","1936-0851","1936-086X","NANOSCIENCE & NANOTECHNOLOGY - SCIE","223,018","17.1","Q1","2.44","7.87"%,
"Nature Aging","NATURE AGING","N/A","2662-8465","NEUROSCIENCES - ESCI","1,592","16.6","N/A","2.99","19.53"%,
"Neuron","NEURON","0896-6273","1097-4199","NEUROSCIENCES - SCIE","108,483","16.2","Q1","3.62","74.45"%,
"TRENDS IN NEUROSCIENCES","TRENDS NEUROSCI","0166-2236","1878-108X","NEUROSCIENCES - SCIE","22,491","15.9","Q1","1.99","30.91"%,
"Small Structures","SMALL STRUCT","N/A","2688-4062","NANOSCIENCE & NANOTECHNOLOGY - SCIE","3,502","15.9","Q1","1.58","23.1"%,
"Molecular Neurodegeneration","MOL NEURODEGENER","N/A","1750-1326","NEUROSCIENCES - SCIE","9,015","15.1","Q1","2.96","100"%,
"BRAIN BEHAVIOR AND IMMUNITY","BRAIN BEHAV IMMUN","0889-1591","1090-2139","NEUROSCIENCES - SCIE","29,784","15.1","Q1","2.54","32.18"%,
"Advanced Science","ADV SCI","N/A","2198-3844","NANOSCIENCE & NANOTECHNOLOGY - SCIE","58,343","15.1","Q1","2.11","62.45"%,
"BRAIN","BRAIN","0006-8950","1460-2156","NEUROSCIENCES - SCIE","65,110","14.5","Q1","3.32","45.12"%,
"Annual Review of Neuroscience","ANNU REV NEUROSCI","0147-006X","1545-4126","NEUROSCIENCES - SCIE","14,322","13.9","Q1","1.84","0"%,
"Small","SMALL","1613-6810","1613-6829","NANOSCIENCE & NANOTECHNOLOGY - SCIE","106,155","13.3","Q1","1.86","9.15"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","0001-6322","1432-0533","NEUROSCIENCES - SCIE","28,439","12.7","Q1","3.44","60.92"%,
"Small Science","SMALL SCI","2688-4046","2688-4046","NANOSCIENCE & NANOTECHNOLOGY - ESCI","1,574","12.7","N/A","1.17","80"%,
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","NANOSCIENCE & NANOTECHNOLOGY - SCIE","78,736","12.6","Q1","2.36","9.93"%,
"Translational Neurodegeneration","TRANSL NEURODEGENER","2047-9158","2047-9158","NEUROSCIENCES - SCIE","2,936","12.6","Q1","1.69","100"%,
"Small Methods","SMALL METHODS","2366-9608","2366-9608","NANOSCIENCE & NANOTECHNOLOGY - SCIE","14,041","12.4","Q1","1.35","10.96"%,
"PSYCHIATRY AND CLINICAL NEUROSCIENCES","PSYCHIAT CLIN NEUROS","1323-1316","1440-1819","NEUROSCIENCES - SCIE","5,750","11.9","Q1","1","29.76"%,
"Nano Convergence","NANO CONVERG","2196-5404","2196-5404","NANOSCIENCE & NANOTECHNOLOGY - SCIE","2,326","11.7","Q1","1.08","100"%,
"ANNALS OF NEUROLOGY","ANN NEUROL","0364-5134","1531-8249","NEUROSCIENCES - SCIE","41,613","11.2","Q1","2.76","32.6"%,
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","1359-4184","1476-5578","NEUROSCIENCES - SCIE","33,254","11","Q1","2.45","45.71"%,
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","NANOSCIENCE & NANOTECHNOLOGY - SCIE","167,856","10.8","Q1","1.86","8.03"%,
"Biological Psychiatry","BIOL PSYCHIAT","0006-3223","1873-2402","NEUROSCIENCES - SCIE","43,951","10.6","Q1","2.37","33.46"%,
"SLEEP MEDICINE REVIEWS","SLEEP MED REV","1087-0792","1532-2955","NEUROSCIENCES - SCIE","12,956","10.5","Q1","1.72","21.25"%,
"JOURNAL OF PINEAL RESEARCH","J PINEAL RES","0742-3098","1600-079X","NEUROSCIENCES - SCIE","12,955","10.3","Q1","2.44","19.34"%,
"Materials Today Nano","MATER TODAY NANO","2588-8420","2588-8420","NANOSCIENCE & NANOTECHNOLOGY - SCIE","1,920","10.3","Q1","1.07","8.81"%,
"JOURNAL OF NANOBIOTECHNOLOGY","J NANOBIOTECHNOL","N/A","1477-3155","NANOSCIENCE & NANOTECHNOLOGY - SCIE","14,934","10.2","Q1","1.49","99.74"%,
"Journal of Nanostructure in Chemistry","J NANOSTRUCTURE CHEM","2008-9244","2193-8865","NANOSCIENCE & NANOTECHNOLOGY - SCIE","3,505","10.1","Q1","1.26","10.31"%,
"Advanced Healthcare Materials","ADV HEALTHC MATER","2192-2640","2192-2659","NANOSCIENCE & NANOTECHNOLOGY - SCIE","27,799","10","Q1","1.3","14.2"%,
"Nano Materials Science","NANO MATER SCI","2096-6482","2589-9651","NANOSCIENCE & NANOTECHNOLOGY - ESCI","1,282","9.9","N/A","1.62","93.4"%,
"Nano Research","NANO RES","1998-0124","1998-0000","NANOSCIENCE & NANOTECHNOLOGY - SCIE","35,645","9.9","Q1","1.41","3.44"%,
"npj 2D Materials and Applications","NPJ 2D MATER APPL","N/A","2397-7132","NANOSCIENCE & NANOTECHNOLOGY - SCIE","2,990","9.7","Q1","1.39","99.11"%,
"Nanoscale Horizons","NANOSCALE HORIZ","2055-6756","2055-6764","NANOSCIENCE & NANOTECHNOLOGY - SCIE","5,261","9.7","Q1","1.28","16.34"%,
"ACS Applied Materials & Interfaces","ACS APPL MATER INTER","1944-8244","1944-8252","NANOSCIENCE & NANOTECHNOLOGY - SCIE","360,615","9.5","Q1","1.46","3.9"%,
"Journal of Neuroinflammation","J NEUROINFLAMM","N/A","1742-2094","NEUROSCIENCES - SCIE","26,022","9.3","Q1","1.69","100"%,
"Alzheimers Research & Therapy","ALZHEIMERS RES THER","N/A","1758-9193","NEUROSCIENCES - SCIE","8,962","9","Q1","2.06","99.82"%,
"ACS Sensors","ACS SENSORS","2379-3694","2379-3694","NANOSCIENCE & NANOTECHNOLOGY - SCIE","18,970","8.9","Q2","1.45","7.73"%,
"Neurology-Neuroimmunology & Neuroinflammation","NEUROL-NEUROIMMUNOL","2332-7812","2332-7812","NEUROSCIENCES - SCIE","5,673","8.8","Q1","2.15","99.01"%,
"npj Parkinsons Disease","NPJ PARKINSONS DIS","N/A","2373-8057","NEUROSCIENCES - SCIE","2,733","8.7","Q1","1.93","99.69"%,
"Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology","WIRES NANOMED NANOBI","1939-5116","1939-0041","NANOSCIENCE & NANOTECHNOLOGY - SCIE","4,578","8.6","Q2","0.74","13.69"%,
"VIEW","VIEW-CHINA","2688-3988","2688-268X","NANOSCIENCE & NANOTECHNOLOGY - ESCI","1,009","8.6","N/A","0.69","85.71"%,
"Dialogues in Clinical Neuroscience","DIALOGUES CLIN NEURO","1294-8322","1958-5969","NEUROSCIENCES - SCIE","6,019","8.3","Q1","1.27","72.22"%,
"NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS","NEUROSCI BIOBEHAV R","0149-7634","1873-7528","NEUROSCIENCES - SCIE","40,397","8.2","Q1","1.39","28.33"%,
"International Journal of Nanomedicine","INT J NANOMED","1178-2013","1178-2013","NANOSCIENCE & NANOTECHNOLOGY - SCIE","41,317","8","Q2","1.31","97.9"%,
"Journal of Science-Advanced Materials and Devices","J SCI-ADV MATER DEV","2468-2284","2468-2179","NANOSCIENCE & NANOTECHNOLOGY - SCIE","3,040","8","Q2","0.85","92.54"%,
"Microsystems & Nanoengineering","MICROSYST NANOENG","2055-7434","2055-7434","NANOSCIENCE & NANOTECHNOLOGY - SCIE","3,564","7.9","Q2","1.36","99.71"%,
"NEURAL NETWORKS","NEURAL NETWORKS","0893-6080","1879-2782","NEUROSCIENCES - SCIE","25,292","7.8","Q1","1.61","16.76"%,
"NETWORK-COMPUTATION IN NEURAL SYSTEMS","NETWORK-COMP NEURAL","0954-898X","1361-6536","NEUROSCIENCES - SCIE","791","7.8","Q1","0.54","4.76"%,
