"Journal Data Filtered By:  Selected Categories: NURSING;NUTRITION & DIETETICS;OBSTETRICS & GYNECOLOGY;OCEANOGRAPHY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Annual Review of Marine Science","ANNU REV MAR SCI","1941-1405","1941-0611","OCEANOGRAPHY - SCIE","6,141","17.3","Q1","2.47","6.56"%,
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","0163-7827","1873-2194","NUTRITION & DIETETICS - SCIE","7,560","13.6","Q1","1.59","34.69"%,
"HUMAN REPRODUCTION UPDATE","HUM REPROD UPDATE","1355-4786","1460-2369","OBSTETRICS & GYNECOLOGY - SCIE","13,360","13.3","Q1","3.47","25.17"%,
"CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION","CRIT REV FOOD SCI","1040-8398","1549-7852","NUTRITION & DIETETICS - SCIE","36,261","10.2","Q1","1.08","6.74"%,
"AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY","AM J OBSTET GYNECOL","0002-9378","1097-6868","OBSTETRICS & GYNECOLOGY - SCIE","49,551","9.8","Q1","3.33","15.2"%,
"Advances in Nutrition","ADV NUTR","2161-8313","2156-5376","NUTRITION & DIETETICS - SCIE","13,034","9.3","Q1","1.49","79.21"%,
"Annual Review of Nutrition","ANNU REV NUTR","0199-9885","1545-4312","NUTRITION & DIETETICS - SCIE","6,794","8.9","Q1","1.02","1.75"%,
"Food Chemistry","FOOD CHEM","0308-8146","1873-7072","NUTRITION & DIETETICS - SCIE","199,618","8.8","Q1","1.87","9.52"%,
"Current Obesity Reports","CURR OBES REP","2162-4968","2162-4968","NUTRITION & DIETETICS - SCIE","3,279","8.8","Q1","1.75","24.14"%,
"International Journal of Behavioral Nutrition and Physical Activity","INT J BEHAV NUTR PHY","N/A","1479-5868","NUTRITION & DIETETICS - SCIE","16,256","8.7","Q1","1.67","99.58"%,
"Human Reproduction Open","HUM REPROD OPEN","N/A","2399-3529","OBSTETRICS & GYNECOLOGY - SCIE","1,535","8.3","Q1","2.2","93.87"%,
"INTERNATIONAL JOURNAL OF NURSING STUDIES","INT J NURS STUD","0020-7489","1873-491X","NURSING - SCIE","16,189","8.1","Q1","3.07","21.31"%,
"INTERNATIONAL JOURNAL OF NURSING STUDIES","INT J NURS STUD","0020-7489","1873-491X","NURSING - SSCI","16,189","8.1","Q1","3.07","21.31"%,
"Hepatobiliary Surgery and Nutrition","HEPATOBIL SURG NUTR","2304-3881","2304-389X","NUTRITION & DIETETICS - SCIE","1,859","8","Q1","1.12","100"%,
"Limnology and Oceanography Letters","LIMNOL OCEANOGR LETT","N/A","2378-2242","OCEANOGRAPHY - SCIE","1,481","7.8","Q1","1.91","75.34"%,
"OBSTETRICS AND GYNECOLOGY","OBSTET GYNECOL","0029-7844","0029-7844","OBSTETRICS & GYNECOLOGY - SCIE","38,486","7.2","Q1","2.04","12.66"%,
"ULTRASOUND IN OBSTETRICS & GYNECOLOGY","ULTRASOUND OBST GYN","0960-7692","1469-0705","OBSTETRICS & GYNECOLOGY - SCIE","17,581","7.1","Q1","2.24","17.61"%,
"AMERICAN JOURNAL OF CLINICAL NUTRITION","AM J CLIN NUTR","0002-9165","1938-3207","NUTRITION & DIETETICS - SCIE","60,841","7.1","Q1","1.54","80.75"%,
"Food Science and Human Wellness","FOOD SCI HUM WELL","N/A","2213-4530","NUTRITION & DIETETICS - SCIE","3,107","7","Q1","1.54","95.09"%,
"PROCEEDINGS OF THE NUTRITION SOCIETY","P NUTR SOC","0029-6651","1475-2719","NUTRITION & DIETETICS - SCIE","7,685","7","Q1","1.33","41.26"%,
"Obesity","OBESITY","1930-7381","1930-739X","NUTRITION & DIETETICS - SCIE","22,271","6.9","Q1","1.43","17.29"%,
"FERTILITY AND STERILITY","FERTIL STERIL","0015-0282","1556-5653","OBSTETRICS & GYNECOLOGY - SCIE","44,486","6.7","Q1","2.19","74.87"%,
"FOOD POLICY","FOOD POLICY","0306-9192","1873-5657","NUTRITION & DIETETICS - SCIE","10,574","6.5","Q1","1.84","42.55"%,
"American Journal of Obstetrics & Gynecology MFM","AM J OBST GYNEC MFM","2589-9333","2589-9333","OBSTETRICS & GYNECOLOGY - SCIE","2,109","6.3","Q1","1.76","9.41"%,
"CLINICAL NUTRITION","CLIN NUTR","0261-5614","1532-1983","NUTRITION & DIETETICS - SCIE","24,385","6.3","Q1","1.52","23.71"%,
"OBSTETRICAL & GYNECOLOGICAL SURVEY","OBSTET GYNECOL SURV","0029-7828","1533-9866","OBSTETRICS & GYNECOLOGY - SCIE","2,726","6.2","Q1","0.75","2.94"%,
"HUMAN REPRODUCTION","HUM REPROD","0268-1161","1460-2350","OBSTETRICS & GYNECOLOGY - SCIE","38,217","6.1","Q1","2.24","23.04"%,
