"Journal Data Filtered By:  Selected Categories: ONCOLOGY;OPERATIONS RESEARCH & MANAGEMENT SCIENCE;OPHTHALMOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","0007-9235","1542-4863","ONCOLOGY - SCIE","66,163","254.7","Q1","130.54","92.31"%,
"Nature Reviews Clinical Oncology","NAT REV CLIN ONCOL","1759-4774","1759-4782","ONCOLOGY - SCIE","26,127","78.8","Q1","9.09","2.13"%,
"NATURE REVIEWS CANCER","NAT REV CANCER","1474-175X","1474-1768","ONCOLOGY - SCIE","63,667","78.5","Q1","8.86","0.72"%,
"LANCET ONCOLOGY","LANCET ONCOL","1470-2045","1474-5488","ONCOLOGY - SCIE","77,245","51.1","Q1","9.03","14.6"%,
"ANNALS OF ONCOLOGY","ANN ONCOL","0923-7534","1569-8041","ONCOLOGY - SCIE","67,195","50.5","Q1","6.41","75.48"%,
"CANCER CELL","CANCER CELL","1535-6108","1878-3686","ONCOLOGY - SCIE","55,579","50.3","Q1","6.44","71.6"%,
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","0732-183X","1527-7755","ONCOLOGY - SCIE","180,328","45.4","Q1","5.58","26.55"%,
"Molecular Cancer","MOL CANCER","N/A","1476-4598","ONCOLOGY - SCIE","36,241","37.3","Q1","5.43","100"%,
"Cancer Discovery","CANCER DISCOV","2159-8274","2159-8290","ONCOLOGY - SCIE","33,141","29.1","Q1","5.89","25.18"%,
"Journal of Hematology & Oncology","J HEMATOL ONCOL","N/A","1756-8722","ONCOLOGY - SCIE","20,030","28.5","Q1","3.57","99.75"%,
"JAMA Oncology","JAMA ONCOL","2374-2437","2374-2445","ONCOLOGY - SCIE","28,702","28.4","Q1","5.09","19.7"%,
"Nature Cancer","NAT CANCER","N/A","2662-1347","ONCOLOGY - SCIE","4,262","22.7","Q1","4.38","14.5"%,
"Journal of Thoracic Oncology","J THORAC ONCOL","1556-0864","1556-1380","ONCOLOGY - SCIE","27,703","20.4","Q1","3.52","81.59"%,
"Trends in Cancer","TRENDS CANCER","2405-8025","2405-8033","ONCOLOGY - SCIE","7,424","18.4","Q1","2.02","31.94"%,
"PROGRESS IN RETINAL AND EYE RESEARCH","PROG RETIN EYE RES","1350-9462","1873-1635","OPHTHALMOLOGY - SCIE","11,451","17.8","Q1","4.32","28.76"%,
"Cancer Communications","CANCER COMMUN","N/A","2523-3548","ONCOLOGY - SCIE","3,572","16.2","Q1","2.38","62.29"%,
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","1522-8517","1523-5866","ONCOLOGY - SCIE","22,890","15.9","Q1","3.22","27.8"%,
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","1044-579X","1096-3650","ONCOLOGY - SCIE","17,307","14.5","Q1","2.45","19.13"%,
