"Journal Data Filtered By:  Selected Categories: PEDIATRICS;PERIPHERAL VASCULAR DISEASE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"CIRCULATION","CIRCULATION","0009-7322","1524-4539","PERIPHERAL VASCULAR DISEASE - SCIE","187,648","37.8","Q1","7.45","23.52"%,
"Lancet Child & Adolescent Health","LANCET CHILD ADOLESC","2352-4642","2352-4642","PEDIATRICS - SCIE","7,827","36.4","Q1","8.44","19.21"%,
"JAMA Pediatrics","JAMA PEDIATR","2168-6203","2168-6211","PEDIATRICS - SCIE","19,276","26.1","Q1","7.22","15.34"%,
"CIRCULATION RESEARCH","CIRC RES","0009-7330","1524-4571","PERIPHERAL VASCULAR DISEASE - SCIE","66,672","20.1","Q1","3.93","14.88"%,
"JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY","J AM ACAD CHILD PSY","0890-8567","1527-5418","PEDIATRICS - SCIE","22,301","13.3","Q1","3.08","31.37"%,
"JOURNAL OF THROMBOSIS AND HAEMOSTASIS","J THROMB HAEMOST","1538-7933","1538-7836","PERIPHERAL VASCULAR DISEASE - SCIE","25,689","10.4","Q1","2.34","53.97"%,
"ANGIOGENESIS","ANGIOGENESIS","0969-6970","1573-7209","PERIPHERAL VASCULAR DISEASE - SCIE","4,771","9.8","Q1","1.86","42.18"%,
"World Journal of Pediatrics","WORLD J PEDIATR","1708-8569","1867-0687","PEDIATRICS - SCIE","2,934","8.7","Q1","1.96","21.03"%,
"ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY","ARTERIOSCL THROM VAS","1079-5642","1524-4636","PERIPHERAL VASCULAR DISEASE - SCIE","38,287","8.7","Q1","1.79","18.1"%,
"STROKE","STROKE","0039-2499","1524-4628","PERIPHERAL VASCULAR DISEASE - SCIE","79,685","8.4","Q1","1.98","12.33"%,
"HYPERTENSION","HYPERTENSION","0194-911X","1524-4563","PERIPHERAL VASCULAR DISEASE - SCIE","43,806","8.3","Q1","1.64","16.82"%,
"Journal of Stroke","J STROKE","2287-6391","2287-6405","PERIPHERAL VASCULAR DISEASE - SCIE","2,178","8.2","Q1","1.26","96.81"%,
"PEDIATRICS","PEDIATRICS","0031-4005","1098-4275","PEDIATRICS - SCIE","90,117","8","Q1","3.02","1.21"%,
"Journal of Adolescent Health","J ADOLESCENT HEALTH","1054-139X","1879-1972","PEDIATRICS - SCIE","21,226","7.6","Q1","2.14","20.93"%,
"THROMBOSIS RESEARCH","THROMB RES","0049-3848","1879-2472","PERIPHERAL VASCULAR DISEASE - SCIE","14,905","7.5","Q1","1.37","19"%,
"International Journal of Stroke","INT J STROKE","1747-4930","1747-4949","PERIPHERAL VASCULAR DISEASE - SCIE","7,731","6.7","Q1","1.41","18.45"%,
"THROMBOSIS AND HAEMOSTASIS","THROMB HAEMOSTASIS","0340-6245","2567-689X","PERIPHERAL VASCULAR DISEASE - SCIE","16,952","6.7","Q1","1.1","18.45"%,
"EUROPEAN CHILD & ADOLESCENT PSYCHIATRY","EUR CHILD ADOLES PSY","1018-8827","1435-165X","PEDIATRICS - SCIE","10,102","6.4","Q1","1.72","49.64"%,
"European Stroke Journal","EUR STROKE J","2396-9873","2396-9881","PERIPHERAL VASCULAR DISEASE - SCIE","1,600","6.1","Q1","1.58","34.16"%,
"Child and Adolescent Mental Health","CHILD ADOL MENT H-UK","1475-357X","1475-3588","PEDIATRICS - SCIE","1,831","6.1","Q1","0.9","31.21"%,
"Paediatric Respiratory Reviews","PAEDIATR RESPIR REV","1526-0542","1526-0550","PEDIATRICS - SCIE","2,543","5.8","Q1","1.41","8.33"%,
"Current Atherosclerosis Reports","CURR ATHEROSCLER REP","1523-3804","1534-6242","PERIPHERAL VASCULAR DISEASE - SCIE","4,001","5.8","Q1","0.88","19.59"%,
"EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY","EUR J VASC ENDOVASC","1078-5884","1532-2165","PERIPHERAL VASCULAR DISEASE - SCIE","12,820","5.7","Q1","1.82","69.29"%,
"SEMINARS IN THROMBOSIS AND HEMOSTASIS","SEMIN THROMB HEMOST","0094-6176","1098-9064","PERIPHERAL VASCULAR DISEASE - SCIE","5,497","5.7","Q1","0.97","3.83"%,
"Child and Adolescent Psychiatry and Mental Health","CHILD ADOL PSYCH MEN","N/A","1753-2000","PEDIATRICS - SCIE","2,456","5.6","Q1","1.25","99.56"%,
"CURRENT HYPERTENSION REPORTS","CURR HYPERTENS REP","1522-6417","1534-3111","PERIPHERAL VASCULAR DISEASE - SCIE","5,015","5.6","Q1","0.71","18.18"%,
"HYPERTENSION RESEARCH","HYPERTENS RES","0916-9636","1348-4214","PERIPHERAL VASCULAR DISEASE - SCIE","7,913","5.4","Q1","0.84","12.27"%,
"ATHEROSCLEROSIS","ATHEROSCLEROSIS","0021-9150","1879-1484","PERIPHERAL VASCULAR DISEASE - SCIE","27,552","5.3","Q2","1.26","27.87"%,
"ARCHIVES OF DISEASE IN CHILDHOOD","ARCH DIS CHILD","0003-9888","1468-2044","PEDIATRICS - SCIE","16,703","5.2","Q1","1.65","23.71"%,
"JOURNAL OF PEDIATRICS","J PEDIATR-US","0022-3476","1097-6833","PEDIATRICS - SCIE","38,758","5.1","Q1","1.78","11.79"%,
"JOURNAL OF HYPERTENSION","J HYPERTENS","0263-6352","1473-5598","PERIPHERAL VASCULAR DISEASE - SCIE","18,297","4.9","Q2","1","15.04"%,
"AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY","AM J PHYSIOL-HEART C","0363-6135","1522-1539","PERIPHERAL VASCULAR DISEASE - SCIE","29,226","4.8","Q2","1.21","5.23"%,
"Research and Practice in Thrombosis and Haemostasis","RES PRACT THROMB HAE","N/A","2475-0379","PERIPHERAL VASCULAR DISEASE - SCIE","2,270","4.6","Q2","0.79","68.41"%,
"Current Vascular Pharmacology","CURR VASC PHARMACOL","1570-1611","1875-6212","PERIPHERAL VASCULAR DISEASE - SCIE","2,439","4.5","Q2","0.67","1.29"%,
"Archives of Disease in Childhood-Fetal and Neonatal Edition","ARCH DIS CHILD-FETAL","1359-2998","1468-2052","PEDIATRICS - SCIE","7,601","4.4","Q1","2.06","23.43"%,
