"Journal Data Filtered By:  Selected Categories: PHARMACOLOGY & PHARMACY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","1474-1776","1474-1784","PHARMACOLOGY & PHARMACY - SCIE","48,043","120.1","Q1","12.45","6.03"%,
"DRUG RESISTANCE UPDATES","DRUG RESIST UPDATE","1368-7646","1532-2084","PHARMACOLOGY & PHARMACY - SCIE","5,008","24.3","Q1","3.09","36.25"%,
"PHARMACOLOGICAL REVIEWS","PHARMACOL REV","0031-6997","1521-0081","PHARMACOLOGY & PHARMACY - SCIE","13,802","21.1","Q1","2.93","46.46"%,
"ADVANCED DRUG DELIVERY REVIEWS","ADV DRUG DELIVER REV","0169-409X","1872-8294","PHARMACOLOGY & PHARMACY - SCIE","46,224","16.1","Q1","2.3","28.19"%,
"Acta Pharmaceutica Sinica B","ACTA PHARM SIN B","2211-3835","2211-3843","PHARMACOLOGY & PHARMACY - SCIE","12,975","14.5","Q1","3.3","92.43"%,
"TRENDS IN PHARMACOLOGICAL SCIENCES","TRENDS PHARMACOL SCI","0165-6147","1873-3735","PHARMACOLOGY & PHARMACY - SCIE","15,127","13.8","Q1","1.8","27.52"%,
"PHARMACOLOGY & THERAPEUTICS","PHARMACOL THERAPEUT","0163-7258","1879-016X","PHARMACOLOGY & PHARMACY - SCIE","23,937","13.5","Q1","1.87","21.62"%,
"MEDICINAL RESEARCH REVIEWS","MED RES REV","0198-6325","1098-1128","PHARMACOLOGY & PHARMACY - SCIE","8,727","13.3","Q1","1.67","14.4"%,
"Annual Review of Pharmacology and Toxicology","ANNU REV PHARMACOL","0362-1642","1545-4304","PHARMACOLOGY & PHARMACY - SCIE","8,724","12.5","Q1","2.23","2.94"%,
"DRUGS","DRUGS","0012-6667","1179-1950","PHARMACOLOGY & PHARMACY - SCIE","19,355","11.5","Q1","2.5","26.13"%,
"International Journal of Antimicrobial Agents","INT J ANTIMICROB AG","0924-8579","1872-7913","PHARMACOLOGY & PHARMACY - SCIE","17,254","10.8","Q1","2.56","21.05"%,
"JOURNAL OF CONTROLLED RELEASE","J CONTROL RELEASE","0168-3659","1873-4995","PHARMACOLOGY & PHARMACY - SCIE","63,562","10.8","Q1","2.09","17.82"%,
"Asian Journal of Pharmaceutical Sciences","ASIAN J PHARM SCI","1818-0876","1818-0876","PHARMACOLOGY & PHARMACY - SCIE","4,050","10.2","Q1","1.94","95.53"%,
"PHARMACOLOGICAL RESEARCH","PHARMACOL RES","1043-6618","1096-1186","PHARMACOLOGY & PHARMACY - SCIE","28,557","9.3","Q1","1.91","16.33"%,
"Journal of Pharmaceutical Analysis","J PHARM ANAL","2095-1779","2214-0883","PHARMACOLOGY & PHARMACY - SCIE","3,939","8.8","Q1","2.34","96.34"%,
"ACTA PHARMACOLOGICA SINICA","ACTA PHARMACOL SIN","1671-4083","1745-7254","PHARMACOLOGY & PHARMACY - SCIE","16,110","8.2","Q1","1.32","6.79"%,
