"Journal Data Filtered By:  Selected Categories: PHILOSOPHY;PHYSICS, APPLIED;PHYSICS, ATOMIC, MOLECULAR & CHEMICAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"NATURE MATERIALS","NAT MATER","1476-1122","1476-4660","PHYSICS, APPLIED - SCIE","112,359","41.2","Q1","6.64","4.43"%,
"Nature Reviews Physics","NAT REV PHYS","N/A","2522-5820","PHYSICS, APPLIED - SCIE","5,880","38.5","Q1","2.6","1.48"%,
"Nature Photonics","NAT PHOTONICS","1749-4885","1749-4893","PHYSICS, APPLIED - SCIE","55,088","34.9","Q1","8.69","7.47"%,
"MATERIALS SCIENCE & ENGINEERING R-REPORTS","MAT SCI ENG R","0927-796X","1879-212X","PHYSICS, APPLIED - SCIE","9,601","31","Q1","2.09","22.78"%,
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","PHYSICS, APPLIED - SCIE","369,915","29.4","Q1","4.07","12.55"%,
"Advanced Energy Materials","ADV ENERGY MATER","1614-6832","1614-6840","PHYSICS, APPLIED - SCIE","122,806","27.8","Q1","3.68","14.09"%,
"Nano-Micro Letters","NANO-MICRO LETT","2311-6706","2150-5551","PHYSICS, APPLIED - SCIE","18,182","26.6","Q1","3.67","99.5"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","PHYSICS, APPLIED - SCIE","219,990","19","Q1","2.64","10.28"%,
"Nano Energy","NANO ENERGY","2211-2855","2211-3282","PHYSICS, APPLIED - SCIE","107,176","17.6","Q1","2.87","9.94"%,
"Applied Physics Reviews","APPL PHYS REV","1931-9401","1931-9401","PHYSICS, APPLIED - SCIE","9,714","15","Q1","1.44","37.43"%,
"Small","SMALL","1613-6810","1613-6829","PHYSICS, APPLIED - SCIE","106,155","13.3","Q1","1.86","9.15"%,
"Energy Material Advances","ENERGY MATER ADV","2097-1133","2692-7640","PHYSICS, APPLIED - ESCI","499","12.9","N/A","1.13","85.19"%,
"Nano Convergence","NANO CONVERG","2196-5404","2196-5404","PHYSICS, APPLIED - SCIE","2,326","11.7","Q1","1.08","100"%,
"PROGRESS IN QUANTUM ELECTRONICS","PROG QUANT ELECTRON","0079-6727","1873-1627","PHYSICS, APPLIED - SCIE","1,642","11.7","Q1","0.92","35.42"%,
"Materials Today Physics","MATER TODAY PHYS","2542-5293","2542-5293","PHYSICS, APPLIED - SCIE","6,095","11.5","Q1","2.15","12.83"%,
"Laser & Photonics Reviews","LASER PHOTONICS REV","1863-8880","1863-8899","PHYSICS, APPLIED - SCIE","12,873","11","Q1","2.03","14.03"%,
"CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE","CURR OPIN SOLID ST M","1359-0286","1879-0348","PHYSICS, APPLIED - SCIE","5,144","11","Q1","0.69","33.33"%,
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","PHYSICS, APPLIED - SCIE","167,856","10.8","Q1","1.86","8.03"%,
"Nano Research","NANO RES","1998-0124","1998-0000","PHYSICS, APPLIED - SCIE","35,645","9.9","Q1","1.41","3.44"%,
"PRX Quantum","PRX QUANTUM","N/A","2691-3399","PHYSICS, APPLIED - SCIE","3,195","9.7","Q1","2.4","95.3"%,
"npj 2D Materials and Applications","NPJ 2D MATER APPL","N/A","2397-7132","PHYSICS, APPLIED - SCIE","2,990","9.7","Q1","1.39","99.11"%,
"Journal of Materiomics","J MATERIOMICS","2352-8478","2352-8478","PHYSICS, APPLIED - SCIE","4,490","9.4","Q1","1.49","95.13"%,
"npj Quantum Information","NPJ QUANTUM INFORM","N/A","2056-6387","PHYSICS, APPLIED - SCIE","5,223","7.6","Q1","2.08","99.03"%,
"npj Quantum Information","NPJ QUANTUM INFORM","N/A","2056-6387","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","5,223","7.6","Q1","2.08","99.03"%,
"Nanophotonics","NANOPHOTONICS-BERLIN","2192-8606","2192-8614","PHYSICS, APPLIED - SCIE","11,643","7.5","Q1","1.16","96.02"%,
"Nanotechnology Reviews","NANOTECHNOL REV","2191-9089","2191-9097","PHYSICS, APPLIED - SCIE","3,937","7.4","Q1","0.78","96.5"%,
"ACS Photonics","ACS PHOTONICS","2330-4022","N/A","PHYSICS, APPLIED - SCIE","21,950","7","Q1","1.42","12.39"%,
"SOLAR ENERGY MATERIALS AND SOLAR CELLS","SOL ENERG MAT SOL C","0927-0248","1879-3398","PHYSICS, APPLIED - SCIE","36,949","6.9","Q1","1.23","13.41"%,
"APPLIED SURFACE SCIENCE","APPL SURF SCI","0169-4332","1873-5584","PHYSICS, APPLIED - SCIE","173,457","6.7","Q1","1.3","6.67"%,
"Nanoscale","NANOSCALE","2040-3364","2040-3372","PHYSICS, APPLIED - SCIE","129,165","6.7","Q1","1.13","13.03"%,
"PROGRESS IN PHOTOVOLTAICS","PROG PHOTOVOLTAICS","1062-7995","1099-159X","PHYSICS, APPLIED - SCIE","8,096","6.7","Q1","1.08","33.07"%,
"Progress in Electromagnetics Research-PIER","PROG ELECTROMAGN RES","1070-4698","1559-8985","PHYSICS, APPLIED - SCIE","3,047","6.7","Q1","0.9","33.33"%,
"Tungsten","TUNGSTEN-SINGAPORE","2661-8028","2661-8036","PHYSICS, APPLIED - ESCI","585","6.6","N/A","0.47","4.17"%,
"Nanoscale Research Letters","NANOSCALE RES LETT","1931-7573","1556-276X","PHYSICS, APPLIED - SCIE","22,138","6.5","Q1","0.78","99.42"%,
"Journal of Materials Chemistry C","J MATER CHEM C","2050-7526","2050-7534","PHYSICS, APPLIED - SCIE","76,118","6.4","Q1","1.21","8.56"%,
"Surfaces and Interfaces","SURF INTERFACES","2468-0230","2468-0230","PHYSICS, APPLIED - SCIE","10,049","6.2","Q1","1.14","3.59"%,
"Advanced Electronic Materials","ADV ELECTRON MATER","2199-160X","2199-160X","PHYSICS, APPLIED - SCIE","14,488","6.2","Q1","1.03","20.76"%,
"Applied Surface Science Advances","APPL SURF SCI ADV","2666-5239","2666-5239","PHYSICS, APPLIED - ESCI","1,174","6.2","N/A","0.88","92.93"%,
"APL Materials","APL MATER","2166-532X","2166-532X","PHYSICS, APPLIED - SCIE","10,089","6.1","Q1","1.08","91.69"%,
"PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY","PROG NUCL MAG RES SP","0079-6565","1873-3301","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","2,869","6.1","Q1","0.84","45.65"%,
"INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY","INT REV PHYS CHEM","0144-235X","1366-591X","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","1,898","6.1","Q1","0.47","0"%,
"JOURNAL OF MOLECULAR LIQUIDS","J MOL LIQ","0167-7322","1873-3166","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","76,302","6","Q1","1.24","5.2"%,
"npj Quantum Materials","NPJ QUANTUM MATER","N/A","2397-4648","PHYSICS, APPLIED - SCIE","2,785","5.7","Q1","1.27","100"%,
"Journal of Physical Chemistry Letters","J PHYS CHEM LETT","1948-7185","N/A","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","67,805","5.7","Q1","1.11","6.71"%,
"APL Photonics","APL PHOTONICS","2378-0967","2378-0967","PHYSICS, APPLIED - SCIE","3,833","5.6","Q1","1.53","90.05"%,
"Journal of Chemical Theory and Computation","J CHEM THEORY COMPUT","1549-9618","1549-9626","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","46,094","5.5","Q1","1.31","13.93"%,
"SURFACE & COATINGS TECHNOLOGY","SURF COAT TECH","0257-8972","1879-3347","PHYSICS, APPLIED - SCIE","63,732","5.4","Q1","1.04","8.28"%,
"EPJ Quantum Technology","EPJ QUANTUM TECHNOL","2662-4400","2196-0763","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","476","5.3","Q1","1.42","100"%,
"Nanomaterials","NANOMATERIALS-BASEL","N/A","2079-4991","PHYSICS, APPLIED - SCIE","57,956","5.3","Q1","0.76","99.29"%,
"OPTICS AND LASER TECHNOLOGY","OPT LASER TECHNOL","0030-3992","1879-2545","PHYSICS, APPLIED - SCIE","21,583","5","Q1","1.25","4.43"%,
"MRS BULLETIN","MRS BULL","0883-7694","1938-1425","PHYSICS, APPLIED - SCIE","8,862","5","Q1","0.92","27.62"%,
"IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS","IEEE J SEL TOP QUANT","1077-260X","1558-4542","PHYSICS, APPLIED - SCIE","12,158","4.9","Q2","1.31","20.04"%,
"Physical Review Applied","PHYS REV APPL","2331-7019","2331-7019","PHYSICS, APPLIED - SCIE","21,275","4.6","Q2","1.01","10.08"%,
"JOURNAL OF CHEMICAL PHYSICS","J CHEM PHYS","0021-9606","1089-7690","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","225,931","4.4","Q1","0.83","28.57"%,
"IEEE SENSORS JOURNAL","IEEE SENS J","1530-437X","1558-1748","PHYSICS, APPLIED - SCIE","49,495","4.3","Q2","1.01","6.85"%,
"MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING","MAT SCI SEMICON PROC","1369-8001","1873-4081","PHYSICS, APPLIED - SCIE","15,385","4.1","Q2","0.91","3.59"%,
"Nanoscale and Microscale Thermophysical Engineering","NANOSC MICROSC THERM","1556-7265","1556-7273","PHYSICS, APPLIED - SCIE","662","4.1","Q2","0.82","0"%,
"DIAMOND AND RELATED MATERIALS","DIAM RELAT MATER","0925-9635","1879-0062","PHYSICS, APPLIED - SCIE","13,294","4.1","Q2","0.75","3.66"%,
"APPLIED PHYSICS LETTERS","APPL PHYS LETT","0003-6951","1077-3118","PHYSICS, APPLIED - SCIE","198,932","4","Q2","0.82","20.47"%,
"Vacuum","VACUUM","0042-207X","1879-2715","PHYSICS, APPLIED - SCIE","19,116","4","Q2","0.8","3.55"%,
"Journal of Physics-Photonics","J PHYS-PHOTONICS","2515-7647","2515-7647","PHYSICS, APPLIED - ESCI","916","3.8","N/A","0.76","98.66"%,
"PHYSICAL REVIEW B","PHYS REV B","2469-9950","2469-9969","PHYSICS, APPLIED - SCIE","399,823","3.7","Q2","0.73","7.27"%,
"Nanomaterials and Nanotechnology","NANOMATER NANOTECHNO","1847-9804","1847-9804","PHYSICS, APPLIED - SCIE","775","3.7","Q2","0.54","95.59"%,
"Nanotechnology and Precision Engineering","NANOTECH PRECIS ENG","1672-6030","2589-5540","PHYSICS, APPLIED - ESCI","369","3.7","N/A","0.4","95.89"%,
"Ethics and Information Technology","ETHICS INF TECHNOL","1388-1957","1572-8439","PHILOSOPHY - AHCI","1,829","3.6","N/A","2.69","57.23"%,
