"Journal Data Filtered By:  Selected Categories: AUTOMATION & CONTROL SYSTEMS;BEHAVIORAL SCIENCES;BIOCHEMICAL RESEARCH METHODS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"NATURE METHODS","NAT METHODS","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS - SCIE","110,879","48","Q1","9.1","17.89"%,
"BEHAVIORAL AND BRAIN SCIENCES","BEHAV BRAIN SCI","0140-525X","1469-1825","BEHAVIORAL SCIENCES - SCIE","11,851","29.3","Q1","4.06","0"%,
"TRENDS IN COGNITIVE SCIENCES","TRENDS COGN SCI","1364-6613","1879-307X","BEHAVIORAL SCIENCES - SCIE","34,074","19.9","Q1","2.27","29.17"%,
"Nature Protocols","NAT PROTOC","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS - SCIE","54,564","14.8","Q1","3.4","1.34"%,
"Annual Review of Control Robotics and Autonomous Systems","ANNU REV CONTR ROBOT","N/A","2573-5144","AUTOMATION & CONTROL SYSTEMS - SCIE","1,278","13.4","Q1","2.67","1.43"%,
"IEEE Transactions on Industrial Informatics","IEEE T IND INFORM","1551-3203","1941-0050","AUTOMATION & CONTROL SYSTEMS - SCIE","47,728","12.3","Q1","2.5","4.86"%,
"IEEE Transactions on Cybernetics","IEEE T CYBERNETICS","2168-2267","2168-2275","AUTOMATION & CONTROL SYSTEMS - SCIE","44,382","11.8","Q1","2.37","3.7"%,
"IEEE-CAA Journal of Automatica Sinica","IEEE-CAA J AUTOMATIC","2329-9266","2329-9274","AUTOMATION & CONTROL SYSTEMS - SCIE","7,264","11.8","Q1","1.84","0"%,
"BRIEFINGS IN BIOINFORMATICS","BRIEF BIOINFORM","1467-5463","1477-4054","BIOCHEMICAL RESEARCH METHODS - SCIE","20,497","9.5","Q1","2.56","21.23"%,
"ANNUAL REVIEWS IN CONTROL","ANNU REV CONTROL","1367-5788","1872-9088","AUTOMATION & CONTROL SYSTEMS - SCIE","4,696","9.4","Q1","0.86","36.88"%,
