"Journal Data Filtered By:  Selected Categories: PLANT SCIENCES;POETRY;POLITICAL SCIENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Molecular Plant","MOL PLANT","1674-2052","1752-9867","PLANT SCIENCES - SCIE","24,114","27.5","Q1","4.32","84.62"%,
"Annual Review of Plant Biology","ANNU REV PLANT BIOL","1543-5008","1545-2123","PLANT SCIENCES - SCIE","25,199","23.9","Q1","2.58","1.14"%,
"TRENDS IN PLANT SCIENCE","TRENDS PLANT SCI","1360-1385","1878-4372","PLANT SCIENCES - SCIE","32,959","20.5","Q1","1.76","32.41"%,
"Nature Plants","NAT PLANTS","2055-026X","2055-0278","PLANT SCIENCES - SCIE","15,172","18","Q1","4.56","12.35"%,
"PLANT BIOTECHNOLOGY JOURNAL","PLANT BIOTECHNOL J","1467-7644","1467-7652","PLANT SCIENCES - SCIE","18,869","13.8","Q1","2.44","73.14"%,
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","PLANT SCIENCES - SCIE","68,851","12","Q1","2.28","41.44"%,
"Journal of Integrative Plant Biology","J INTEGR PLANT BIOL","1672-9072","1744-7909","PLANT SCIENCES - SCIE","10,416","11.4","Q1","1.87","19.82"%,
"Annual Review of Political Science","ANNU REV POLIT SCI","1094-2939","1545-1577","POLITICAL SCIENCE - SSCI","5,962","10.8","Q1","5.65","80.56"%,
"Plant Communications","PLANT COMMUN","2590-3462","2590-3462","PLANT SCIENCES - SCIE","1,497","10.5","Q1","1.79","95.31"%,
"Annual Review of Phytopathology","ANNU REV PHYTOPATHOL","0066-4286","1545-2107","PLANT SCIENCES - SCIE","10,292","10.2","Q1","1.01","0"%,
"CURRENT OPINION IN PLANT BIOLOGY","CURR OPIN PLANT BIOL","1369-5266","1879-0356","PLANT SCIENCES - SCIE","18,673","9.5","Q1","0.96","41.41"%,
"NEW PHYTOLOGIST","NEW PHYTOL","0028-646X","1469-8137","PLANT SCIENCES - SCIE","85,431","9.4","Q1","2.14","28.78"%,
