"Journal Data Filtered By:  Selected Categories: PSYCHOLOGY, MULTIDISCIPLINARY;PSYCHOLOGY, PSYCHOANALYSIS;PSYCHOLOGY, SOCIAL;PUBLIC ADMINISTRATION Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Psychological Science in the Public Interest","PSYCHOL SCI PUBL INT","1529-1006","1539-6053","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","2,711","25.4","Q1","9.31","27.27"%,
"Annual Review of Psychology","ANNU REV PSYCHOL","0066-4308","1545-2085","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","28,540","24.8","Q1","4.22","3.7"%,
"PSYCHOLOGICAL BULLETIN","PSYCHOL BULL","0033-2909","1939-1455","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","62,263","22.4","Q1","5.04","0.89"%,
"Qualitative Research in Psychology","QUAL RES PSYCHOL","1478-0887","1478-0895","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","15,873","19","Q1","3.36","8.26"%,
"AMERICAN PSYCHOLOGIST","AM PSYCHOL","0003-066X","1935-990X","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","37,848","16.4","Q1","5.44","0"%,
"Advances in Methods and Practices in Psychological Science","ADV METH PRACT PSYCH","2515-2459","2515-2467","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","2,681","13.6","Q1","4.54","66.67"%,
"Perspectives on Psychological Science","PERSPECT PSYCHOL SCI","1745-6916","1745-6924","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","16,458","12.6","Q1","3.61","20.23"%,
"PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW","PERS SOC PSYCHOL REV","1088-8683","1532-7957","PSYCHOLOGY, SOCIAL - SSCI","8,847","10.8","Q1","3.18","22"%,
"Human Behavior and Emerging Technologies","HUM BEHAV EMERG TECH","N/A","2578-1863","PSYCHOLOGY, MULTIDISCIPLINARY - ESCI","1,767","10.3","N/A","2.71","82.88"%,
"COMPUTERS IN HUMAN BEHAVIOR","COMPUT HUM BEHAV","0747-5632","1873-7692","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","54,607","9.9","Q1","2.81","19.93"%,
"European Journal of Psychology Applied to Legal Context","EUR J PSYCHOL APPL L","1889-1861","1989-4007","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","530","9.5","Q1","7.4","100"%,
"Social Issues and Policy Review","SOC ISS POLICY REV","1751-2395","1751-2409","PSYCHOLOGY, SOCIAL - SSCI","1,170","9.4","Q1","2.76","34.48"%,
"Policy and Society","POLICY SOC","1449-4035","1839-3373","PUBLIC ADMINISTRATION - SSCI","2,000","9.3","Q1","3.34","97.12"%,
"PSYCHOLOGICAL INQUIRY","PSYCHOL INQ","1047-840X","1532-7965","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","6,955","9.3","Q1","1.3","20.59"%,
"Qualitative Psychology","QUAL PSYCHOL","2326-3601","2326-3598","PSYCHOLOGY, MULTIDISCIPLINARY - ESCI","1,083","8.5","N/A","1.06","0"%,
"PUBLIC ADMINISTRATION REVIEW","PUBLIC ADMIN REV","0033-3352","1540-6210","PUBLIC ADMINISTRATION - SSCI","12,447","8.3","Q1","2.54","23.42"%,
"PSYCHOLOGICAL SCIENCE","PSYCHOL SCI","0956-7976","1467-9280","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","37,762","8.2","Q1","2.29","21.87"%,
