"Journal Data Filtered By:  Selected Categories: PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;QUANTUM SCIENCE & TECHNOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Lancet Public Health","LANCET PUBLIC HEALTH","2468-2667","2468-2667","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","10,751","50","Q1","9.09","90.38"%,
"Lancet Public Health","LANCET PUBLIC HEALTH","2468-2667","2468-2667","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","10,751","50","Q1","9.09","90.38"%,
"Lancet Global Health","LANCET GLOB HEALTH","2214-109X","2214-109X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","22,632","34.3","Q1","7.54","88.27"%,
"Lancet Global Health","LANCET GLOB HEALTH","2214-109X","2214-109X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","22,632","34.3","Q1","7.54","88.27"%,
"MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT","MMWR-MORBID MORTAL W","0149-2195","1545-861X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","40,621","33.9","Q1","8.82","86.19"%,
"MMWR Recommendations and Reports","MMWR RECOMM REP","1057-5987","1545-8601","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","3,049","33.7","Q1","10.08","94.12"%,
"Lancet Planetary Health","LANCET PLANET HEALTH","N/A","2542-5196","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","6,220","25.7","Q1","4.23","90.34"%,
"Lancet Planetary Health","LANCET PLANET HEALTH","N/A","2542-5196","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","6,220","25.7","Q1","4.23","90.34"%,
"JOURNAL OF TRAVEL MEDICINE","J TRAVEL MED","1195-1982","1708-8305","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","5,367","25.7","Q1","1.68","26.9"%,
"MMWR Surveillance Summaries","MMWR SURVEILL SUMM","1545-8636","1545-8636","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","3,714","24.9","Q1","7.08","77.42"%,
"Lancet Regional Health-Europe","LANCET REG HEALTH-EU","2666-7762","2666-7762","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","3,699","20.9","N/A","7.13","93.33"%,
"Annual Review of Public Health","ANNU REV PUBL HEALTH","0163-7525","1545-2093","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","11,260","20.8","Q1","3.2","68.22"%,
"Annual Review of Public Health","ANNU REV PUBL HEALTH","0163-7525","1545-2093","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","11,260","20.8","Q1","3.2","68.22"%,
"EUROPEAN JOURNAL OF EPIDEMIOLOGY","EUR J EPIDEMIOL","0393-2990","1573-7284","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","14,510","13.6","Q1","2.84","59.88"%,
