"Journal Data Filtered By:  Selected Categories: RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING;REGIONAL & URBAN PLANNING;REHABILITATION Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"RADIOLOGY","RADIOLOGY","0033-8419","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","64,735","19.7","Q1","5.34","2.15"%,
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","1936-878X","1876-7591","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","16,914","14","Q1","3.25","67.87"%,
"SUSTAINABLE DEVELOPMENT","SUSTAIN DEV","0968-0802","1099-1719","REGIONAL & URBAN PLANNING - SSCI","7,733","12.5","Q1","2.11","19.42"%,
"Journal of Physiotherapy","J PHYSIOTHER","1836-9553","1836-9561","REHABILITATION - SCIE","2,865","12.1","Q1","2.97","97.3"%,
"TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE","TECHNOL FORECAST SOC","0040-1625","1873-5509","REGIONAL & URBAN PLANNING - SSCI","41,192","12","Q1","2.47","18.09"%,
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","1361-8415","1361-8423","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","19,500","10.9","Q1","2.65","30.57"%,
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","34,640","10.6","Q1","2.38","15.81"%,
"CLINICAL NUCLEAR MEDICINE","CLIN NUCL MED","0363-9762","1536-0229","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","6,883","10.6","Q1","1.16","11.02"%,
"Radiology-Artificial Intelligence","RADIOL-ARTIF INTELL","2638-6100","2638-6100","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","1,483","9.8","N/A","1.71","1.39"%,
"JOURNAL OF NUCLEAR MEDICINE","J NUCL MED","0161-5505","1535-5667","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","31,896","9.3","Q1","2.57","13.49"%,
"EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING","EUR J NUCL MED MOL I","1619-7070","1619-7089","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","23,232","9.1","Q1","2.39","44.86"%,
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","0169-2046","1872-6062","REGIONAL & URBAN PLANNING - SSCI","28,597","9.1","Q1","2.28","36.39"%,
