"Journal Data Filtered By:  Selected Categories: BIOCHEMISTRY & MOLECULAR BIOLOGY;BIODIVERSITY CONSERVATION;BIOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","139,574","82.9","Q1","14.06","28.1"%,
"CELL","CELL","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","338,069","64.5","Q1","9.52","75.68"%,
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","2095-9907","2059-3635","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","19,678","39.3","Q1","3.7","100"%,
"Molecular Cancer","MOL CANCER","N/A","1476-4598","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","36,241","37.3","Q1","5.43","100"%,
"Molecular Plant","MOL PLANT","1674-2052","1752-9867","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","24,114","27.5","Q1","4.32","84.62"%,
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","1545-9993","1545-9985","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","30,445","16.8","Q1","3.06","15.04"%,
"Annual Review of Biochemistry","ANNU REV BIOCHEM","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","22,840","16.6","Q1","2.17","2.15"%,
"Molecular Cell","MOL CELL","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","86,313","16","Q1","2.8","70.47"%,
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","18,957","15.9","Q1","1.62","29.72"%,
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","282,987","14.9","Q1","3.35","91.99"%,
"Nature Chemical Biology","NAT CHEM BIOL","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","30,143","14.8","Q1","2.77","7.97"%,
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","21,556","13.8","Q1","1.47","26.46"%,
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","0163-7827","1873-2194","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7,560","13.6","Q1","1.59","34.69"%,
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13,691","13.6","Q1","1.41","20.78"%,
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","1359-6101","1879-0305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8,423","13","Q1","1.34","20"%,
"EXPERIMENTAL AND MOLECULAR MEDICINE","EXP MOL MED","1226-3613","2092-6413","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13,641","12.8","Q1","1.56","100"%,
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","31,913","12.4","Q1","1.8","48.65"%,
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","68,851","12","Q1","2.28","41.44"%,
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13,843","11.9","Q1","1.69","20.15"%,
"Physics of Life Reviews","PHYS LIFE REV","1571-0645","1873-1457","BIOLOGY - SCIE","1,950","11.7","Q1","1.33","28.21"%,
"GLOBAL CHANGE BIOLOGY","GLOBAL CHANGE BIOL","1354-1013","1365-2486","BIODIVERSITY CONSERVATION - SCIE","67,135","11.6","Q1","2.44","29.99"%,
"Redox Biology","REDOX BIOL","2213-2317","2213-2317","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","24,642","11.4","Q1","1.9","95.49"%,
"Journal of Integrative Plant Biology","J INTEGR PLANT BIOL","1672-9072","1744-7909","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10,416","11.4","Q1","1.87","19.82"%,
"EMBO JOURNAL","EMBO J","0261-4189","1460-2075","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","70,290","11.4","Q1","1.85","59.8"%,
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9,303","11.2","Q1","1.36","22.19"%,
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","1359-4184","1476-5578","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","33,254","11","Q1","2.45","45.71"%,
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","64,994","10.7","Q1","2.19","83.27"%,
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","0098-2997","1872-9452","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9,129","10.6","Q1","1.52","26.62"%,
