"Journal Data Filtered By:  Selected Categories: BIOPHYSICS;BIOTECHNOLOGY & APPLIED MICROBIOLOGY;BUSINESS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","1474-1776","1474-1784","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","48,043","120.1","Q1","12.45","6.03"%,
"NATURE BIOTECHNOLOGY","NAT BIOTECHNOL","1087-0156","1546-1696","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","90,681","46.9","Q1","9.59","17.71"%,
"Academy of Management Annals","ACAD MANAG ANN","1941-6520","1941-6067","BUSINESS - SSCI","8,731","21.2","Q1","3.54","0"%,
"JOURNAL OF THE ACADEMY OF MARKETING SCIENCE","J ACAD MARKET SCI","0092-0703","1552-7824","BUSINESS - SSCI","21,516","18.2","Q1","2.27","30.63"%,
"Journal of Innovation & Knowledge","J INNOV KNOWL","2530-7614","2444-569X","BUSINESS - SSCI","2,209","18.1","Q1","3.33","89.2"%,
"TRENDS IN BIOTECHNOLOGY","TRENDS BIOTECHNOL","0167-7799","1879-3096","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","20,777","17.3","Q1","1.79","23.9"%,
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","1545-9993","1545-9985","BIOPHYSICS - SCIE","30,445","16.8","Q1","3.06","15.04"%,
"ACADEMY OF MANAGEMENT REVIEW","ACAD MANAGE REV","0363-7425","1930-3807","BUSINESS - SSCI","44,906","16.4","Q1","3.36","0"%,
"BIOTECHNOLOGY ADVANCES","BIOTECHNOL ADV","0734-9750","1873-1899","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","26,077","16","Q1","1.66","25.31"%,
"HARVARD BUSINESS REVIEW","HARVARD BUS REV","0017-8012","0017-8012","BUSINESS - SSCI","22,326","14.7","Q1","0.5","0"%,
"REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY","REV ENVIRON SCI BIO","1569-1705","1572-9826","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","5,188","14.4","Q1","1.02","16.81"%,
"PLANT BIOTECHNOLOGY JOURNAL","PLANT BIOTECHNOL J","1467-7644","1467-7652","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","18,869","13.8","Q1","2.44","73.14"%,
"JOURNAL OF MANAGEMENT","J MANAGE","0149-2063","1557-1211","BUSINESS - SSCI","36,676","13.5","Q1","2.4","19.24"%,
"Business Strategy and the Environment","BUS STRATEG ENVIRON","0964-4733","1099-0836","BUSINESS - SSCI","19,033","13.4","Q1","2.52","26.49"%,
"JOURNAL OF MARKETING","J MARKETING","0022-2429","1547-7185","BUSINESS - SSCI","30,960","12.9","Q1","2.34","18.97"%,
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","BIOPHYSICS - SCIE","78,736","12.6","Q1","2.36","9.93"%,
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","78,736","12.6","Q1","2.36","9.93"%,
"Journal of Hospitality Marketing & Management","J HOSP MARKET MANAG","1936-8623","1936-8631","BUSINESS - SSCI","3,703","12.5","Q1","1.95","4.11"%,
"MOLECULAR THERAPY","MOL THER","1525-0016","1525-0024","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","27,418","12.4","Q1","2.72","93.36"%,
"JOURNAL OF SERVICE RESEARCH","J SERV RES-US","1094-6705","1552-7379","BUSINESS - SSCI","7,780","12.4","Q1","1.87","31.03"%,
"Annual Review of Biophysics","ANNU REV BIOPHYS","1936-122X","1936-1238","BIOPHYSICS - SCIE","4,009","12.4","Q1","1.81","0"%,
"GENOME BIOLOGY","GENOME BIOL","1474-760X","1474-760X","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","68,817","12.3","Q1","3.27","99.17"%,
"Annual Review of Animal Biosciences","ANNU REV ANIM BIOSCI","2165-8102","2165-8110","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","1,994","12","Q1","5.53","6.67"%,
