"Journal Data Filtered By:  Selected Categories: BUSINESS, FINANCE;CARDIAC & CARDIOVASCULAR SYSTEMS;CELL & TISSUE ENGINEERING Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Nature Reviews Cardiology","NAT REV CARDIOL","1759-5002","1759-5010","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","17,301","49.6","Q1","6.6","2.98"%,
"EUROPEAN HEART JOURNAL","EUR HEART J","0195-668X","1522-9645","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","87,861","39.3","Q1","6.79","37.48"%,
"CIRCULATION","CIRCULATION","0009-7322","1524-4539","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","187,648","37.8","Q1","7.45","23.52"%,
"JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY","J AM COLL CARDIOL","0735-1097","1558-3597","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","124,650","24.4","Q1","4.89","69.05"%,
"JAMA Cardiology","JAMA CARDIOL","2380-6583","2380-6591","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14,230","24","Q1","5.78","9.3"%,
"Cell Stem Cell","CELL STEM CELL","1934-5909","1875-9777","CELL & TISSUE ENGINEERING - SCIE","33,385","23.9","Q1","4.18","65.14"%,
"CIRCULATION RESEARCH","CIRC RES","0009-7330","1524-4571","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","66,672","20.1","Q1","3.93","14.88"%,
"EUROPEAN JOURNAL OF HEART FAILURE","EUR J HEART FAIL","1388-9842","1879-0844","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","22,408","18.2","Q1","3.83","33.93"%,
"Archives of Cardiovascular Diseases Supplements","ARCH CARDIOVAS DIS S","1878-6480","1878-6502","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","85","18","N/A","0","0"%,
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","1936-878X","1876-7591","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","16,914","14","Q1","3.25","67.87"%,
"Review of Asset Pricing Studies","REV ASSET PRICING ST","2045-9920","2045-9939","BUSINESS, FINANCE - ESCI","1,055","13.1","N/A","3.64","16.25"%,
"JACC-Heart Failure","JACC-HEART FAIL","2213-1779","2213-1787","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,297","13","Q1","2.76","67.27"%,
"Bone Research","BONE RES","2095-4700","2095-6231","CELL & TISSUE ENGINEERING - SCIE","4,314","12.7","Q1","2.37","100"%,
