"Journal Data Filtered By:  Selected Categories: CELL BIOLOGY;CHEMISTRY, ANALYTICAL;CHEMISTRY, APPLIED;CHEMISTRY, INORGANIC & NUCLEAR Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","NAT REV MOL CELL BIO","1471-0072","1471-0080","CELL BIOLOGY - SCIE","65,845","112.7","Q1","8.82","2.08"%,
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","CELL BIOLOGY - SCIE","139,574","82.9","Q1","14.06","28.1"%,
"CELL","CELL","0092-8674","1097-4172","CELL BIOLOGY - SCIE","338,069","64.5","Q1","9.52","75.68"%,
"CANCER CELL","CANCER CELL","1535-6108","1878-3686","CELL BIOLOGY - SCIE","55,579","50.3","Q1","6.44","71.6"%,
"CELL RESEARCH","CELL RES","1001-0602","1748-7838","CELL BIOLOGY - SCIE","29,723","44.1","Q1","3.52","62"%,
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","2095-9907","2059-3635","CELL BIOLOGY - SCIE","19,678","39.3","Q1","3.7","100"%,
"Cell Discovery","CELL DISCOV","N/A","2056-5968","CELL BIOLOGY - SCIE","6,697","33.5","Q1","2.07","99.12"%,
"Cell Metabolism","CELL METAB","1550-4131","1932-7420","CELL BIOLOGY - SCIE","58,914","29","Q1","5.15","77.88"%,
"Cell Stem Cell","CELL STEM CELL","1934-5909","1875-9777","CELL BIOLOGY - SCIE","33,385","23.9","Q1","4.18","65.14"%,
"NATURE CELL BIOLOGY","NAT CELL BIOL","1465-7392","1476-4679","CELL BIOLOGY - SCIE","50,849","21.3","Q1","3.33","14.17"%,
"Protein & Cell","PROTEIN CELL","1674-800X","1674-8018","CELL BIOLOGY - SCIE","7,357","21.1","Q1","1.33","94.81"%,
"COORDINATION CHEMISTRY REVIEWS","COORDIN CHEM REV","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","52,507","20.6","Q1","1.78","9.9"%,
"TRENDS IN CELL BIOLOGY","TRENDS CELL BIOL","0962-8924","1879-3088","CELL BIOLOGY - SCIE","19,549","19","Q1","1.58","30.77"%,
"Science Translational Medicine","SCI TRANSL MED","1946-6234","1946-6242","CELL BIOLOGY - SCIE","52,013","17.1","Q1","3.39","6.32"%,
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","1545-9993","1545-9985","CELL BIOLOGY - SCIE","30,445","16.8","Q1","3.06","15.04"%,
"Nature Aging","NATURE AGING","N/A","2662-8465","CELL BIOLOGY - ESCI","1,592","16.6","N/A","2.99","19.53"%,
"Chinese Journal of Catalysis","CHINESE J CATAL","0253-9837","1872-2067","CHEMISTRY, APPLIED - SCIE","16,335","16.5","Q1","2.29","1.95"%,
"Molecular Cell","MOL CELL","1097-2765","1097-4164","CELL BIOLOGY - SCIE","86,313","16","Q1","2.8","70.47"%,
"Journal of Extracellular Vesicles","J EXTRACELL VESICLES","N/A","2001-3078","CELL BIOLOGY - SCIE","12,477","16","Q1","2.16","71.6"%,
"Cell Reports Medicine","CELL REP MED","2666-3791","2666-3791","CELL BIOLOGY - SCIE","4,157","14.3","Q1","2.85","90.16"%,
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","CELL BIOLOGY - SCIE","13,691","13.6","Q1","1.41","20.78"%,
"Autophagy","AUTOPHAGY","1554-8627","1554-8635","CELL BIOLOGY - SCIE","27,639","13.3","Q1","1.53","30.76"%,
"Journal of Energy Chemistry","J ENERGY CHEM","2095-4956","2095-4956","CHEMISTRY, APPLIED - SCIE","26,526","13.1","Q1","1.97","5.16"%,
"AGEING RESEARCH REVIEWS","AGEING RES REV","1568-1637","1872-9649","CELL BIOLOGY - SCIE","15,607","13.1","Q1","1.53","25.3"%,
"TRAC-TRENDS IN ANALYTICAL CHEMISTRY","TRAC-TREND ANAL CHEM","0165-9936","1879-3142","CHEMISTRY, ANALYTICAL - SCIE","30,416","13.1","Q1","1.31","12.23"%,
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","1359-6101","1879-0305","CELL BIOLOGY - SCIE","8,423","13","Q1","1.34","20"%,
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","CHEMISTRY, ANALYTICAL - SCIE","78,736","12.6","Q1","2.36","9.93"%,
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","1350-9047","1476-5403","CELL BIOLOGY - SCIE","31,913","12.4","Q1","1.8","48.65"%,
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","CELL BIOLOGY - SCIE","68,851","12","Q1","2.28","41.44"%,
"PROGRESS IN SOLID STATE CHEMISTRY","PROG SOLID STATE CH","0079-6786","1873-1643","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","2,243","12","Q1","0.76","0"%,
"DEVELOPMENTAL CELL","DEV CELL","1534-5807","1878-1551","CELL BIOLOGY - SCIE","36,479","11.8","Q1","2.34","77.59"%,
"EMBO JOURNAL","EMBO J","0261-4189","1460-2075","CELL BIOLOGY - SCIE","70,290","11.4","Q1","1.85","59.8"%,
"Annual Review of Cell and Developmental Biology","ANNU REV CELL DEV BI","1081-0706","1530-8995","CELL BIOLOGY - SCIE","11,342","11.3","Q1","1.22","3.17"%,
"Carbohydrate Polymers","CARBOHYD POLYM","0144-8617","1879-1344","CHEMISTRY, APPLIED - SCIE","128,007","11.2","Q1","2.29","9.76"%,
"Trends in Environmental Analytical Chemistry","TRENDS ENVIRON ANAL","2214-1588","2214-1588","CHEMISTRY, ANALYTICAL - SCIE","1,486","11.2","Q1","1.3","12.28"%,
"JOURNAL OF BIOMEDICAL SCIENCE","J BIOMED SCI","1021-7770","1423-0127","CELL BIOLOGY - SCIE","8,849","11","Q1","1.37","98.97"%,
"FOOD HYDROCOLLOIDS","FOOD HYDROCOLLOID","0268-005X","1873-7137","CHEMISTRY, APPLIED - SCIE","63,773","10.7","Q1","2.18","11.97"%,
"GENES & DEVELOPMENT","GENE DEV","0890-9369","1549-5477","CELL BIOLOGY - SCIE","54,132","10.5","Q1","2.03","97.89"%,
"Cell Systems","CELL SYST","2405-4712","2405-4720","CELL BIOLOGY - SCIE","8,614","9.3","Q1","1.66","80.33"%,
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","CELL BIOLOGY - SCIE","79,963","9.2","Q1","1.64","80.57"%,
"Cell Death & Disease","CELL DEATH DIS","2041-4889","2041-4889","CELL BIOLOGY - SCIE","58,493","9","Q1","1.21","99.77"%,
"ACS Sensors","ACS SENSORS","2379-3694","2379-3694","CHEMISTRY, ANALYTICAL - SCIE","18,970","8.9","Q1","1.45","7.73"%,
"Food Chemistry","FOOD CHEM","0308-8146","1873-7072","CHEMISTRY, APPLIED - SCIE","199,618","8.8","Q1","1.87","9.52"%,
"Cell Reports","CELL REP","2211-1247","2211-1247","CELL BIOLOGY - SCIE","93,064","8.8","Q1","1.35","90.76"%,
"CELL PROLIFERATION","CELL PROLIFERAT","0960-7722","1365-2184","CELL BIOLOGY - SCIE","7,905","8.5","Q1","0.94","69.14"%,
"SENSORS AND ACTUATORS B-CHEMICAL","SENSOR ACTUAT B-CHEM","N/A","0925-4005","CHEMISTRY, ANALYTICAL - SCIE","121,244","8.4","Q1","1.92","5.14"%,
"Cell Communication and Signaling","CELL COMMUN SIGNAL","N/A","1478-811X","CELL BIOLOGY - SCIE","7,189","8.4","Q1","0.89","99.59"%,
