"Journal Data Filtered By:  Selected Categories: ACOUSTICS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"ULTRASONICS SONOCHEMISTRY","ULTRASON SONOCHEM","1350-4177","1873-2828","ACOUSTICS - SCIE","31,949","8.4","Q1","2.08","93.52"%,
"ULTRASOUND IN OBSTETRICS & GYNECOLOGY","ULTRASOUND OBST GYN","0960-7692","1469-0705","ACOUSTICS - SCIE","17,581","7.1","Q1","2.24","17.61"%,
"IEEE-ACM Transactions on Audio Speech and Language Processing","IEEE-ACM T AUDIO SPE","2329-9290","2329-9304","ACOUSTICS - SCIE","8,387","5.4","Q1","1.53","17.95"%,
"JOURNAL OF SOUND AND VIBRATION","J SOUND VIB","0022-460X","1095-8568","ACOUSTICS - SCIE","46,910","4.7","Q1","1.28","17.27"%,
"ULTRASONICS","ULTRASONICS","0041-624X","1874-9968","ACOUSTICS - SCIE","9,972","4.2","Q1","1.28","12.72"%,
"IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL","IEEE T ULTRASON FERR","0885-3010","1525-8955","ACOUSTICS - SCIE","13,566","3.6","Q1","1.04","17.01"%,
"ULTRASCHALL IN DER MEDIZIN","ULTRASCHALL MED","0172-4614","1438-8782","ACOUSTICS - SCIE","2,686","3.4","Q1","1.2","3.8"%,
"APPLIED ACOUSTICS","APPL ACOUST","0003-682X","1872-910X","ACOUSTICS - SCIE","13,150","3.4","Q1","1.18","8.95"%,
"SPEECH COMMUNICATION","SPEECH COMMUN","0167-6393","1872-7182","ACOUSTICS - SCIE","4,608","3.2","Q2","0.7","23.58"%,
"ULTRASOUND IN MEDICINE AND BIOLOGY","ULTRASOUND MED BIOL","0301-5629","1879-291X","ACOUSTICS - SCIE","13,059","2.9","Q2","0.83","19.39"%,
"Noise Mapping","NOISE MAPP","N/A","2084-879X","ACOUSTICS - ESCI","262","2.8","N/A","1.07","95.52"%,
"JOURNAL OF VIBRATION AND CONTROL","J VIB CONTROL","1077-5463","1741-2986","ACOUSTICS - SCIE","7,908","2.8","Q2","0.71","1.51"%,
"JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA","J ACOUST SOC AM","0001-4966","1520-8524","ACOUSTICS - SCIE","53,149","2.4","Q2","0.94","20.86"%,
"WAVE MOTION","WAVE MOTION","0165-2125","1878-433X","ACOUSTICS - SCIE","2,908","2.4","Q2","0.62","10"%,
"EURASIP Journal on Audio Speech and Music Processing","EURASIP J AUDIO SPEE","1687-4722","1687-4722","ACOUSTICS - SCIE","533","2.4","Q2","0.56","100"%,
"JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL","J LOW FREQ NOISE V A","1461-3484","2048-4046","ACOUSTICS - SCIE","1,482","2.3","Q2","0.77","91.84"%,
"JOURNAL OF ULTRASOUND IN MEDICINE","J ULTRAS MED","0278-4297","1550-9613","ACOUSTICS - SCIE","9,142","2.3","Q2","0.6","6.73"%,
"ULTRASONIC IMAGING","ULTRASONIC IMAGING","0161-7346","1096-0910","ACOUSTICS - SCIE","1,072","2.3","Q2","0.52","8.06"%,
"Acoustics","ACOUSTICS-BASEL","N/A","2624-599X","ACOUSTICS - ESCI","332","2.1","N/A","0.5","100"%,
"Journal of Theoretical and Computational Acoustics","J THEOR COMPUT ACOUS","2591-7285","2591-7811","ACOUSTICS - SCIE","242","1.9","Q3","0.4","32.04"%,
"JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME","J VIB ACOUST","1048-9002","1528-8927","ACOUSTICS - SCIE","4,413","1.7","Q3","0.5","0.72"%,
"Acoustics Australia","ACOUST AUST","0814-6039","1839-2571","ACOUSTICS - SCIE","489","1.7","Q3","0.49","6.42"%,
"BUILDING ACOUSTICS","BUILD ACOUST","1351-010X","2059-8025","ACOUSTICS - ESCI","462","1.7","N/A","0.44","6.58"%,
"Medical Ultrasonography","MED ULTRASON","1844-4172","2066-8643","ACOUSTICS - SCIE","1,183","1.7","Q3","0.4","95.88"%,
"SHOCK AND VIBRATION","SHOCK VIB","1070-9622","1875-9203","ACOUSTICS - SCIE","7,531","1.6","Q3","0.4","99.02"%,
"ACTA ACUSTICA","ACTA ACUST","N/A","2681-4617","ACOUSTICS - SCIE","271","1.4","Q3","0.43","97.22"%,
"JOURNAL OF THE AUDIO ENGINEERING SOCIETY","J AUDIO ENG SOC","1549-4950","1549-4950","ACOUSTICS - SCIE","1,448","1.4","Q3","0.42","3.37"%,
"JASA Express Letters","JASA EXPRESS LETT","N/A","2691-1191","ACOUSTICS - ESCI","202","1","N/A","0.5","85.12"%,
"International Journal of Aeroacoustics","INT J AEROACOUST","1475-472X","2048-4003","ACOUSTICS - SCIE","672","1","Q4","0.42","13.48"%,
"International Journal of Acoustics and Vibration","INT J ACOUST VIB","1027-5851","N/A","ACOUSTICS - SCIE","406","1","Q4","0.2","0"%,
"PHONETICA","PHONETICA","0031-8388","1423-0321","ACOUSTICS - SCIE","837","0.9","Q4","0.64","19.15"%,
"Archives of Acoustics","ARCH ACOUST","0137-5075","2300-262X","ACOUSTICS - SCIE","659","0.9","Q4","0.29","98.93"%,
"JOURNAL OF CLINICAL ULTRASOUND","J CLIN ULTRASOUND","0091-2751","1097-0096","ACOUSTICS - SCIE","2,442","0.9","Q4","0.24","5.63"%,
"ACOUSTICAL PHYSICS","ACOUST PHYS+","1063-7710","1562-6865","ACOUSTICS - SCIE","1,059","0.8","Q4","0.26","2.67"%,
"Acoustical Science and Technology","ACOUST SCI TECHNOL","1346-3969","1347-5177","ACOUSTICS - ESCI","633","0.7","N/A","0.19","98.46"%,
"SOUND AND VIBRATION","SOUND VIB","1541-0161","1541-0161","ACOUSTICS - ESCI","470","0.6","N/A","0.13","100"%,
"Romanian Journal of Acoustics and Vibration","ROM J ACOUST VIB","1584-7284","1584-7284","ACOUSTICS - ESCI","125","0.4","N/A","0.19","0"%,
"NOISE CONTROL ENGINEERING JOURNAL","NOISE CONTROL ENG J","0736-2501","0736-2501","ACOUSTICS - SCIE","594","0.4","Q4","0.13","0"%,
